TEAM,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
Chicago Bulls,82,62,20,0.756,"3,966",50.1,0.305,15.1,29.4,46.3,0.291,15.1,23.8
San Antonio Spurs,82,61,21,0.744,"3,956",52.7,0.299,14.2,24.9,49.1,0.248,14,25.4
Miami Heat,82,58,24,0.707,"3,956",52.4,0.363,14.9,25.2,47.5,0.299,14,24.5
Dallas Mavericks,82,57,25,0.695,"3,941",52.5,0.286,15,24.1,48.8,0.275,14.5,25.2
Los Angeles Lakers,82,57,25,0.695,"3,966",50.2,0.293,13.9,29.2,47.7,0.236,14.5,27.7
Boston Celtics,82,56,26,0.683,"3,956",51.9,0.305,15.7,21.1,46.9,0.31,16.5,25.3
Oklahoma City Thunder,82,55,27,0.671,"4,001",50.1,0.363,14.6,27.4,49.3,0.307,14.5,26.4
Orlando Magic,82,52,30,0.634,"3,966",52.1,0.328,15.9,26.1,47.5,0.295,14.7,23.1
Denver Nuggets,82,50,32,0.61,"3,941",52.6,0.367,14.4,23.9,50,0.296,14,24.6
Portland Trail Blazers,82,48,34,0.585,"3,961",48.6,0.278,14.3,29.5,51,0.301,17.2,28
Memphis Grizzlies,82,46,36,0.561,"3,976",49.3,0.291,14.6,28.9,50.2,0.3,17.5,27.5
New Orleans Hornets,82,46,36,0.561,"3,966",49.3,0.296,14.3,25.1,50.1,0.286,15.8,23.8
Atlanta Hawks,82,44,38,0.537,"3,946",50.1,0.269,14.8,23.4,49.5,0.273,13.7,25.4
Houston Rockets,82,43,39,0.524,"3,976",50.3,0.299,13.8,27.4,50,0.28,14,27.3
New York Knicks,82,42,40,0.512,"3,956",51.3,0.304,13.9,24.2,51.1,0.315,15.4,28.1
Philadelphia 76ers,82,41,41,0.5,"3,986",49.4,0.273,13.6,24.6,48.7,0.299,15,25.5
Phoenix Suns,82,40,42,0.488,"4,001",52.2,0.283,14.5,23.7,51.3,0.28,14.7,28.4
Utah Jazz,82,39,43,0.476,"3,976",49.8,0.313,15.1,27,50.5,0.354,15.5,28.3
Indiana Pacers,82,37,45,0.451,"3,956",48.6,0.3,15.7,25.9,48.7,0.315,14.3,25.9
Golden State Warriors,82,36,46,0.439,"3,966",51,0.241,14.9,26.7,50.9,0.333,16.4,30.7
Milwaukee Bucks,82,35,47,0.427,"3,966",46.7,0.287,14.5,24.7,48.1,0.307,16.4,25.2
Charlotte Bobcats,82,34,48,0.415,"3,961",48.2,0.314,15.7,25.7,50,0.294,14.2,24.8
Los Angeles Clippers,82,32,50,0.39,"3,971",49.6,0.332,16.9,28.4,49.9,0.324,14.3,26.8
Detroit Pistons,82,30,52,0.366,"3,976",49.5,0.279,14,27.4,52.6,0.306,15.3,27.9
New Jersey Nets,82,24,58,0.293,"4,001",47.4,0.283,14.9,26.1,50.3,0.32,13.1,25.8
Sacramento Kings,82,24,58,0.293,"3,971",48,0.284,16.3,29.9,51.3,0.305,14.9,25.6
Washington Wizards,82,23,59,0.28,"3,986",47.1,0.29,15.7,28,51.2,0.327,16.1,29.5
Toronto Raptors,82,22,60,0.268,"3,956",49.1,0.293,15.3,28.2,52.2,0.326,14.5,28
Cleveland Cavaliers,82,19,63,0.232,"3,951",47.2,0.312,14.8,24.2,52.4,0.278,14.1,26.7
Minnesota Timberwolves,82,17,65,0.207,"3,956",48.3,0.282,17.1,29.6,51.4,0.323,14.5,26.3
