,Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1,Amar'e Stoudemire,28,78,2870,22.7,.565,.016,.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,,5.4,2.6,8.0,.134,,0.8,-0.1,0.7,1.9
2,2,Landry Fields,22,82,2541,13.5,.598,.364,.244,4.7,18.9,11.7,9.0,1.6,0.5,13.8,13.5,,3.4,1.8,5.3,.100,,0.5,0.1,0.6,1.7
3,3,Raymond Felton,26,54,2074,17.3,.524,.335,.226,2.2,8.6,5.3,37.3,2.3,0.4,16.7,22.6,,2.9,1.2,4.0,.093,,2.3,-2.0,0.3,1.2
4,4,Toney Douglas,24,81,1971,15.2,.534,.507,.142,3.7,10.5,7.1,19.5,2.3,0.1,10.0,20.1,,3.0,1.2,4.2,.101,,2.5,-1.8,0.7,1.4
5,5,Wilson Chandler,23,51,1759,15.7,.548,.344,.167,4.0,15.8,9.8,8.1,1.0,2.9,8.1,21.0,,2.3,1.2,3.4,.094,,0.7,-0.8,-0.2,0.8
6,6,Danilo Gallinari,22,48,1671,15.6,.600,.470,.570,3.3,12.5,7.8,7.4,1.1,0.8,8.4,18.5,,4.2,0.7,4.9,.140,,2.4,-2.0,0.5,1.0
7,7,Shawne Williams,24,64,1323,12.2,.558,.551,.127,5.1,15.6,10.3,5.3,1.5,2.8,10.2,15.2,,1.4,1.1,2.5,.089,,0.0,-0.4,-0.5,0.5
8,8,Ronny Turiaf,28,64,1141,13.6,.648,.000,.601,6.4,14.4,10.4,11.5,1.5,4.7,16.6,9.6,,2.1,1.1,3.2,.134,,-0.5,2.5,2.0,1.2
9,9,Carmelo Anthony,26,27,977,22.8,.575,.233,.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,,2.6,0.6,3.2,.157,,3.5,-2.3,1.2,0.8
10,10,Henry Walker,23,61,784,11.3,.583,.648,.186,2.3,15.6,8.9,6.6,1.3,0.6,12.7,16.6,,0.7,0.4,1.1,.069,,-0.3,-2.5,-2.8,-0.2
11,11,Chauncey Billups,34,21,664,19.1,.582,.484,.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,,1.9,0.2,2.1,.155,,4.2,-3.4,0.8,0.5
12,12,Jared Jeffries,29,24,463,7.6,.403,.060,.380,10.3,9.7,10.0,7.2,2.6,2.2,22.6,7.2,,0.1,0.4,0.4,.046,,-2.2,2.6,0.4,0.3
13,13,Timofey Mozgov,24,34,458,10.3,.514,.000,.393,10.1,15.8,13.0,4.8,1.5,3.7,19.6,15.8,,0.0,0.4,0.4,.044,,-4.0,0.4,-3.6,-0.2
14,14,Roger Mason,30,26,319,7.1,.461,.571,.130,1.8,13.7,7.7,8.8,0.9,0.5,6.9,12.2,,0.1,0.1,0.2,.029,,-2.4,-2.0,-4.4,-0.2
15,15,Anthony Carter,35,19,310,11.1,.534,.368,.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,,0.0,0.3,0.3,.044,,-1.9,0.1,-1.8,0.0
16,16,Shelden Williams,27,17,198,15.9,.638,.000,.744,10.9,18.0,14.4,9.5,1.3,1.5,10.4,13.0,,0.6,0.1,0.8,.188,,0.8,-0.4,0.3,0.1
17,17,Anthony Randolph,21,17,127,7.6,.348,.089,.267,9.8,26.3,18.0,8.1,1.6,4.6,16.6,21.1,,-0.4,0.2,-0.2,-0.074,,-8.5,0.7,-7.8,-0.2
18,18,Derrick Brown,23,8,88,16.0,.717,.222,.722,11.6,7.9,9.7,6.9,2.3,1.7,22.8,15.5,,0.2,0.1,0.2,.130,,1.5,-0.7,0.8,0.1
19,19,Andy Rautins,24,5,24,-1.2,.508,.571,.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,,-0.2,0.0,-0.2,-0.314,,-11.6,-4.3,-16.0,-0.1
20,20,Renaldo Balkman,26,3,18,0.7,.375,.500,.000,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,,0.0,0.0,0.0,-0.050,,-6.6,-3.1,-9.6,0.0
