Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Bruce Bowen\bowenbr01,32,82,2624,8.2,.512,.422,.227,1.9,8.8,5.4,6.7,1.7,0.9,14.0,11.3,,0.8,4.6,5.4,.098,,-1.5,2.5,1.0,2.0
2,Tony Parker\parketo01,21,75,2577,15.7,.516,.210,.288,1.9,8.3,5.1,28.7,1.3,0.2,14.4,22.3,,3.5,4.0,7.5,.140,,1.2,-0.4,0.8,1.9
3,Tim Duncan\duncati01,27,69,2527,27.1,.534,.010,.498,10.2,27.6,19.0,17.4,1.3,5.3,11.3,29.7,,5.9,7.2,13.1,.249,,2.4,4.9,7.3,5.9
4,Rasho Nesterovic\nestera01,27,82,2353,15.3,.473,.000,.163,12.4,17.6,15.0,8.4,1.2,5.1,12.5,16.8,,1.6,5.6,7.2,.147,,-1.6,4.5,2.9,2.9
5,Manu Ginobili\ginobma01,26,77,2260,18.5,.536,.311,.378,4.3,12.6,8.5,22.5,3.2,0.5,14.9,22.1,,4.0,5.1,9.1,.194,,2.6,2.5,5.1,4.0
6,Hedo Turkoglu\turkohe01,24,80,2073,14.1,.516,.374,.250,2.8,16.3,9.7,12.5,2.1,1.1,11.6,18.1,,2.2,4.5,6.7,.155,,0.0,2.2,2.2,2.2
7,Robert Horry\horryro01,33,81,1290,14.5,.496,.310,.307,9.5,14.0,11.8,12.8,2.0,2.8,12.2,16.1,,1.7,2.9,4.6,.171,,0.2,3.1,3.3,1.7
8,Malik Rose\rosema01,29,67,1256,15.0,.526,.007,.557,9.9,18.5,14.2,9.4,1.5,1.4,18.2,22.6,,1.1,2.7,3.8,.145,,-2.4,1.4,-1.0,0.3
9,Jason Hart\hartja01,25,53,660,12.3,.497,.057,.270,1.7,11.5,6.7,20.1,2.3,0.6,14.0,14.5,,0.6,1.3,1.9,.139,,-2.4,1.5,-0.9,0.2
10,Devin Brown\brownde02,25,58,627,13.1,.512,.071,.378,6.9,16.2,11.6,9.0,1.3,0.5,14.3,19.7,,0.5,1.2,1.7,.133,,-2.7,0.3,-2.4,-0.1
11,Ron Mercer\mercero01,27,39,516,9.3,.446,.033,.081,2.2,8.3,5.3,7.8,1.5,0.7,10.6,21.9,,-0.4,0.8,0.4,.040,,-5.0,-0.7,-5.7,-0.5
12,Charlie Ward\wardch01,33,36,425,8.7,.449,.523,.046,0.5,12.0,6.3,17.3,2.2,0.5,16.9,17.4,,-0.3,0.8,0.6,.064,,-2.9,0.7,-2.2,0.0
13,Kevin Willis\willike02,41,48,373,14.9,.491,.007,.260,11.2,18.1,14.7,5.5,3.0,1.8,16.1,24.7,,-0.1,1.0,0.9,.111,,-3.8,1.1,-2.7,-0.1
14,Anthony Carter\cartean01,28,5,87,0.3,.297,.081,.000,2.6,11.4,7.1,23.3,2.5,0.0,24.5,26.0,,-0.5,0.2,-0.3,-0.176,,-10.1,0.6,-9.5,-0.2
15,Shane Heal\healsh01,33,6,72,5.3,.420,.750,.208,1.6,4.6,3.1,11.2,0.7,0.0,16.0,20.0,,-0.1,0.1,0.0,-0.006,,-3.4,-2.8,-6.2,-0.1
16,Matt Carroll\carroma01,23,3,22,-1.5,.444,.000,.800,5.1,10.0,7.6,7.2,2.4,0.0,37.2,22.6,,-0.1,0.0,-0.1,-0.129,,-10.6,0.7,-9.8,0.0
17,Alex Garcia\garcial01,23,2,13,-4.7,.190,.000,.286,0.0,0.0,0.0,0.0,8.3,0.0,11.3,31.6,,-0.1,0.0,-0.1,-0.319,,-16.7,1.0,-15.7,0.0
