Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,29,80,2784,23.1,.523,.004,.450,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,,3.9,6.9,10.8,.187,,0.2,4.3,4.6,4.6
2,Bruce Bowen\bowenbr01,34,82,2755,9.1,.540,.457,.157,1.5,11.9,6.9,6.8,1.6,0.8,10.5,11.1,,1.7,4.5,6.2,.108,,-0.6,2.6,1.9,2.7
3,Tony Parker\parketo01,23,80,2715,20.8,.584,.032,.315,1.7,9.5,5.7,32.2,1.7,0.1,16.1,27.1,,5.5,4.1,9.6,.169,,2.6,0.0,2.6,3.1
4,Michael Finley\finlemi01,32,77,2038,12.7,.523,.401,.165,1.8,12.2,7.2,9.3,1.0,0.2,7.7,18.9,,2.0,2.9,5.0,.117,,-0.1,-0.3,-0.4,0.8
5,Manu Ginobili\ginobma01,28,65,1813,22.4,.593,.324,.538,2.8,12.0,7.5,22.2,3.0,1.0,12.8,25.0,,5.1,3.7,8.8,.234,,4.3,1.7,6.0,3.7
6,Rasho Nesterovic\nestera01,29,80,1515,11.0,.521,.006,.090,9.1,14.8,12.1,3.4,0.8,4.2,13.2,12.6,,0.9,2.9,3.7,.118,,-2.9,2.8,-0.1,0.7
7,Nazr Mohammed\mohamna01,28,80,1389,15.0,.560,.000,.382,14.2,21.2,17.8,4.7,0.8,2.5,17.1,18.3,,1.7,2.8,4.5,.156,,-2.0,1.0,-1.0,0.4
8,Brent Barry\barrybr01,34,74,1259,14.8,.581,.586,.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16.0,,2.1,2.2,4.3,.162,,1.5,1.2,2.7,1.5
9,Robert Horry\horryro01,35,63,1182,13.5,.499,.493,.233,7.3,16.7,12.1,10.1,2.0,3.1,11.3,14.7,,1.0,2.5,3.6,.145,,-0.2,3.4,3.2,1.5
10,Nick Van Exel\vanexni01,34,65,986,11.0,.492,.449,.120,0.7,9.9,5.5,20.2,0.9,0.2,13.6,20.2,,0.1,1.3,1.4,.070,,-1.4,-1.4,-2.8,-0.2
11,Beno Udrih\udrihbe01,23,54,586,15.3,.539,.300,.215,3.7,6.7,5.2,27.3,1.3,0.2,17.2,25.1,,0.5,0.8,1.3,.109,,0.3,-2.0,-1.7,0.0
12,Fabricio Oberto\obertfa01,30,59,490,9.3,.491,.022,.290,14.1,15.5,14.8,8.3,1.0,1.6,21.1,12.9,,0.2,0.9,1.1,.105,,-2.6,1.9,-0.7,0.2
13,Sean Marks\marksse01,30,25,181,17.9,.531,.042,.169,8.0,19.8,14.0,7.0,1.5,2.8,8.4,22.0,,0.2,0.4,0.6,.156,,-2.1,0.7,-1.4,0.0
14,Melvin Sanders\sandeme01,25,16,113,10.5,.548,.091,.303,4.3,19.4,12.0,4.3,2.4,0.0,17.6,19.2,,0.0,0.2,0.2,.093,,-4.5,0.2,-4.2,-0.1
15,Alex Scales\scaleal01,27,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-6.0,1.6,-4.4,0.0
