,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2008-09,19,GSW,NBA,PF,63,22,17.9,3.2,6.8,.462,0.0,0.1,.000,3.2,6.8,.466,.462,1.6,2.2,.716,2.0,3.7,5.8,0.8,0.7,1.2,1.3,2.2,7.9
2,2009-10,20,GSW,NBA,C,33,8,22.7,4.2,9.4,.443,0.0,0.2,.200,4.1,9.2,.447,.445,3.3,4.1,.801,2.2,4.3,6.5,1.3,0.8,1.5,1.5,2.8,11.6
3,2010-11,21,TOT,NBA,C-PF,40,3,14.8,3.1,6.6,.466,0.0,0.1,.250,3.1,6.5,.469,.468,1.5,2.2,.674,1.1,2.9,4.0,0.8,0.6,0.6,1.3,1.6,7.6
4,2010-11,21,NYK,NBA,PF,17,0,7.5,0.8,2.6,.311,0.1,0.2,.250,0.8,2.4,.317,.322,0.4,0.7,.500,0.6,1.7,2.4,0.4,0.2,0.5,0.6,0.9,2.1
5,2010-11,21,MIN,NBA,C,23,3,20.1,4.7,9.5,.498,0.0,0.0,,4.7,9.5,.498,.498,2.3,3.2,.703,1.4,3.8,5.2,1.1,0.8,0.7,1.9,2.0,11.7
6,2011-12,22,MIN,NBA,PF,34,5,15.2,2.8,5.9,.470,0.0,0.0,.000,2.8,5.9,.472,.470,1.9,2.5,.762,1.2,2.4,3.6,0.6,0.4,1.0,1.2,1.6,7.4
7,2012-13,23,DEN,NBA,PF,39,0,8.4,1.4,2.9,.491,0.0,0.2,.000,1.4,2.7,.528,.491,0.8,1.2,.689,0.7,1.7,2.4,0.3,0.5,0.5,0.9,1.1,3.7
8,2013-14,24,DEN,NBA,PF,43,5,12.3,1.6,4.1,.386,0.4,1.4,.295,1.2,2.7,.435,.438,1.2,1.6,.754,0.5,2.4,2.8,0.7,0.6,0.4,0.9,1.5,4.8
9,Career,,,NBA,,252,43,15.2,2.7,5.9,.453,0.1,0.3,.241,2.6,5.6,.466,.460,1.6,2.2,.740,1.3,2.9,4.3,0.7,0.6,0.9,1.2,1.8,7.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,GSW,NBA,,96,30,19.6,3.5,7.7,.454,0.0,0.1,.111,3.5,7.6,.458,.455,2.2,2.9,.758,2.1,3.9,6.0,0.9,0.7,1.3,1.3,2.4,9.2
12,2 seasons,,DEN,NBA,,82,5,10.4,1.5,3.5,.428,0.2,0.8,.261,1.3,2.7,.480,.459,1.0,1.4,.728,0.6,2.0,2.6,0.5,0.5,0.5,0.9,1.3,4.3
13,2 seasons,,MIN,NBA,,57,8,17.2,3.6,7.4,.484,0.0,0.0,.000,3.6,7.3,.486,.484,2.0,2.8,.734,1.3,3.0,4.3,0.8,0.5,0.9,1.5,1.8,9.2
14,1 season,,NYK,NBA,,17,0,7.5,0.8,2.6,.311,0.1,0.2,.250,0.8,2.4,.317,.322,0.4,0.7,.500,0.6,1.7,2.4,0.4,0.2,0.5,0.6,0.9,2.1
