,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2002-03,20,LAC,NBA,PF,46,3,10.4,1.6,3.0,.521,0.0,0.0,,1.6,3.0,.521,.521,0.5,1.1,.500,0.7,1.6,2.3,0.5,0.2,0.3,0.6,1.4,3.7
2,2003-04,21,LAC,NBA,C,65,17,20.6,3.5,6.7,.521,0.0,0.0,.000,3.5,6.7,.522,.521,1.6,2.3,.700,1.9,2.8,4.7,0.8,0.4,0.3,1.2,2.8,8.6
3,2004-05,22,LAC,NBA,C,54,25,18.6,3.1,6.1,.514,0.0,0.0,,3.1,6.1,.514,.514,1.6,2.7,.611,1.2,3.1,4.2,0.7,0.5,0.4,1.4,2.4,7.9
4,2005-06,23,TOT,NBA,C-PF,77,24,19.9,3.3,5.8,.571,0.0,0.0,.000,3.3,5.8,.574,.571,1.5,2.0,.732,1.5,3.8,5.3,0.7,0.4,0.4,0.9,2.4,8.1
5,2005-06,23,LAC,NBA,C,48,1,13.7,1.9,3.5,.536,0.0,0.0,.000,1.9,3.5,.542,.536,0.8,1.2,.644,1.0,2.6,3.6,0.4,0.3,0.4,0.7,2.1,4.5
6,2005-06,23,SEA,NBA,PF,29,23,30.1,5.8,9.7,.592,0.0,0.0,,5.8,9.7,.592,.592,2.6,3.2,.787,2.5,5.7,8.2,1.2,0.6,0.4,1.4,2.8,14.1
7,2006-07,24,SEA,NBA,PF,82,81,31.5,5.3,10.0,.529,0.0,0.1,.000,5.3,9.9,.533,.529,2.9,4.3,.684,2.2,5.5,7.7,1.0,0.9,0.5,1.5,3.0,13.5
8,2007-08,25,SEA,NBA,PF,62,55,28.0,5.4,10.3,.524,0.0,0.0,.000,5.4,10.2,.526,.524,2.6,4.0,.645,2.0,5.0,7.0,1.2,0.7,0.6,1.7,2.8,13.4
9,2008-09,26,TOT,NBA,C,62,6,16.9,3.0,6.0,.497,0.0,0.1,.000,3.0,5.9,.503,.497,1.3,2.3,.564,1.5,2.9,4.5,0.8,0.4,0.3,1.2,2.2,7.2
10,2008-09,26,OKC,NBA,C,37,6,19.4,3.5,7.2,.485,0.0,0.1,.000,3.5,7.2,.491,.485,1.4,2.4,.598,1.8,3.5,5.3,0.9,0.5,0.3,1.5,2.4,8.4
11,2008-09,26,NYK,NBA,C,25,0,13.2,2.2,4.1,.529,0.0,0.0,.000,2.2,4.0,.535,.529,1.1,2.1,.509,1.2,2.0,3.3,0.6,0.3,0.2,0.8,1.9,5.4
12,2009-10,27,DET,NBA,PF,34,10,13.0,1.9,3.5,.525,0.0,0.0,,1.9,3.5,.525,.525,0.8,1.5,.500,1.3,2.1,3.4,0.4,0.4,0.4,1.1,1.9,4.5
13,2010-11,28,DET,NBA,PF,57,29,17.5,3.3,5.6,.581,0.0,0.0,.000,3.3,5.6,.583,.581,0.9,1.6,.562,1.7,3.1,4.8,0.8,0.5,0.3,0.8,2.5,7.4
14,2011-12,29,BOS,NBA,C,28,4,17.2,2.3,3.8,.598,0.0,0.0,,2.3,3.8,.598,.598,0.9,1.4,.615,1.4,3.0,4.4,0.4,0.4,0.3,1.1,2.3,5.4
15,2012-13,30,BOS,NBA,C,61,7,13.6,1.8,2.5,.719,0.0,0.0,.000,1.8,2.5,.724,.719,0.6,1.0,.672,0.9,2.0,3.0,0.4,0.5,0.5,0.6,2.0,4.2
16,Career,,,NBA,,628,261,19.9,3.3,6.2,.541,0.0,0.0,.000,3.3,6.2,.543,.541,1.5,2.3,.643,1.5,3.4,4.9,0.7,0.5,0.4,1.1,2.4,8.2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,LAC,NBA,,213,46,16.3,2.6,5.0,.521,0.0,0.0,.000,2.6,5.0,.522,.521,1.2,1.9,.635,1.2,2.6,3.8,0.6,0.4,0.4,1.0,2.3,6.5
19,4 seasons,,"SEA,OKC",NBA,,210,165,28.2,5.1,9.6,.530,0.0,0.1,.000,5.1,9.5,.533,.530,2.5,3.7,.674,2.1,5.0,7.1,1.1,0.7,0.5,1.5,2.8,12.6
20,2 seasons,,DET,NBA,,91,39,15.8,2.7,4.9,.566,0.0,0.0,.000,2.7,4.8,.567,.566,0.8,1.5,.539,1.5,2.7,4.3,0.6,0.5,0.3,0.9,2.3,6.3
21,2 seasons,,BOS,NBA,,89,11,14.7,2.0,2.9,.669,0.0,0.0,.000,2.0,2.9,.672,.669,0.7,1.1,.649,1.0,2.3,3.4,0.4,0.5,0.4,0.7,2.1,4.6
22,1 season,,NYK,NBA,,25,0,13.2,2.2,4.1,.529,0.0,0.0,.000,2.2,4.0,.535,.529,1.1,2.1,.509,1.2,2.0,3.3,0.6,0.3,0.2,0.8,1.9,5.4
