,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2009-10,22,NJN,NBA,SF,78,9,22.6,3.3,8.3,.401,0.4,1.3,.310,2.9,7.1,.417,.425,1.3,1.8,.715,0.6,3.9,4.5,2.9,0.6,0.1,1.6,1.6,8.4
2,2010-11,23,TOT,NBA,SG,21,0,13.8,2.0,5.5,.374,0.3,1.0,.273,1.8,4.4,.398,.400,0.7,1.0,.667,0.2,2.2,2.4,1.8,0.4,0.0,1.6,1.2,5.0
3,2010-11,23,NJN,NBA,SG,10,0,20.6,2.9,7.3,.397,0.4,1.2,.333,2.5,6.1,.410,.425,0.5,1.0,.500,0.3,3.3,3.6,3.1,0.5,0.0,2.5,2.1,6.7
4,2010-11,23,HOU,NBA,SG,11,0,7.6,1.3,3.8,.333,0.2,0.9,.200,1.1,2.9,.375,.357,0.8,1.0,.818,0.1,1.3,1.4,0.6,0.4,0.0,0.7,0.4,3.5
5,2011-12,24,TOT,NBA,SG,30,0,18.3,2.8,6.6,.429,0.5,1.5,.348,2.3,5.1,.454,.470,0.9,1.5,.587,0.4,3.0,3.4,2.2,0.7,0.2,1.4,1.2,7.1
6,2011-12,24,HOU,NBA,SG,12,0,15.1,1.7,4.8,.351,0.7,1.6,.421,1.0,3.2,.316,.421,0.5,1.0,.500,0.2,2.2,2.3,0.8,0.3,0.1,0.8,1.3,4.5
7,2011-12,24,SAC,NBA,SG,18,0,20.5,3.6,7.8,.461,0.4,1.5,.296,3.2,6.3,.500,.489,1.2,1.9,.618,0.6,3.5,4.1,3.1,0.9,0.3,1.8,1.1,8.8
8,2012-13,25,BOS,NBA,SF,24,0,13.3,2.0,4.0,.495,0.2,0.6,.333,1.8,3.4,.524,.521,0.4,0.9,.429,0.2,1.7,1.8,1.6,0.5,0.1,0.9,0.5,4.6
9,Career,,,NBA,,153,9,19.1,2.9,6.9,.412,0.4,1.2,.317,2.5,5.7,.432,.439,1.0,1.5,.659,0.4,3.1,3.6,2.4,0.5,0.1,1.5,1.3,7.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,NJN,NBA,,88,9,22.4,3.3,8.2,.401,0.4,1.3,.313,2.9,7.0,.417,.425,1.2,1.8,.701,0.6,3.8,4.4,2.9,0.5,0.1,1.7,1.7,8.2
12,1 season,,BOS,NBA,,24,0,13.3,2.0,4.0,.495,0.2,0.6,.333,1.8,3.4,.524,.521,0.4,0.9,.429,0.2,1.7,1.8,1.6,0.5,0.1,0.9,0.5,4.6
13,2 seasons,,HOU,NBA,,23,0,11.5,1.5,4.3,.343,0.4,1.3,.345,1.0,3.0,.343,.394,0.7,1.0,.652,0.1,1.7,1.9,0.7,0.3,0.0,0.8,0.9,4.0
14,1 season,,SAC,NBA,,18,0,20.5,3.6,7.8,.461,0.4,1.5,.296,3.2,6.3,.500,.489,1.2,1.9,.618,0.6,3.5,4.1,3.1,0.9,0.3,1.8,1.1,8.8
