,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,22,50,50,39.3,8.4,16.9,.495,0.0,0.1,.143,8.3,16.8,.498,.495,4.9,7.2,.690,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7
2,2,Avery Johnson,33,50,50,33.4,4.4,9.2,.473,0.0,0.2,.083,4.3,9.0,.483,.474,1.0,1.8,.568,0.4,1.9,2.4,7.4,1.0,0.2,2.2,2.0,9.7
3,3,David Robinson,33,49,49,31.7,5.5,10.8,.509,0.0,0.0,.000,5.5,10.7,.510,.509,4.9,7.4,.658,3.0,7.0,10.0,2.1,1.4,2.4,2.2,2.9,15.8
4,4,Sean Elliott,30,50,50,30.2,4.2,10.1,.410,0.8,2.4,.328,3.4,7.8,.436,.449,2.1,2.8,.757,0.7,3.6,4.3,2.3,0.5,0.3,1.4,2.1,11.2
5,5,Mario Elie,35,47,37,27.5,3.3,7.0,.471,0.9,2.3,.374,2.5,4.8,.518,.532,2.2,2.5,.866,0.8,2.1,2.9,1.9,1.0,0.3,1.3,1.9,9.7
6,6,Jaren Jackson,31,47,13,18.3,2.3,6.0,.380,1.1,3.1,.361,1.2,2.9,.401,.474,0.7,0.8,.821,0.4,1.7,2.1,1.0,0.9,0.2,0.8,1.3,6.4
7,7,Steve Kerr,33,44,0,16.7,1.5,4.0,.391,0.6,1.8,.313,1.0,2.1,.457,.463,0.7,0.8,.886,0.1,0.9,1.0,1.1,0.5,0.1,0.5,0.6,4.4
8,8,Jerome Kersey,36,45,0,15.5,1.5,4.4,.340,0.1,0.3,.214,1.4,4.1,.349,.348,0.1,0.3,.429,0.9,2.0,2.9,0.9,0.8,0.3,0.7,2.0,3.2
9,9,Antonio Daniels,23,47,0,13.1,1.8,3.9,.454,0.1,0.4,.294,1.7,3.5,.470,.467,1.0,1.4,.754,0.3,0.9,1.1,2.3,0.6,0.1,0.9,0.8,4.7
10,10,Malik Rose,24,47,0,12.9,2.0,4.3,.463,0.0,0.0,.000,2.0,4.3,.465,.463,2.1,3.1,.671,1.9,2.0,3.9,0.6,0.9,0.5,1.2,2.6,6.0
11,11,Will Perdue,33,37,1,12.0,1.0,1.6,.633,0.0,0.0,,1.0,1.6,.633,.633,0.4,0.7,.538,0.9,2.8,3.7,0.5,0.2,0.3,0.6,1.7,2.4
12,12,Gerard King,26,19,0,3.3,0.3,0.7,.429,0.0,0.0,,0.3,0.7,.429,.429,0.6,0.9,.611,0.3,0.4,0.7,0.2,0.1,0.1,0.2,0.6,1.2
13,13,Andrew Gaze,33,19,0,3.1,0.4,1.3,.320,0.3,0.8,.313,0.2,0.5,.333,.420,0.0,0.0,,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.4,1.1
14,14,Brandon Williams,23,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.7,1.3,.500,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
