,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2009-10,22,WAS,NBA,SG,11,182,16.2,.564,.153,.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,,0.3,0.1,0.4,.108,,0.2,-1.6,-1.4,0.0
2,2010-11,23,TOT,NBA,SG,56,1118,10.8,.544,.193,.348,6.2,12.7,9.3,5.4,1.8,1.2,15.3,14.5,,0.5,0.6,1.0,.045,,-2.2,-0.1,-2.3,-0.1
3,2010-11,23,SAS,NBA,SG,5,18,-2.1,.333,.000,.000,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,,-0.1,0.0,-0.1,-0.175,,-12.1,1.4,-10.6,0.0
4,2010-11,23,WAS,NBA,SG,11,127,9.9,.496,.074,.444,9.5,10.3,9.9,5.9,2.8,0.0,19.9,14.0,,0.0,0.1,0.1,.023,,-3.1,-0.4,-3.4,0.0
5,2010-11,23,CLE,NBA,SG,40,973,11.1,.552,.209,.342,5.6,13.1,9.3,5.5,1.7,1.3,14.0,14.6,,0.6,0.5,1.0,.052,,-1.9,-0.1,-2.0,0.0
6,2011-12,24,CLE,NBA,SG,63,1827,13.2,.516,.249,.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,,1.2,1.2,2.4,.063,,-0.5,0.1,-0.5,0.7
7,2012-13,25,CLE,NBA,SF,82,2541,10.5,.505,.294,.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,,0.5,1.5,1.9,.036,,-1.4,-0.1,-1.5,0.3
8,2013-14,26,CLE,NBA,SF,65,1020,8.6,.491,.246,.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,,-0.1,1.0,0.9,.041,,-3.3,0.7,-2.6,-0.2
9,2014-15,27,TOT,NBA,SF,54,662,13.0,.548,.188,.414,5.9,9.5,7.7,5.8,2.7,0.8,13.0,16.7,,0.6,0.6,1.2,.086,,-1.3,0.3,-1.0,0.2
10,2014-15,27,DEN,NBA,SF,39,511,14.0,.574,.175,.474,5.9,9.0,7.4,5.7,2.7,0.9,13.1,16.1,,0.7,0.4,1.1,.100,,-0.7,0.3,-0.4,0.2
11,2014-15,27,POR,NBA,SF,15,151,9.7,.470,.224,.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,,-0.1,0.2,0.1,.039,,-3.2,0.2,-3.0,0.0
12,2015-16,28,NOP,NBA,SF,73,1632,8.4,.572,.235,.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,,1.0,0.9,1.9,.056,,-1.8,1.0,-0.8,0.5
13,2016-17,29,DEN,NBA,SF,13,89,3.1,.306,.214,.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,,-0.1,0.1,-0.1,-0.032,,-5.6,1.0,-4.6,-0.1
14,Career,,,NBA,,417,9071,10.7,.522,.248,.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,,3.8,5.9,9.7,.051,,-1.6,0.2,-1.4,1.4
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,CLE,NBA,,250,6361,11.1,.513,.262,.316,4.5,12.9,8.5,8.3,2.1,1.0,14.2,16.5,,2.2,4.1,6.3,.047,,-1.5,0.1,-1.5,0.9
17,1 season,,NOP,NBA,,73,1632,8.4,.572,.235,.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,,1.0,0.9,1.9,.056,,-1.8,1.0,-0.8,0.5
18,2 seasons,,DEN,NBA,,52,600,12.4,.548,.179,.490,5.8,9.7,7.7,6.1,2.7,0.9,13.6,15.3,,0.6,0.5,1.0,.081,,-1.4,0.4,-1.0,0.1
19,2 seasons,,WAS,NBA,,22,309,13.6,.543,.128,.477,9.4,11.0,10.2,6.2,2.3,0.2,14.7,17.7,,0.2,0.2,0.5,.073,,-1.2,-1.1,-2.2,0.0
20,1 season,,POR,NBA,,15,151,9.7,.470,.224,.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,,-0.1,0.2,0.1,.039,,-3.2,0.2,-3.0,0.0
21,1 season,,SAS,NBA,,5,18,-2.1,.333,.000,.000,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,,-0.1,0.0,-0.1,-0.175,,-12.1,1.4,-10.6,0.0
