,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1996-97,23,ORL,NBA,C,17,109,6.1,.376,.063,.375,4.2,19.9,11.8,10.3,1.5,3.6,22.8,20.4,,-0.3,0.2,-0.2,-0.086,,-9.6,1.1,-8.5,-0.2
2,2001-02,28,SAS,NBA,C,27,153,10.2,.430,.000,.531,12.4,14.5,13.5,4.3,2.1,4.6,18.8,22.6,,-0.3,0.3,0.0,.010,,-6.2,1.4,-4.8,-0.1
3,2002-03,29,ATL,NBA,C,11,70,7.3,.293,.000,.235,11.9,23.5,17.9,10.8,2.3,1.0,9.6,13.6,,-0.1,0.1,0.0,.015,,-5.1,0.6,-4.5,0.0
4,2003-04,30,PHI,NBA,C,59,636,7.3,.438,.009,.231,9.0,15.6,12.3,5.2,1.0,2.5,16.2,11.4,,-0.1,0.7,0.6,.047,,-4.5,0.9,-3.6,-0.3
5,Career,,,NBA,,114,968,7.7,.416,.014,.321,9.2,16.5,12.9,6.1,1.3,2.8,17.5,14.3,,-0.8,1.3,0.5,.024,,-5.4,1.0,-4.4,-0.6
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,PHI,NBA,,59,636,7.3,.438,.009,.231,9.0,15.6,12.3,5.2,1.0,2.5,16.2,11.4,,-0.1,0.7,0.6,.047,,-4.5,0.9,-3.6,-0.3
8,1 season,,SAS,NBA,,27,153,10.2,.430,.000,.531,12.4,14.5,13.5,4.3,2.1,4.6,18.8,22.6,,-0.3,0.3,0.0,.010,,-6.2,1.4,-4.8,-0.1
9,1 season,,ORL,NBA,,17,109,6.1,.376,.063,.375,4.2,19.9,11.8,10.3,1.5,3.6,22.8,20.4,,-0.3,0.2,-0.2,-0.086,,-9.6,1.1,-8.5,-0.2
10,1 season,,ATL,NBA,,11,70,7.3,.293,.000,.235,11.9,23.5,17.9,10.8,2.3,1.0,9.6,13.6,,-0.1,0.1,0.0,.015,,-5.1,0.6,-4.5,0.0
