,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1999-00,23,CLE,NBA,PG,82,2093,17.9,.517,.065,.387,4.5,10.5,7.5,38.7,2.0,0.6,15.8,21.8,,3.5,1.8,5.3,.122,,1.8,-0.7,1.0,1.6
2,2000-01,24,CLE,NBA,PG,82,2848,20.1,.541,.064,.450,3.8,10.8,7.3,40.5,2.2,0.7,18.1,23.2,,6.1,1.9,8.0,.136,,3.6,-0.6,2.9,3.5
3,2001-02,25,CLE,NBA,PG,81,3023,21.8,.538,.083,.428,4.2,10.4,7.4,49.8,2.2,0.8,16.5,22.6,,8.7,1.5,10.3,.163,,4.7,-1.3,3.4,4.1
4,2002-03,26,LAC,NBA,PG,80,2913,15.2,.495,.116,.421,3.3,9.0,6.1,31.3,1.8,0.3,15.8,20.3,,3.6,1.0,4.6,.076,,0.9,-1.4,-0.5,1.1
5,2003-04,27,DEN,NBA,PG,82,2838,18.8,.541,.069,.437,5.0,9.7,7.3,29.1,2.6,0.6,16.1,20.7,,6.1,2.6,8.8,.148,,2.6,0.2,2.8,3.4
6,2004-05,28,DEN,NBA,PG,82,2852,16.5,.541,.044,.337,4.1,9.6,6.8,32.2,2.2,0.2,17.6,19.5,,4.1,2.9,7.0,.119,,1.2,-0.2,1.0,2.2
7,2005-06,29,DEN,NBA,PG,82,2937,16.4,.532,.031,.486,3.7,10.2,7.0,36.2,1.8,0.5,19.5,20.0,,3.6,2.6,6.2,.101,,0.7,-0.2,0.5,1.8
8,2006-07,30,TOT,NBA,PG,80,2966,16.1,.520,.039,.311,3.9,10.1,7.0,34.3,1.9,0.3,17.7,19.2,,3.5,2.4,5.9,.095,,0.8,-0.3,0.5,1.9
9,2006-07,30,DEN,NBA,PG,23,822,16.6,.526,.065,.343,3.5,10.7,7.1,38.7,2.2,0.3,19.7,18.5,,1.1,0.8,1.9,.113,,0.7,-0.2,0.4,0.5
10,2006-07,30,PHI,NBA,PG,57,2144,15.9,.518,.029,.300,4.0,9.8,6.9,32.7,1.8,0.2,16.9,19.4,,2.3,1.6,3.9,.088,,0.9,-0.3,0.6,1.4
11,2007-08,31,PHI,NBA,PG,82,3016,18.4,.537,.029,.288,3.7,9.1,6.4,32.0,1.8,0.2,13.7,22.6,,5.7,2.6,8.3,.131,,2.3,-0.6,1.7,2.9
12,2008-09,32,PHI,NBA,PG,82,2976,18.6,.548,.051,.393,4.9,9.9,7.4,30.2,2.0,0.4,14.0,21.8,,6.2,2.5,8.8,.141,,2.8,0.1,2.8,3.6
13,2009-10,33,POR,NBA,PG,82,2500,18.1,.530,.088,.432,4.0,9.2,6.6,30.3,2.0,0.3,13.8,23.8,,4.6,2.4,7.0,.134,,1.9,-0.3,1.6,2.3
14,2010-11,34,POR,NBA,PG,81,2650,17.8,.529,.044,.346,4.3,9.9,7.0,35.7,2.3,0.4,16.8,20.6,,4.6,2.4,7.0,.127,,1.3,-0.2,1.1,2.1
15,2011-12,35,DEN,NBA,SG,66,1809,14.8,.510,.150,.306,3.5,10.5,7.1,36.5,1.8,0.4,22.0,19.8,,1.9,1.0,2.9,.078,,0.2,-1.0,-0.8,0.6
16,2012-13,36,DEN,NBA,PG,82,2151,15.7,.548,.101,.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,,3.9,1.5,5.4,.120,,0.9,-1.0,-0.1,1.0
