,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1999-00,24,MIA,NBA,PG,79,1859,11.0,.442,.045,.244,3.1,9.0,6.2,31.7,2.7,0.2,23.5,18.5,,-1.0,2.4,1.4,.036,,-3.2,0.1,-3.1,-0.5
2,2000-01,25,MIA,NBA,PG,72,1630,11.3,.439,.083,.215,3.4,9.8,6.6,29.5,2.5,0.5,18.5,19.2,,-0.8,2.5,1.7,.050,,-2.8,0.7,-2.1,0.0
3,2001-02,26,MIA,NBA,PG,46,1050,8.9,.359,.073,.138,2.1,10.8,6.5,33.0,2.6,0.2,20.7,15.8,,-1.4,1.6,0.2,.008,,-4.6,0.7,-3.8,-0.5
4,2002-03,27,MIA,NBA,PG,49,912,9.9,.390,.034,.215,1.5,9.3,5.3,37.9,2.7,0.4,24.1,17.3,,-1.3,1.1,-0.2,-0.012,,-4.8,-0.5,-5.3,-0.8
5,2003-04,28,SAS,NBA,PG,5,87,0.3,.297,.081,.000,2.6,11.4,7.1,23.3,2.5,0.0,24.5,26.0,,-0.5,0.2,-0.3,-0.176,,-10.1,0.6,-9.5,-0.2
6,2004-05,29,MIN,NBA,PG,66,742,11.3,.454,.096,.288,1.9,8.4,5.3,32.2,2.5,1.7,23.7,16.4,,-0.3,0.8,0.5,.034,,-3.7,-0.5,-4.2,-0.4
7,2005-06,30,MIN,NBA,PG,45,589,10.6,.465,.109,.401,1.9,10.5,6.3,26.9,2.2,1.2,19.9,16.2,,-0.1,0.7,0.6,.047,,-3.6,-0.3,-3.8,-0.3
8,2006-07,31,DEN,NBA,PG,2,37,3.3,.375,.250,.000,0.0,9.0,4.6,41.4,0.0,1.9,42.9,16.2,,-0.1,0.0,-0.1,-0.115,,-9.2,-4.0,-13.2,-0.1
9,2007-08,32,DEN,NBA,PG,70,1960,12.8,.531,.271,.179,1.5,9.4,5.5,27.4,2.6,1.0,19.5,13.8,,1.6,2.2,3.8,.092,,-0.7,0.1,-0.6,0.7
10,2008-09,33,DEN,NBA,PG,78,1787,10.8,.490,.228,.202,2.7,10.4,6.7,29.9,2.7,0.6,26.9,14.3,,-0.3,2.1,1.8,.047,,-2.2,0.3,-1.8,0.1
11,2009-10,34,DEN,NBA,PG,54,859,10.3,.482,.348,.072,2.3,9.6,6.0,26.6,2.3,1.1,23.7,12.6,,0.1,0.8,0.9,.051,,-2.0,-0.2,-2.2,0.0
12,2010-11,35,TOT,NBA,PG,33,463,9.2,.502,.377,.075,1.7,10.9,6.3,21.3,2.9,1.0,26.3,14.3,,-0.2,0.4,0.2,.023,,-2.8,0.1,-2.8,-0.1
13,2010-11,35,DEN,NBA,PG,14,153,5.4,.421,.400,.067,0.0,8.8,4.5,23.2,3.0,0.5,31.2,13.1,,-0.2,0.2,-0.1,-0.018,,-4.8,0.1,-4.7,-0.1
14,2010-11,35,NYK,NBA,PG,19,310,11.1,.534,.368,.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,,0.0,0.3,0.3,.044,,-1.9,0.1,-1.8,0.0
15,2011-12,36,TOR,NBA,PG,24,209,8.7,.409,.321,.189,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,,-0.3,0.3,0.0,.001,,-4.2,0.9,-3.3,-0.1
16,Career,,,NBA,,623,12184,10.8,.454,.152,.201,2.4,9.8,6.2,29.9,2.6,0.7,22.4,16.1,,-4.6,15.0,10.4,.041,,-2.9,0.2,-2.7,-2.2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,MIA,NBA,,246,5451,10.5,.419,.061,.211,2.7,9.6,6.2,32.3,2.6,0.3,21.6,18.0,,-4.5,7.6,3.1,.027,,-3.6,0.3,-3.3,-1.8
19,5 seasons,,DEN,NBA,,218,4796,11.3,.504,.272,.165,2.0,9.8,6.0,28.2,2.6,0.9,23.5,13.8,,1.0,5.2,6.3,.063,,-1.7,0.1,-1.6,0.5
20,2 seasons,,MIN,NBA,,111,1331,11.0,.459,.102,.338,1.9,9.3,5.8,29.9,2.4,1.5,22.0,16.3,,-0.4,1.5,1.1,.040,,-3.6,-0.4,-4.0,-0.7
21,1 season,,TOR,NBA,,24,209,8.7,.409,.321,.189,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,,-0.3,0.3,0.0,.001,,-4.2,0.9,-3.3,-0.1
22,1 season,,NYK,NBA,,19,310,11.1,.534,.368,.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,,0.0,0.3,0.3,.044,,-1.9,0.1,-1.8,0.0
23,1 season,,SAS,NBA,,5,87,0.3,.297,.081,.000,2.6,11.4,7.1,23.3,2.5,0.0,24.5,26.0,,-0.5,0.2,-0.3,-0.176,,-10.1,0.6,-9.5,-0.2
