,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,24,CHH,NBA,PG,42,621,10.4,.536,.439,.317,1.5,7.0,4.2,27.4,1.4,0.0,22.6,20.3,,0.2,0.1,0.3,.021,,-1.3,-3.9,-5.2,-0.5
2,1996-97,25,TOT,NBA,PG,60,1188,12.1,.531,.464,.236,1.2,7.0,4.1,29.1,1.5,0.1,17.3,17.0,,1.4,0.3,1.7,.067,,-0.1,-3.5,-3.6,-0.5
3,1996-97,25,CHH,NBA,PG,33,576,11.6,.554,.532,.260,0.7,7.1,4.0,25.2,1.8,0.1,19.3,17.4,,0.6,0.2,0.8,.068,,-0.1,-3.2,-3.3,-0.2
4,1996-97,25,DEN,NBA,PG,27,612,12.6,.511,.403,.216,1.7,6.8,4.3,32.8,1.2,0.1,15.4,16.6,,0.8,0.0,0.8,.066,,-0.1,-3.9,-3.9,-0.3
5,1997-98,26,DEN,NBA,PG,82,2212,13.6,.523,.258,.292,2.1,5.9,3.9,22.5,2.1,0.2,10.6,16.5,,3.3,-0.4,3.0,.064,,0.4,-3.3,-2.9,-0.5
6,2000-01,29,DEN,NBA,PG,20,201,12.6,.469,.425,.213,0.5,6.0,3.2,28.0,2.3,0.0,14.6,22.7,,0.0,0.1,0.1,.023,,-0.9,-4.2,-5.1,-0.2
7,2002-03,31,TOT,NBA,PG,15,85,5.4,.445,.360,.280,0.0,8.1,4.1,7.5,1.9,0.0,17.6,18.7,,-0.1,0.1,-0.1,-0.035,,-5.5,-2.3,-7.8,-0.1
8,2002-03,31,SAS,NBA,PG,10,51,2.5,.318,.444,.111,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,,-0.1,0.1,-0.1,-0.069,,-6.0,-1.3,-7.3,-0.1
9,2002-03,31,WAS,NBA,PG,5,34,9.6,.707,.143,.714,0.0,10.5,5.2,5.0,0.0,0.0,30.3,18.3,,0.0,0.0,0.0,.016,,-4.6,-3.9,-8.5,-0.1
10,2003-04,32,TOT,NBA,PG,11,85,8.8,.379,.364,.045,1.4,7.8,4.7,18.9,3.2,0.0,11.8,14.1,,0.0,0.1,0.1,.042,,-3.5,-0.4,-3.9,0.0
11,2003-04,32,MIN,NBA,PG,5,66,10.7,.450,.429,.071,1.8,8.2,5.2,21.9,2.5,0.0,12.2,11.7,,0.1,0.1,0.1,.098,,-1.6,-0.6,-2.2,0.0
12,2003-04,32,NJN,NBA,PG,6,19,2.4,.250,.250,.000,0.0,6.2,3.1,8.6,5.6,0.0,11.1,22.2,,-0.1,0.0,-0.1,-0.155,,-10.1,0.2,-9.9,0.0
13,2004-05,33,TOT,NBA,PG,33,537,15.1,.575,.588,.228,2.2,10.8,6.4,22.7,1.5,0.0,9.1,14.0,,1.3,0.2,1.5,.138,,2.4,-2.4,0.0,0.3
14,2004-05,33,DET,NBA,PG,9,55,7.4,.486,.600,.533,2.2,14.8,8.5,0.0,0.0,0.0,5.1,16.7,,0.0,0.1,0.1,.093,,-4.3,-5.7,-10.0,-0.1
15,2004-05,33,MIL,NBA,PG,24,482,15.9,.587,.587,.190,2.2,10.3,6.2,25.3,1.6,0.0,9.6,13.7,,1.3,0.2,1.4,.143,,3.2,-2.0,1.2,0.4
16,2005-06,34,LAC,NBA,PG,3,22,-5.5,.143,.286,.000,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,,-0.1,0.0,-0.1,-0.245,,-11.7,-3.8,-15.5,-0.1
17,Career,,,NBA,,266,4951,12.7,.523,.374,.267,1.7,6.9,4.3,24.6,1.8,0.1,14.2,17.1,,6.0,0.5,6.4,.062,,0.0,-3.3,-3.3,-1.6
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3 seasons,,DEN,NBA,,129,3025,13.4,.516,.302,.270,1.9,6.1,3.9,24.9,1.9,0.2,11.9,17.0,,4.2,-0.3,3.9,.062,,0.3,-3.5,-3.3,-1.0
20,2 seasons,,CHH,NBA,,75,1197,11.0,.544,.481,.292,1.1,7.1,4.1,26.3,1.6,0.1,21.2,18.9,,0.7,0.3,1.1,.043,,-0.7,-3.6,-4.3,-0.7
21,1 season,,MIL,NBA,,24,482,15.9,.587,.587,.190,2.2,10.3,6.2,25.3,1.6,0.0,9.6,13.7,,1.3,0.2,1.4,.143,,3.2,-2.0,1.2,0.4
22,1 season,,SAS,NBA,,10,51,2.5,.318,.444,.111,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,,-0.1,0.1,-0.1,-0.069,,-6.0,-1.3,-7.3,-0.1
23,1 season,,DET,NBA,,9,55,7.4,.486,.600,.533,2.2,14.8,8.5,0.0,0.0,0.0,5.1,16.7,,0.0,0.1,0.1,.093,,-4.3,-5.7,-10.0,-0.1
24,1 season,,NJN,NBA,,6,19,2.4,.250,.250,.000,0.0,6.2,3.1,8.6,5.6,0.0,11.1,22.2,,-0.1,0.0,-0.1,-0.155,,-10.1,0.2,-9.9,0.0
25,1 season,,MIN,NBA,,5,66,10.7,.450,.429,.071,1.8,8.2,5.2,21.9,2.5,0.0,12.2,11.7,,0.1,0.1,0.1,.098,,-1.6,-0.6,-2.2,0.0
26,1 season,,WAS,NBA,,5,34,9.6,.707,.143,.714,0.0,10.5,5.2,5.0,0.0,0.0,30.3,18.3,,0.0,0.0,0.0,.016,,-4.6,-3.9,-8.5,-0.1
27,1 season,,LAC,NBA,,3,22,-5.5,.143,.286,.000,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,,-0.1,0.0,-0.1,-0.245,,-11.7,-3.8,-15.5,-0.1
