,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,23,SAS,NBA,PF,19,208,7.6,.375,.631,.154,7.0,16.4,11.7,12.1,1.3,0.4,9.2,17.8,,-0.3,0.3,0.0,.010,,-3.1,-0.1,-3.2,-0.1
2,2009-10,24,TOT,NBA,PF,46,1427,13.6,.531,.339,.298,6.5,18.7,12.5,8.6,1.1,1.7,8.3,16.6,,1.7,0.8,2.5,.084,,0.0,-0.5,-0.5,0.6
3,2009-10,24,POR,NBA,PF,2,4,-11.5,.000,1.000,.000,0.0,31.2,15.5,0.0,0.0,0.0,0.0,11.9,,0.0,0.0,0.0,-0.217,,-13.6,-5.1,-18.7,0.0
4,2009-10,24,GSW,NBA,PF,44,1423,13.7,.532,.337,.299,6.5,18.6,12.5,8.6,1.1,1.7,8.3,16.6,,1.8,0.8,2.5,.085,,0.0,-0.5,-0.4,0.6
5,2010-11,25,MIN,NBA,SF,65,1362,13.3,.585,.367,.419,7.3,17.0,12.0,8.9,1.0,1.6,11.7,13.1,,2.6,0.7,3.3,.115,,0.5,-0.1,0.4,0.8
6,2011-12,26,MIN,NBA,SF,51,882,8.3,.504,.555,.302,6.2,13.0,9.6,3.8,1.0,1.5,14.5,12.2,,0.3,0.6,0.9,.049,,-1.7,0.2,-1.5,0.1
7,2012-13,27,ATL,NBA,SF,62,963,8.4,.531,.616,.236,3.7,14.5,9.2,4.8,0.8,1.0,13.1,13.2,,0.3,0.9,1.2,.059,,-2.5,-0.8,-3.3,-0.3
8,2013-14,28,CHA,NBA,PF,64,1298,11.0,.605,.805,.134,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,,1.9,1.3,3.2,.117,,0.8,-0.5,0.3,0.8
9,2014-15,29,TOT,NBA,PF,76,1432,11.1,.569,.738,.176,3.7,14.5,9.0,6.3,0.9,0.9,10.8,14.7,,1.8,0.9,2.7,.092,,0.5,-1.1,-0.6,0.5
10,2014-15,29,PHO,NBA,PF,24,272,7.8,.522,.838,.081,2.4,15.5,8.9,5.2,0.7,0.3,12.6,14.2,,0.1,0.2,0.2,.040,,-1.8,-2.2,-3.9,-0.1
11,2014-15,29,DET,NBA,PF,52,1160,11.8,.580,.715,.197,4.1,14.3,9.0,6.5,0.9,1.0,10.3,14.8,,1.8,0.8,2.5,.104,,1.0,-0.9,0.1,0.6
12,2015-16,30,DET,NBA,PF,72,1341,10.2,.543,.819,.142,3.1,16.1,9.3,5.6,1.0,0.9,7.4,12.4,,1.5,1.3,2.8,.100,,0.0,0.0,0.0,0.7
13,2016-17,31,SAC,NBA,PF,65,1477,11.1,.595,.655,.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,,1.5,0.8,2.3,.075,,0.2,-0.8,-0.6,0.5
14,Career,,,NBA,,520,10390,11.1,.556,.606,.238,4.7,15.2,9.9,6.7,1.0,1.2,10.3,13.7,,11.4,7.5,18.9,.087,,-0.2,-0.5,-0.6,3.6
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2 seasons,,DET,NBA,,124,2501,11.0,.561,.768,.169,3.5,15.3,9.2,6.0,0.9,1.0,8.9,13.5,,3.3,2.1,5.3,.102,,0.5,-0.4,0.1,1.3
17,2 seasons,,MIN,NBA,,116,2244,11.3,.556,.436,.376,6.9,15.4,11.1,6.9,1.0,1.6,12.7,12.8,,2.9,1.2,4.2,.089,,-0.4,0.0,-0.3,0.9
18,1 season,,SAC,NBA,,65,1477,11.1,.595,.655,.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,,1.5,0.8,2.3,.075,,0.2,-0.8,-0.6,0.5
19,1 season,,CHA,NBA,,64,1298,11.0,.605,.805,.134,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,,1.9,1.3,3.2,.117,,0.8,-0.5,0.3,0.8
20,1 season,,ATL,NBA,,62,963,8.4,.531,.616,.236,3.7,14.5,9.2,4.8,0.8,1.0,13.1,13.2,,0.3,0.9,1.2,.059,,-2.5,-0.8,-3.3,-0.3
21,1 season,,GSW,NBA,,44,1423,13.7,.532,.337,.299,6.5,18.6,12.5,8.6,1.1,1.7,8.3,16.6,,1.8,0.8,2.5,.085,,0.0,-0.5,-0.4,0.6
22,1 season,,PHO,NBA,,24,272,7.8,.522,.838,.081,2.4,15.5,8.9,5.2,0.7,0.3,12.6,14.2,,0.1,0.2,0.2,.040,,-1.8,-2.2,-3.9,-0.1
23,1 season,,SAS,NBA,,19,208,7.6,.375,.631,.154,7.0,16.4,11.7,12.1,1.3,0.4,9.2,17.8,,-0.3,0.3,0.0,.010,,-3.1,-0.1,-3.2,-0.1
24,1 season,,POR,NBA,,2,4,-11.5,.000,1.000,.000,0.0,31.2,15.5,0.0,0.0,0.0,0.0,11.9,,0.0,0.0,0.0,-0.217,,-13.6,-5.1,-18.7,0.0
