,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1997-98,22,VAN,NBA,SG,74,1956,9.9,.465,.095,.310,1.3,7.1,4.2,26.6,1.5,0.4,20.8,17.9,,-0.9,-0.4,-1.3,-0.032,,-3.1,-3.2,-6.2,-2.1
2,1998-99,23,SAS,NBA,PG,47,614,16.1,.520,.093,.355,2.5,7.1,4.9,29.5,2.6,0.7,17.2,19.4,,0.8,1.0,1.8,.143,,-0.4,-0.1,-0.5,0.2
3,1999-00,24,SAS,NBA,SG,68,1195,15.2,.541,.192,.294,1.6,6.4,4.1,24.4,2.4,0.3,13.0,17.2,,1.9,1.7,3.6,.144,,0.6,-0.5,0.1,0.6
4,2000-01,25,SAS,NBA,PG,79,2060,15.5,.567,.311,.265,1.5,7.2,4.5,24.9,1.6,0.5,14.2,17.5,,4.1,2.4,6.6,.153,,2.1,-0.6,1.5,1.8
5,2001-02,26,SAS,NBA,SG,82,2175,13.4,.534,.320,.343,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,,3.7,2.3,5.9,.131,,0.8,-0.7,0.2,1.2
6,2002-03,27,POR,NBA,SG,67,872,13.3,.572,.317,.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,,1.6,0.8,2.3,.128,,-0.3,-0.7,-0.9,0.2
7,2003-04,28,SEA,NBA,PG,71,1512,19.7,.596,.291,.462,1.8,9.2,5.5,31.9,1.6,0.3,11.3,16.5,,5.8,0.0,5.8,.184,,3.3,-3.0,0.3,0.9
8,2004-05,29,SEA,NBA,PG,75,2026,18.0,.557,.265,.488,1.2,9.0,5.1,25.6,1.4,0.1,9.3,19.0,,6.3,0.5,6.8,.160,,3.0,-2.0,1.0,1.5
9,2005-06,30,WAS,NBA,SG,80,2283,13.7,.550,.184,.611,0.9,8.0,4.4,19.2,1.2,0.3,11.3,15.4,,4.3,0.9,5.3,.111,,0.1,-1.6,-1.5,0.3
10,2006-07,31,WAS,NBA,SG,80,1761,15.0,.572,.162,.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,,4.1,0.2,4.3,.116,,0.3,-2.8,-2.6,-0.2
11,2007-08,32,WAS,NBA,PG,71,2161,13.7,.549,.166,.490,1.2,10.0,5.5,24.0,1.7,0.1,14.3,13.5,,3.5,1.0,4.5,.099,,0.0,-1.2,-1.2,0.4
12,2008-09,33,TOT,NBA,PG,74,1021,12.1,.536,.254,.424,0.6,8.5,4.5,26.9,1.4,0.1,18.1,15.9,,0.9,0.6,1.5,.068,,-2.2,-2.8,-5.0,-0.8
13,2008-09,33,WAS,NBA,PG,13,288,10.8,.554,.244,.733,0.0,9.2,4.5,23.4,1.3,0.0,17.9,11.5,,0.3,0.0,0.3,.053,,-2.1,-3.1,-5.2,-0.2
14,2008-09,33,NOH,NBA,PG,61,733,12.6,.531,.257,.351,0.8,8.2,4.5,28.3,1.4,0.1,18.2,17.7,,0.6,0.6,1.1,.074,,-2.2,-2.7,-4.9,-0.5
15,2010-11,35,PHI,NBA,PG,4,35,6.7,.510,.400,.400,0.0,16.5,8.2,7.9,0.0,0.0,14.5,9.1,,0.0,0.0,0.0,.044,,-4.9,-1.1,-6.0,0.0
16,Career,,,NBA,,872,19671,14.6,.546,.226,.425,1.3,8.2,4.8,23.8,1.5,0.3,13.3,16.3,,36.1,10.9,47.0,.115,,0.5,-1.7,-1.2,4.1
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,SAS,NBA,,276,6044,14.8,.545,.268,.308,1.5,7.2,4.5,22.5,1.7,0.4,12.5,17.3,,10.5,7.4,17.9,.142,,1.1,-0.5,0.5,3.9
19,4 seasons,,WAS,NBA,,244,6493,13.9,.556,.174,.586,1.0,9.0,4.9,22.4,1.4,0.2,12.7,14.3,,12.3,2.1,14.3,.106,,0.0,-1.9,-1.9,0.2
20,2 seasons,,SEA,NBA,,146,3538,18.7,.572,.275,.478,1.5,9.1,5.3,28.3,1.5,0.2,10.1,18.0,,12.1,0.5,12.5,.170,,3.2,-2.5,0.7,2.4
21,1 season,,VAN,NBA,,74,1956,9.9,.465,.095,.310,1.3,7.1,4.2,26.6,1.5,0.4,20.8,17.9,,-0.9,-0.4,-1.3,-0.032,,-3.1,-3.2,-6.2,-2.1
22,1 season,,POR,NBA,,67,872,13.3,.572,.317,.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,,1.6,0.8,2.3,.128,,-0.3,-0.7,-0.9,0.2
23,1 season,,NOH,NBA,,61,733,12.6,.531,.257,.351,0.8,8.2,4.5,28.3,1.4,0.1,18.2,17.7,,0.6,0.6,1.1,.074,,-2.2,-2.7,-4.9,-0.5
24,1 season,,PHI,NBA,,4,35,6.7,.510,.400,.400,0.0,16.5,8.2,7.9,0.0,0.0,14.5,9.1,,0.0,0.0,0.0,.044,,-4.9,-1.1,-6.0,0.0
