,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,21,DEN,NBA,PF,76,2280,15.6,.516,.005,.276,11.6,17.4,14.5,5.8,1.2,3.6,13.5,22.4,,0.9,2.7,3.6,.075,,-2.0,0.4,-1.6,0.2
2,1996-97,22,DEN,NBA,PF,74,2565,15.5,.509,.030,.334,7.0,16.8,11.9,7.8,1.3,3.4,13.0,26.6,,0.0,1.8,1.8,.034,,-2.6,-0.2,-2.8,-0.5
3,1997-98,23,PHO,NBA,PF,81,2441,20.3,.571,.002,.355,10.1,19.0,14.7,7.5,2.2,4.0,11.7,22.5,,4.8,4.6,9.4,.185,,0.8,2.4,3.2,3.2
4,1998-99,24,DEN,NBA,C,50,1937,21.7,.515,.010,.383,9.7,22.8,16.0,8.7,2.0,4.2,11.8,27.3,,2.9,1.3,4.2,.105,,0.1,0.6,0.7,1.3
5,1999-00,25,DEN,NBA,PF,81,2698,19.6,.539,.002,.426,9.4,18.4,13.8,10.9,1.3,3.5,13.8,26.9,,3.3,2.9,6.2,.110,,0.3,0.6,0.9,2.0
6,2000-01,26,DEN,NBA,PF,70,2555,22.0,.538,.000,.373,10.1,26.1,18.0,10.8,0.9,2.7,10.7,26.5,,5.2,2.6,7.8,.146,,1.0,0.1,1.1,2.0
7,2001-02,27,DEN,NBA,PF,10,236,21.0,.631,.000,.440,8.3,18.8,13.3,13.8,2.3,2.5,18.3,20.8,,0.5,0.2,0.8,.155,,0.8,1.2,2.1,0.2
8,2003-04,29,TOT,NBA,PF,42,927,12.6,.486,.000,.257,8.7,23.0,15.9,6.5,2.1,1.9,16.0,17.6,,0.0,1.2,1.2,.061,,-3.3,1.0,-2.3,-0.1
9,2003-04,29,NYK,NBA,PF,18,421,13.6,.479,.000,.268,8.6,23.8,16.3,8.3,1.5,2.0,14.5,20.5,,0.0,0.6,0.6,.063,,-3.1,0.7,-2.4,0.0
10,2003-04,29,PHO,NBA,PF,24,506,11.8,.494,.000,.246,8.8,22.4,15.6,5.0,2.6,1.9,17.7,15.1,,0.0,0.6,0.6,.060,,-3.5,1.2,-2.3,0.0
11,2004-05,30,DET,NBA,PF,77,1797,17.2,.542,.002,.321,11.6,19.7,15.7,7.3,1.4,2.2,12.0,20.3,,2.5,3.3,5.7,.154,,-0.8,1.0,0.2,1.0
12,2005-06,31,DET,NBA,PF,82,1733,15.5,.520,.004,.218,10.6,19.4,15.0,8.8,1.5,2.0,11.0,18.9,,1.9,2.8,4.6,.128,,-1.2,1.2,0.0,0.9
13,2006-07,32,DET,NBA,PF,82,1729,18.1,.552,.000,.257,11.3,22.7,17.0,7.2,1.9,2.9,11.1,18.6,,2.8,3.2,6.0,.168,,-0.4,1.8,1.5,1.5
14,2007-08,33,DET,NBA,PF,78,2285,14.1,.511,.003,.260,10.6,24.3,17.4,6.2,1.5,1.8,10.1,15.3,,2.4,4.3,6.7,.141,,-1.3,2.4,1.1,1.8
15,2008-09,34,DET,NBA,PF,62,1866,16.6,.529,.000,.164,11.6,27.2,19.3,7.3,1.2,2.1,8.3,15.7,,2.8,2.8,5.6,.144,,-0.7,1.8,1.1,1.5
16,2009-10,35,SAS,NBA,PF,77,1617,12.2,.492,.005,.133,11.0,21.8,16.5,7.7,1.4,1.4,14.8,15.1,,0.6,2.6,3.2,.094,,-2.5,2.1,-0.4,0.7
17,2010-11,36,SAS,NBA,PF,73,1387,12.8,.516,.003,.224,10.5,22.3,16.5,9.0,1.3,2.0,16.0,14.9,,1.0,2.1,3.0,.105,,-2.2,2.2,0.0,0.7
18,Career,,,NBA,,1015,28053,17.2,.529,.006,.313,10.2,21.2,15.7,8.1,1.5,2.8,12.3,21.4,,31.5,38.3,69.8,.119,,-0.8,1.2,0.3,16.4
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5 seasons,,DET,NBA,,381,9410,16.2,.531,.002,.246,11.1,22.8,16.9,7.3,1.5,2.2,10.6,17.6,,12.4,16.3,28.7,.146,,-0.9,1.7,0.8,6.6
21,6 seasons,,DEN,NBA,,361,12271,18.8,.526,.009,.363,9.5,20.2,14.8,9.0,1.3,3.4,12.7,25.9,,12.8,11.5,24.3,.095,,-0.6,0.3,-0.3,5.3
22,2 seasons,,SAS,NBA,,150,3004,12.5,.503,.004,.174,10.8,22.0,16.5,8.3,1.4,1.7,15.4,15.0,,1.5,4.6,6.2,.099,,-2.3,2.2,-0.2,1.4
23,2 seasons,,PHO,NBA,,105,2947,18.8,.563,.002,.342,9.9,19.6,14.8,7.0,2.2,3.6,12.4,21.3,,4.8,5.3,10.0,.164,,0.1,2.2,2.2,3.1
24,1 season,,NYK,NBA,,18,421,13.6,.479,.000,.268,8.6,23.8,16.3,8.3,1.5,2.0,14.5,20.5,,0.0,0.6,0.6,.063,,-3.1,0.7,-2.4,0.0
