,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2009-10,21,DET,NBA,SF,69,915,12.8,.546,.322,.190,4.2,19.8,11.5,6.3,1.5,2.4,13.1,18.5,,0.6,0.7,1.3,.067,,-1.9,-0.8,-2.7,-0.2
2,2010-11,22,DET,NBA,SF,72,1446,13.0,.518,.365,.229,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,,1.2,0.9,2.1,.070,,-0.6,-0.7,-1.3,0.3
3,2011-12,23,DET,NBA,SF,41,603,7.1,.394,.273,.189,2.7,15.8,9.0,9.2,2.0,2.8,14.0,21.9,,-1.3,0.6,-0.6,-0.050,,-5.6,-0.3,-5.9,-0.6
4,2012-13,24,TOT,NBA,SF,55,676,12.9,.554,.471,.163,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,,0.8,0.9,1.6,.117,,-0.8,0.1,-0.7,0.2
5,2012-13,24,DET,NBA,SF,24,348,12.6,.581,.412,.186,3.2,17.9,10.4,9.6,0.8,1.8,11.0,15.4,,0.5,0.2,0.8,.108,,-0.5,-1.1,-1.6,0.0
6,2012-13,24,MEM,NBA,SF,31,328,13.3,.529,.523,.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,,0.2,0.6,0.9,.127,,-1.1,1.4,0.3,0.2
7,2013-14,25,TOT,NBA,SF,22,148,11.0,.456,.544,.147,3.9,16.4,10.4,8.2,1.4,2.0,6.5,23.7,,-0.1,0.2,0.1,.047,,-1.8,-1.4,-3.2,0.0
8,2013-14,25,TOR,NBA,SF,8,33,2.4,.279,.615,.231,7.0,17.8,12.4,9.2,0.0,0.0,0.0,19.7,,-0.1,0.0,0.0,-0.067,,-5.0,-3.6,-8.6,-0.1
9,2013-14,25,SAS,NBA,SF,14,115,13.5,.499,.527,.127,3.1,16.0,9.8,7.9,1.8,2.5,7.9,24.8,,0.0,0.2,0.2,.080,,-0.9,-0.7,-1.6,0.0
10,2014-15,26,TOT,NBA,SF,34,344,8.2,.449,.504,.043,3.4,21.0,12.4,7.5,1.8,1.1,13.8,22.1,,-0.6,0.5,0.0,-0.001,,-4.4,-1.0,-5.4,-0.3
11,2014-15,26,SAS,NBA,SF,26,268,7.1,.441,.496,.035,2.6,22.8,12.9,5.1,1.5,0.8,13.4,22.9,,-0.5,0.4,-0.1,-0.021,,-5.3,-1.5,-6.8,-0.3
12,2014-15,26,ATL,NBA,SF,8,76,12.1,.484,.538,.077,6.2,14.6,10.5,16.0,2.7,2.2,15.7,19.2,,0.0,0.1,0.1,.068,,-1.3,0.9,-0.3,0.0
13,Career,,,NBA,,293,4132,11.6,.500,.379,.182,4.0,18.6,11.1,8.3,1.5,2.3,11.8,19.3,,0.6,3.9,4.5,.053,,-2.0,-0.6,-2.6,-0.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,DET,NBA,,206,3312,11.8,.505,.339,.206,4.3,18.3,11.0,8.1,1.5,2.3,11.9,18.9,,1.0,2.5,3.5,.051,,-1.9,-0.7,-2.6,-0.5
16,2 seasons,,SAS,NBA,,40,383,9.1,.460,.506,.065,2.7,20.8,12.0,6.0,1.6,1.3,11.6,23.4,,-0.6,0.6,0.1,.009,,-4.0,-1.3,-5.2,-0.3
17,1 season,,MEM,NBA,,31,328,13.3,.529,.523,.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,,0.2,0.6,0.9,.127,,-1.1,1.4,0.3,0.2
18,1 season,,ATL,NBA,,8,76,12.1,.484,.538,.077,6.2,14.6,10.5,16.0,2.7,2.2,15.7,19.2,,0.0,0.1,0.1,.068,,-1.3,0.9,-0.3,0.0
19,1 season,,TOR,NBA,,8,33,2.4,.279,.615,.231,7.0,17.8,12.4,9.2,0.0,0.0,0.0,19.7,,-0.1,0.0,0.0,-0.067,,-5.0,-3.6,-8.6,-0.1
