,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1988-89,23,SEA,NBA,PG,43,291,10.8,.378,.108,.193,4.1,5.2,4.6,31.3,3.5,0.6,16.7,14.8,,0.0,0.3,0.3,.045,,-2.6,-1.3,-3.9,-0.1
2,1989-90,24,SEA,NBA,PG,53,575,11.6,.439,.028,.282,4.1,4.7,4.4,36.4,2.3,0.1,23.1,15.1,,0.2,0.3,0.5,.043,,-2.1,-2.6,-4.7,-0.4
3,1990-91,25,TOT,NBA,PG,68,959,13.4,.507,.032,.314,2.4,6.0,4.3,31.4,2.3,0.2,19.0,16.2,,0.7,0.9,1.6,.082,,-1.8,-1.8,-3.6,-0.4
4,1990-91,25,DEN,NBA,PG,21,217,14.2,.481,.059,.471,3.6,5.8,4.6,41.5,2.7,0.5,24.8,17.7,,0.0,0.0,0.1,.014,,-2.5,-3.7,-6.2,-0.2
5,1990-91,25,SAS,NBA,PG,47,742,13.2,.517,.024,.263,2.0,6.1,4.2,28.5,2.2,0.2,16.8,15.7,,0.7,0.9,1.6,.101,,-1.6,-1.3,-2.8,-0.2
6,1991-92,26,TOT,NBA,PG,69,1235,11.9,.515,.045,.306,1.2,5.9,3.6,30.5,2.5,0.4,22.7,16.9,,0.1,1.2,1.3,.051,,-3.0,-1.8,-4.8,-0.9
7,1991-92,26,SAS,NBA,PG,20,463,11.4,.553,.046,.296,1.2,7.0,4.1,29.4,2.3,0.4,26.9,15.2,,0.1,0.6,0.6,.066,,-2.6,-1.0,-3.6,-0.2
8,1991-92,26,HOU,NBA,PG,49,772,12.3,.497,.045,.311,1.2,5.2,3.2,31.2,2.6,0.5,20.5,17.8,,0.0,0.6,0.7,.042,,-3.2,-2.3,-5.5,-0.7
9,1992-93,27,SAS,NBA,PG,75,2030,15.8,.556,.016,.357,1.2,6.8,4.1,39.1,2.1,0.5,19.7,15.9,,3.3,1.9,5.2,.122,,0.1,-1.9,-1.8,0.1
10,1993-94,28,GSW,NBA,PG,82,2332,13.9,.533,.017,.349,1.9,6.2,4.1,25.3,2.3,0.2,17.1,17.8,,2.6,1.5,4.1,.085,,-0.7,-1.6,-2.3,-0.2
11,1994-95,29,SAS,NBA,PG,82,3011,15.7,.554,.025,.342,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,,5.1,3.0,8.0,.128,,0.8,-0.8,-0.1,1.5
12,1995-96,30,SAS,NBA,PG,82,3084,16.3,.534,.035,.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,,5.6,3.5,9.1,.141,,0.6,-1.1,-0.4,1.2
13,1996-97,31,SAS,NBA,PG,76,2472,15.0,.517,.038,.296,1.5,5.8,3.6,35.5,2.1,0.5,15.9,17.3,,3.4,0.0,3.4,.066,,-0.2,-3.0,-3.2,-0.8
14,1997-98,32,SAS,NBA,PG,75,2674,14.1,.514,.019,.250,1.4,4.9,3.2,36.2,1.7,0.5,18.1,16.0,,3.5,3.2,6.7,.120,,-0.7,-1.3,-2.0,0.0
15,1998-99,33,SAS,NBA,PG,50,1672,14.0,.487,.026,.191,1.6,6.1,4.0,37.4,1.7,0.5,18.3,17.0,,1.7,2.2,3.9,.111,,-0.5,-0.8,-1.4,0.3
16,1999-00,34,SAS,NBA,PG,82,2571,14.8,.500,.011,.182,1.5,5.3,3.5,32.5,1.6,0.5,13.2,19.0,,3.3,3.0,6.3,.117,,0.1,-1.2,-1.0,0.6
17,2000-01,35,SAS,NBA,PG,55,1290,11.5,.475,.020,.200,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,,1.3,1.3,2.6,.098,,-1.4,-1.3,-2.6,-0.2
18,2001-02,36,TOT,NBA,PG,68,1352,16.6,.531,.012,.377,1.1,4.8,2.9,36.0,1.6,0.5,13.1,19.2,,2.8,0.2,3.0,.106,,0.1,-4.2,-4.2,-0.7
19,2001-02,36,DEN,NBA,PG,51,1200,17.3,.538,.013,.381,1.3,5.0,3.0,37.0,1.5,0.5,13.0,19.2,,2.7,0.1,2.8,.114,,0.5,-4.2,-3.7,-0.5
20,2001-02,36,DAL,NBA,PG,17,152,11.8,.478,.000,.347,0.0,3.6,1.8,27.6,1.7,0.5,13.7,19.5,,0.1,0.0,0.1,.044,,-3.1,-4.5,-7.6,-0.2
21,2002-03,37,DAL,NBA,PG,48,430,12.2,.467,.013,.260,2.6,5.4,4.0,22.8,1.8,0.2,14.8,20.7,,0.1,0.3,0.4,.044,,-3.0,-2.4,-5.4,-0.4
22,2003-04,38,GSW,NBA,PG,46,637,11.7,.454,.015,.392,0.5,5.3,2.9,29.1,2.2,0.3,17.9,20.6,,-0.2,0.4,0.2,.016,,-3.8,-2.9,-6.6,-0.7
23,Career,,,NBA,,1054,26615,14.5,.517,.025,.290,1.6,5.7,3.7,33.9,2.0,0.4,17.0,17.2,,33.5,23.1,56.5,.102,,-0.5,-1.7,-2.2,-1.1
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10 seasons,,SAS,NBA,,644,20009,14.8,.523,.025,.271,1.6,5.7,3.7,35.2,1.9,0.4,16.9,16.9,,27.8,19.5,47.3,.113,,-0.1,-1.4,-1.5,2.4
26,2 seasons,,GSW,NBA,,128,2969,13.4,.516,.016,.359,1.6,6.0,3.8,26.1,2.3,0.2,17.3,18.4,,2.4,1.9,4.4,.070,,-1.4,-1.9,-3.2,-0.9
27,2 seasons,,SEA,NBA,,96,866,11.3,.417,.058,.249,4.1,4.8,4.5,34.7,2.7,0.3,20.9,15.0,,0.2,0.6,0.8,.043,,-2.3,-2.2,-4.5,-0.5
28,2 seasons,,DEN,NBA,,72,1417,16.8,.529,.020,.395,1.6,5.1,3.3,37.7,1.7,0.5,15.1,19.0,,2.7,0.2,2.9,.099,,0.0,-4.1,-4.1,-0.8
29,2 seasons,,DAL,NBA,,65,582,12.1,.470,.010,.281,1.9,4.9,3.4,24.1,1.8,0.3,14.5,20.4,,0.2,0.3,0.5,.044,,-3.0,-2.9,-5.9,-0.6
30,1 season,,HOU,NBA,,49,772,12.3,.497,.045,.311,1.2,5.2,3.2,31.2,2.6,0.5,20.5,17.8,,0.0,0.6,0.7,.042,,-3.2,-2.3,-5.5,-0.7
