,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2004-05,22,SAS,NBA,PG,80,1149,14.3,.549,.364,.228,1.6,6.8,4.2,22.2,1.9,0.6,15.2,20.5,,1.3,1.8,3.1,.128,,0.1,-0.9,-0.7,0.4
2,2005-06,23,SAS,NBA,PG,54,586,15.3,.539,.300,.215,3.7,6.7,5.2,27.3,1.3,0.2,17.2,25.1,,0.5,0.8,1.3,.109,,0.3,-2.0,-1.7,0.0
3,2006-07,24,SAS,NBA,PG,73,948,10.3,.459,.334,.174,1.5,8.7,5.2,20.6,1.5,0.1,13.1,21.3,,-0.3,1.4,1.0,.053,,-2.6,-1.2,-3.8,-0.4
4,2007-08,25,SAC,NBA,PG,65,2080,13.3,.540,.194,.208,2.0,10.2,6.2,22.2,1.4,0.4,16.1,19.8,,1.5,0.9,2.4,.056,,-0.2,-1.6,-1.7,0.1
5,2008-09,26,SAC,NBA,PG,73,2270,12.3,.525,.162,.216,2.4,9.0,5.7,24.7,1.8,0.4,17.2,18.2,,1.0,0.2,1.2,.026,,-0.9,-1.9,-2.8,-0.4
6,2009-10,27,SAC,NBA,PG,79,2477,15.7,.566,.237,.168,1.7,8.5,5.1,24.1,1.8,0.3,13.1,18.6,,4.2,1.3,5.5,.107,,1.6,-1.4,0.2,1.4
7,2010-11,28,SAC,NBA,PG,79,2734,15.7,.587,.221,.277,1.7,9.6,5.5,22.1,1.7,0.2,13.2,16.9,,5.6,1.6,7.2,.126,,1.8,-0.8,1.0,2.1
8,2011-12,29,MIL,NBA,SG,59,1080,13.1,.488,.178,.166,2.6,8.0,5.2,32.2,1.8,0.1,17.8,17.7,,0.8,0.6,1.4,.061,,-1.1,-2.4,-3.5,-0.4
9,2012-13,30,TOT,NBA,SG-PG,66,1457,14.2,.516,.214,.216,2.5,8.2,5.3,32.3,1.5,0.2,17.2,19.3,,1.5,0.7,2.2,.071,,-0.5,-2.6,-3.2,-0.4
10,2012-13,30,MIL,NBA,SG,39,719,13.6,.521,.206,.139,2.5,9.5,5.8,30.4,1.1,0.2,17.3,18.5,,0.6,0.4,1.1,.070,,-1.0,-2.5,-3.6,-0.3
11,2012-13,30,ORL,NBA,PG,27,738,14.9,.512,.223,.294,2.6,7.0,4.8,34.2,1.8,0.1,17.0,20.0,,0.9,0.2,1.1,.073,,0.0,-2.7,-2.8,-0.1
12,2013-14,31,TOT,NBA,SG,41,643,12.7,.523,.236,.169,1.8,9.2,5.4,28.0,1.9,0.5,19.7,17.2,,0.5,0.3,0.8,.061,,-1.4,-2.0,-3.4,-0.2
13,2013-14,31,NYK,NBA,SG,31,588,12.4,.507,.250,.150,1.9,9.7,5.7,28.9,2.0,0.5,19.8,16.8,,0.4,0.3,0.7,.056,,-1.4,-1.8,-3.3,-0.2
14,2013-14,31,MEM,NBA,SG,10,55,16.0,.654,.111,.333,0.0,4.3,2.2,18.0,1.0,1.5,19.5,21.5,,0.1,0.0,0.1,.117,,-1.3,-3.3,-4.6,0.0
15,2014-15,32,MEM,NBA,PG,79,1494,15.4,.550,.192,.202,1.5,9.4,5.5,24.0,1.6,0.4,13.9,19.6,,2.0,1.6,3.6,.115,,0.2,-1.0,-0.8,0.5
16,2015-16,33,TOT,NBA,PG,44,707,9.5,.496,.222,.101,1.3,10.0,5.8,24.9,1.0,0.1,20.4,16.7,,-0.1,0.5,0.4,.029,,-2.8,-2.0,-4.8,-0.5
17,2015-16,33,MEM,NBA,PG,8,120,12.6,.497,.239,.065,1.8,7.0,4.3,36.4,1.3,0.8,18.9,21.8,,0.0,0.0,0.1,.024,,-1.6,-4.2,-5.8,-0.1
18,2015-16,33,MIA,NBA,PG,36,587,8.9,.495,.217,.112,1.2,10.7,6.1,22.5,1.0,0.0,20.8,15.7,,-0.1,0.5,0.4,.030,,-3.1,-1.5,-4.6,-0.4
19,2016-17,34,DET,NBA,PG,39,560,16.1,.535,.162,.173,1.1,10.3,5.6,35.4,1.2,0.0,14.9,19.7,,0.8,0.5,1.3,.111,,-0.5,-2.1,-2.6,-0.1
20,Career,,,NBA,,831,18185,14.0,.539,.225,.204,1.9,8.9,5.4,25.1,1.6,0.3,15.5,18.9,,19.4,12.0,31.4,.083,,0.0,-1.5,-1.6,2.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4 seasons,,SAC,NBA,,296,9561,14.4,.557,.206,.217,1.9,9.3,5.6,23.3,1.7,0.3,14.8,18.2,,12.3,4.0,16.3,.082,,0.7,-1.4,-0.7,3.2
23,3 seasons,,SAS,NBA,,207,2683,13.1,.515,.338,.206,2.0,7.5,4.8,22.8,1.6,0.4,15.0,21.8,,1.5,3.9,5.4,.097,,-0.8,-1.2,-2.0,0.0
24,2 seasons,,MIL,NBA,,98,1799,13.3,.502,.189,.154,2.5,8.6,5.5,31.5,1.5,0.1,17.6,18.0,,1.4,1.0,2.4,.065,,-1.1,-2.4,-3.5,-0.7
25,3 seasons,,MEM,NBA,,97,1669,15.2,.549,.193,.195,1.5,9.0,5.3,24.7,1.6,0.5,14.5,19.8,,2.1,1.7,3.8,.108,,0.0,-1.3,-1.3,0.3
26,1 season,,DET,NBA,,39,560,16.1,.535,.162,.173,1.1,10.3,5.6,35.4,1.2,0.0,14.9,19.7,,0.8,0.5,1.3,.111,,-0.5,-2.1,-2.6,-0.1
27,1 season,,MIA,NBA,,36,587,8.9,.495,.217,.112,1.2,10.7,6.1,22.5,1.0,0.0,20.8,15.7,,-0.1,0.5,0.4,.030,,-3.1,-1.5,-4.6,-0.4
28,1 season,,NYK,NBA,,31,588,12.4,.507,.250,.150,1.9,9.7,5.7,28.9,2.0,0.5,19.8,16.8,,0.4,0.3,0.7,.056,,-1.4,-1.8,-3.3,-0.2
29,1 season,,ORL,NBA,,27,738,14.9,.512,.223,.294,2.6,7.0,4.8,34.2,1.8,0.1,17.0,20.0,,0.9,0.2,1.1,.073,,0.0,-2.7,-2.8,-0.1
