,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,24,MEM,NBA,C,82,2521,16.7,.590,.002,.567,9.6,20.0,14.7,9.7,1.3,2.9,16.6,18.3,,3.7,2.7,6.4,.121,,-0.2,1.5,1.2,2.1
2,2009-10,25,MEM,NBA,C,69,2469,19.3,.617,.002,.578,9.8,20.5,15.1,10.2,1.4,3.4,14.2,16.9,,5.9,2.5,8.4,.164,,2.1,2.3,4.3,3.9
3,2010-11,26,MEM,NBA,C,81,2586,16.8,.580,.010,.425,7.1,19.4,13.1,11.6,1.5,4.3,15.1,16.9,,4.0,3.9,7.9,.146,,0.2,3.4,3.6,3.6
4,2011-12,27,MEM,NBA,C,65,2370,18.4,.541,.016,.428,5.8,23.1,14.3,14.1,1.4,4.1,12.1,19.1,,4.2,4.0,8.2,.166,,0.3,3.6,3.9,3.5
5,2012-13,28,MEM,NBA,C,80,2796,19.5,.559,.016,.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,,6.1,5.4,11.5,.197,,1.7,4.4,6.1,5.7
6,2013-14,29,MEM,NBA,C,59,1970,18.2,.526,.015,.339,5.0,20.5,12.7,17.7,1.6,3.2,12.0,21.7,,2.6,3.1,5.6,.137,,0.0,2.9,2.9,2.4
7,2014-15,30,MEM,NBA,C,81,2687,21.7,.558,.016,.410,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,,5.5,4.7,10.2,.182,,1.3,3.5,4.8,4.6
8,2015-16,31,MEM,NBA,C,52,1791,17.7,.528,.004,.347,3.5,20.2,11.5,18.9,1.4,3.6,12.7,23.4,,1.8,1.9,3.7,.098,,-0.7,1.7,1.0,1.3
9,2016-17,32,MEM,NBA,C,74,2531,20.2,.554,.231,.286,2.6,18.7,10.4,24.8,1.4,3.7,11.3,26.4,,4.2,3.5,7.7,.145,,2.1,2.2,4.2,4.0
10,Career,,,NBA,,643,21721,18.8,.561,.046,.404,6.4,20.3,13.2,16.2,1.4,3.7,13.1,20.6,,37.8,31.8,69.5,.154,,0.8,2.9,3.7,31.2
