,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2007-08,23,ORL,NBA,C,6,41,19.8,.491,.000,.176,23.5,21.6,22.5,8.4,1.3,1.8,9.8,22.7,,0.1,0.1,0.1,.158,,-0.3,-0.6,-0.8,0.0
2,2008-09,24,ORL,NBA,PF,63,794,17.0,.578,.005,.241,14.0,26.3,20.3,2.9,1.2,4.8,10.8,13.5,,1.4,1.9,3.3,.202,,-2.3,2.9,0.6,0.5
3,2009-10,25,ORL,NBA,C,81,1088,13.9,.563,.013,.330,11.5,24.3,18.1,2.4,0.8,4.8,15.0,13.0,,1.2,2.2,3.4,.151,,-3.0,2.5,-0.5,0.4
4,2010-11,26,TOT,NBA,C,80,2032,17.8,.594,.007,.320,8.5,27.4,18.0,5.5,0.9,3.3,10.5,17.1,,3.7,2.7,6.4,.152,,-1.0,1.7,0.7,1.4
5,2010-11,26,ORL,NBA,C,25,396,13.7,.562,.000,.222,11.5,23.0,17.4,6.8,0.9,4.1,16.0,12.4,,0.5,0.8,1.3,.157,,-2.1,3.8,1.7,0.4
6,2010-11,26,PHO,NBA,C,55,1636,18.8,.598,.008,.335,7.8,28.5,18.1,5.2,0.9,3.2,9.7,18.3,,3.2,1.9,5.1,.151,,-0.7,1.2,0.5,1.0
7,2011-12,27,PHO,NBA,C,66,2114,21.2,.578,.003,.326,10.0,25.0,17.6,4.8,1.2,3.4,9.3,20.8,,4.9,2.7,7.6,.172,,0.8,1.2,2.0,2.1
8,2012-13,28,PHO,NBA,C,61,1876,15.4,.543,.005,.244,7.6,24.0,15.6,6.5,1.1,3.9,13.6,17.2,,1.3,2.1,3.4,.086,,-2.4,1.8,-0.6,0.7
9,2013-14,29,WAS,NBA,C,81,2655,17.6,.568,.001,.273,8.7,25.1,16.7,8.4,0.8,3.8,11.8,18.2,,4.1,4.0,8.1,.146,,-1.1,2.1,1.0,2.0
10,2014-15,30,WAS,NBA,C,82,2453,18.2,.587,.004,.226,8.5,24.1,16.5,6.5,1.0,3.6,10.5,17.6,,4.4,4.2,8.6,.168,,-0.4,2.3,1.8,2.4
11,2015-16,31,WAS,NBA,C,75,2256,19.0,.592,.001,.271,10.8,26.3,18.4,7.5,1.0,3.4,12.4,18.9,,4.2,3.1,7.3,.156,,-0.5,1.7,1.2,1.8
12,2016-17,32,WAS,NBA,C,82,2556,15.5,.593,.003,.236,10.6,26.8,18.7,6.8,0.8,2.1,13.7,14.7,,3.9,2.9,6.8,.128,,-0.9,1.2,0.4,1.5
13,Career,,,NBA,,677,17865,17.5,.579,.004,.272,9.6,25.5,17.6,6.2,1.0,3.5,11.7,17.3,,29.1,25.9,55.1,.148,,-1.0,1.8,0.9,12.9
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,WAS,NBA,,320,9920,17.5,.584,.002,.252,9.6,25.6,17.6,7.3,0.9,3.2,12.1,17.3,,16.6,14.2,30.8,.149,,-0.7,1.8,1.1,7.7
16,3 seasons,,PHO,NBA,,182,5626,18.5,.573,.005,.304,8.5,25.7,17.1,5.5,1.1,3.5,10.7,18.9,,9.4,6.7,16.1,.137,,-0.7,1.4,0.7,3.8
17,4 seasons,,ORL,NBA,,175,2319,15.0,.566,.008,.275,12.5,24.7,18.8,3.4,1.0,4.6,13.6,13.3,,3.2,5.0,8.2,.170,,-2.6,2.8,0.3,1.3
