,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,23,PHI,NBA,SF,44,336,9.4,.495,.097,.441,7.9,12.5,10.2,7.8,1.7,0.2,13.9,17.7,,0.0,0.3,0.3,.045,,-2.8,-1.3,-4.1,-0.2
2,2007-08,24,TOT,NBA,C-SF,47,531,9.9,.548,.379,.364,6.2,13.3,9.8,7.9,1.4,0.4,14.7,15.9,,0.4,0.4,0.8,.070,,-1.7,-1.5,-3.1,-0.2
3,2007-08,24,DEN,NBA,C,25,222,8.5,.550,.359,.438,5.5,12.9,9.3,6.9,1.1,0.3,15.5,17.3,,0.1,0.2,0.3,.071,,-2.2,-2.2,-4.4,-0.1
4,2007-08,24,MEM,NBA,SF,9,137,12.1,.495,.361,.278,8.1,14.0,11.0,12.0,1.8,1.1,11.0,14.7,,0.1,0.1,0.2,.079,,-0.6,-0.2,-0.9,0.0
5,2007-08,24,HOU,NBA,SF,4,9,5.9,.500,.000,.000,0.0,12.3,6.3,0.0,5.9,0.0,20.0,25.4,,0.0,0.0,0.0,-0.018,,-9.2,-0.1,-9.3,0.0
6,2007-08,24,MIA,NBA,SF,6,143,11.2,.636,.469,.406,6.6,13.6,10.1,5.9,0.7,0.0,15.7,14.8,,0.2,0.1,0.2,.080,,-0.6,-2.3,-2.9,0.0
7,2007-08,24,SAS,NBA,SF,3,20,3.4,.250,.500,.000,0.0,11.6,5.9,7.2,5.4,0.0,20.0,12.0,,-0.1,0.0,0.0,-0.042,,-7.6,4.4,-3.2,0.0
8,Career,,,NBA,,91,867,9.7,.527,.266,.395,6.8,13.0,9.9,7.8,1.5,0.3,14.4,16.6,,0.4,0.7,1.1,.060,,-2.1,-1.4,-3.5,-0.3
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1 season,,PHI,NBA,,44,336,9.4,.495,.097,.441,7.9,12.5,10.2,7.8,1.7,0.2,13.9,17.7,,0.0,0.3,0.3,.045,,-2.8,-1.3,-4.1,-0.2
11,1 season,,DEN,NBA,,25,222,8.5,.550,.359,.438,5.5,12.9,9.3,6.9,1.1,0.3,15.5,17.3,,0.1,0.2,0.3,.071,,-2.2,-2.2,-4.4,-0.1
12,1 season,,MEM,NBA,,9,137,12.1,.495,.361,.278,8.1,14.0,11.0,12.0,1.8,1.1,11.0,14.7,,0.1,0.1,0.2,.079,,-0.6,-0.2,-0.9,0.0
13,1 season,,MIA,NBA,,6,143,11.2,.636,.469,.406,6.6,13.6,10.1,5.9,0.7,0.0,15.7,14.8,,0.2,0.1,0.2,.080,,-0.6,-2.3,-2.9,0.0
14,1 season,,HOU,NBA,,4,9,5.9,.500,.000,.000,0.0,12.3,6.3,0.0,5.9,0.0,20.0,25.4,,0.0,0.0,0.0,-0.018,,-9.2,-0.1,-9.3,0.0
15,1 season,,SAS,NBA,,3,20,3.4,.250,.500,.000,0.0,11.6,5.9,7.2,5.4,0.0,20.0,12.0,,-0.1,0.0,0.0,-0.042,,-7.6,4.4,-3.2,0.0
