,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,24,LAC,NBA,SG,79,1898,15.9,.609,.496,.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,,3.7,1.2,4.9,.124,,2.7,-1.0,1.7,1.8
2,1996-97,25,LAC,NBA,SG,59,1094,15.0,.526,.456,.245,3.1,8.9,5.9,23.1,2.5,1.1,15.3,20.3,,1.2,0.9,2.1,.090,,1.2,-1.1,0.0,0.6
3,1997-98,26,TOT,NBA,SG,58,1600,14.3,.558,.453,.265,2.1,10.2,6.1,15.8,2.1,1.1,15.5,18.7,,2.1,0.6,2.7,.080,,1.2,-1.0,0.2,0.9
4,1997-98,26,LAC,NBA,SG,41,1341,14.9,.564,.439,.275,2.3,9.9,6.1,16.4,1.9,1.1,16.0,19.6,,1.8,0.2,2.0,.072,,1.6,-1.5,0.1,0.7
5,1997-98,26,MIA,NBA,SG,17,259,11.2,.520,.548,.194,0.9,11.4,6.3,12.8,3.0,1.1,11.8,13.7,,0.3,0.4,0.7,.125,,-0.7,1.3,0.6,0.2
6,1998-99,27,CHI,NBA,SG,37,1181,12.9,.514,.483,.284,3.7,11.0,7.2,19.0,1.9,0.7,15.2,18.8,,0.7,0.9,1.6,.065,,0.5,-0.6,-0.1,0.6
7,1999-00,28,SEA,NBA,SG,80,2726,14.6,.609,.564,.222,2.0,13.1,7.5,16.0,1.9,0.8,15.5,14.9,,4.9,2.5,7.5,.131,,2.0,0.4,2.4,3.0
8,2000-01,29,SEA,NBA,SG,67,1778,16.6,.660,.571,.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,,4.6,1.2,5.8,.157,,3.5,-0.3,3.2,2.3
9,2001-02,30,SEA,NBA,SG,81,3040,19.3,.652,.490,.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,,8.8,3.3,12.1,.191,,4.7,1.1,5.8,6.0
10,2002-03,31,SEA,NBA,SG,75,2480,15.8,.597,.508,.279,2.2,12.2,7.1,25.0,2.5,0.5,18.0,14.9,,4.8,2.5,7.3,.141,,2.3,0.6,2.9,3.0
11,2003-04,32,SEA,NBA,SG,59,1803,18.3,.668,.590,.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,,4.9,0.7,5.7,.151,,3.9,-1.0,2.9,2.3
12,2004-05,33,SAS,NBA,SG,81,1742,14.0,.580,.610,.294,1.9,10.8,6.4,16.3,1.2,0.8,11.0,15.6,,3.5,2.7,6.1,.168,,1.7,0.3,2.0,1.8
13,2005-06,34,SAS,NBA,SG,74,1259,14.8,.581,.586,.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16.0,,2.1,2.2,4.3,.162,,1.5,1.2,2.7,1.5
14,2006-07,35,SAS,NBA,SG,75,1631,16.6,.666,.675,.275,1.3,10.2,5.9,13.3,1.8,0.5,11.3,15.6,,4.2,2.6,6.8,.201,,3.5,0.4,3.9,2.4
15,2007-08,36,SAS,NBA,SF,31,554,16.7,.655,.700,.125,2.6,9.0,5.9,16.1,1.7,0.4,9.6,16.1,,1.5,0.8,2.3,.203,,3.7,-0.1,3.6,0.8
16,2008-09,37,HOU,NBA,SG,56,857,9.2,.575,.762,.116,2.4,10.1,6.4,13.7,1.5,0.3,21.0,12.4,,0.4,1.1,1.5,.082,,-0.9,0.4,-0.5,0.3
17,Career,,,NBA,,912,23643,15.7,.607,.546,.251,2.2,11.5,6.9,19.4,2.1,0.8,15.6,16.1,,47.4,23.1,70.5,.143,,2.5,0.0,2.6,27.2
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5 seasons,,SEA,NBA,,362,11827,16.9,.634,.538,.264,2.1,12.9,7.5,22.0,2.4,0.7,17.2,15.1,,28.1,10.2,38.3,.155,,3.3,0.3,3.6,16.6
20,4 seasons,,SAS,NBA,,261,5186,15.3,.615,.634,.238,2.0,10.7,6.4,15.1,1.6,0.9,11.3,15.8,,11.3,8.3,19.5,.181,,2.5,0.5,3.0,6.5
21,3 seasons,,LAC,NBA,,179,4333,15.4,.572,.468,.248,2.5,9.0,5.7,19.2,2.3,1.0,15.6,19.2,,6.7,2.3,9.0,.099,,2.0,-1.2,0.8,3.0
22,1 season,,HOU,NBA,,56,857,9.2,.575,.762,.116,2.4,10.1,6.4,13.7,1.5,0.3,21.0,12.4,,0.4,1.1,1.5,.082,,-0.9,0.4,-0.5,0.3
23,1 season,,CHI,NBA,,37,1181,12.9,.514,.483,.284,3.7,11.0,7.2,19.0,1.9,0.7,15.2,18.8,,0.7,0.9,1.6,.065,,0.5,-0.6,-0.1,0.6
24,1 season,,MIA,NBA,,17,259,11.2,.520,.548,.194,0.9,11.4,6.3,12.8,3.0,1.1,11.8,13.7,,0.3,0.4,0.7,.125,,-0.7,1.3,0.6,0.2
