,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,20,LAC,NBA,C,53,771,14.1,.585,.000,.741,10.5,25.5,17.8,2.3,0.7,5.7,17.4,13.9,,0.4,0.9,1.3,.079,,-4.7,0.6,-4.1,-0.4
2,2009-10,21,LAC,NBA,C,70,1137,12.7,.571,.008,.538,12.4,23.6,17.9,2.9,0.7,4.0,20.3,14.7,,0.2,1.2,1.5,.061,,-3.9,0.3,-3.7,-0.5
3,2010-11,22,LAC,NBA,C,80,2047,14.8,.648,.003,.636,11.9,20.9,16.5,3.2,1.0,5.4,18.8,11.7,,2.6,2.6,5.2,.122,,-1.2,2.5,1.3,1.7
4,2011-12,23,LAC,NBA,C,66,1798,16.4,.626,.003,.433,13.2,23.0,18.1,1.5,0.9,6.2,16.0,11.9,,3.2,2.4,5.6,.150,,-1.1,2.1,1.0,1.4
5,2012-13,24,LAC,NBA,C,82,2010,17.2,.606,.000,.510,12.7,22.4,17.6,2.2,1.3,4.7,14.3,15.9,,3.0,3.2,6.2,.148,,-0.8,1.1,0.3,1.2
6,2013-14,25,LAC,NBA,C,82,2870,18.2,.630,.000,.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,,5.3,5.8,11.1,.186,,-0.1,4.2,4.1,4.4
7,2014-15,26,LAC,NBA,C,82,2820,21.0,.638,.007,.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,,7.4,5.4,12.8,.217,,0.9,3.2,4.1,4.3
8,2015-16,27,LAC,NBA,C,77,2598,20.6,.628,.002,1.219,11.4,32.7,22.2,5.3,1.0,5.4,12.1,15.4,,6.0,5.5,11.5,.213,,-0.4,3.8,3.4,3.5
9,2016-17,28,LAC,NBA,C,81,2570,21.8,.673,.003,.737,13.3,34.6,24.2,5.7,1.0,4.3,13.2,15.3,,7.2,4.6,11.8,.220,,1.0,3.0,4.0,3.9
10,Career,,,NBA,,673,18621,18.3,.631,.003,.744,13.1,28.2,20.8,3.6,1.1,5.2,14.8,13.9,,35.3,31.6,66.9,.172,,-0.6,2.7,2.2,19.6
