,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1994-95,24,NYK,NBA,PG,10,44,-2.1,.342,.526,.526,2.8,12.9,8.0,13.7,2.4,0.0,25.5,32.7,,-0.3,0.1,-0.2,-0.258,,-11.4,-1.9,-13.3,-0.1
2,1995-96,25,NYK,NBA,PG,62,787,12.0,.505,.454,.248,4.5,10.7,7.7,25.9,3.6,0.6,24.6,19.0,,-0.4,1.4,1.0,.064,,-1.6,1.2,-0.4,0.3
3,1996-97,26,NYK,NBA,PG,79,1763,11.1,.522,.457,.371,3.2,11.5,7.5,28.4,2.5,0.7,27.3,14.1,,0.6,3.1,3.6,.099,,-1.3,1.4,0.1,0.9
4,1997-98,27,NYK,NBA,PG,82,2317,15.6,.567,.417,.219,1.7,12.6,7.1,32.4,3.4,1.2,23.6,15.0,,2.6,4.5,7.1,.148,,0.8,2.5,3.3,3.1
5,1998-99,28,NYK,NBA,PG,50,1556,13.2,.513,.446,.234,1.8,10.9,6.5,30.1,3.7,0.4,26.2,15.4,,0.2,2.9,3.1,.094,,0.0,2.2,2.2,1.7
6,1999-00,29,NYK,NBA,PG,72,1986,13.6,.559,.591,.130,1.4,11.9,6.8,23.8,2.6,0.6,17.8,13.7,,2.5,3.0,5.5,.133,,1.5,1.7,3.3,2.6
7,2000-01,30,NYK,NBA,PG,61,1492,14.5,.536,.469,.188,2.7,10.0,6.4,31.1,2.6,0.5,21.7,16.9,,1.5,2.4,3.9,.127,,1.1,0.7,1.9,1.4
8,2001-02,31,NYK,NBA,PG,63,1058,14.5,.496,.541,.191,1.6,12.3,7.0,31.7,3.4,1.0,18.6,17.8,,0.6,1.3,1.9,.087,,0.3,0.6,0.9,0.8
9,2002-03,32,NYK,NBA,PG,66,1465,15.9,.540,.645,.128,2.0,12.4,7.1,32.9,2.8,0.5,17.8,16.8,,2.4,1.3,3.7,.121,,2.5,-0.4,2.1,1.5
10,2003-04,33,TOT,NBA,PG,71,1252,14.5,.528,.528,.069,1.1,11.9,6.6,29.0,2.7,0.7,19.3,18.4,,1.1,1.8,2.9,.110,,1.0,0.0,1.0,0.9
11,2003-04,33,NYK,NBA,PG,35,827,17.5,.566,.531,.081,1.4,11.8,6.7,35.1,3.0,0.7,20.4,19.0,,1.4,1.0,2.3,.134,,2.9,-0.3,2.6,1.0
12,2003-04,33,SAS,NBA,PG,36,425,8.7,.449,.523,.046,0.5,12.0,6.3,17.3,2.2,0.5,16.9,17.4,,-0.3,0.8,0.6,.064,,-2.9,0.7,-2.2,0.0
13,2004-05,34,HOU,NBA,PG,14,360,8.7,.453,.662,.169,2.0,10.4,6.3,18.4,2.3,0.0,17.9,13.2,,-0.1,0.5,0.5,.061,,-1.7,1.1,-0.6,0.1
14,Career,,,NBA,,630,14080,13.8,.531,.512,.192,2.1,11.6,6.9,29.2,3.0,0.7,21.8,15.9,,10.6,22.4,33.0,.113,,0.5,1.3,1.8,13.3
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 seasons,,NYK,NBA,,580,13295,14.1,.536,.508,.199,2.1,11.7,7.0,29.9,3.0,0.7,22.1,15.9,,10.9,21.1,32.0,.115,,0.7,1.3,2.0,13.2
17,1 season,,SAS,NBA,,36,425,8.7,.449,.523,.046,0.5,12.0,6.3,17.3,2.2,0.5,16.9,17.4,,-0.3,0.8,0.6,.064,,-2.9,0.7,-2.2,0.0
18,1 season,,HOU,NBA,,14,360,8.7,.453,.662,.169,2.0,10.4,6.3,18.4,2.3,0.0,17.9,13.2,,-0.1,0.5,0.5,.061,,-1.7,1.1,-0.6,0.1
