,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,23,DAL,NBA,C,64,869,10.9,.456,.105,.251,7.3,19.9,13.0,5.0,1.4,2.6,10.2,14.6,,0.1,0.8,0.9,.050,,-5.0,-0.1,-5.1,-0.7
2,1996-97,24,MIN,NBA,PF,76,961,12.7,.535,.005,.376,10.3,13.7,12.0,5.6,2.3,3.8,12.0,12.7,,1.0,1.2,2.2,.112,,-1.8,1.8,0.0,0.5
3,1997-98,25,MIN,NBA,C,79,1703,13.6,.533,.002,.376,9.4,19.6,14.6,4.7,1.1,3.6,11.2,15.4,,2.0,1.8,3.8,.108,,-1.9,0.6,-1.3,0.3
4,1998-99,26,VAN,NBA,C,48,1118,9.5,.445,.004,.200,7.8,18.0,12.8,5.7,1.3,1.9,14.1,14.3,,-0.2,0.5,0.2,.010,,-3.9,-0.2,-4.2,-0.6
5,1999-00,27,VAN,NBA,C,56,808,11.9,.521,.007,.255,8.1,19.1,13.6,6.8,1.9,4.0,14.8,10.7,,0.6,0.8,1.4,.086,,-2.5,2.0,-0.5,0.3
6,2000-01,28,TOT,NBA,C,65,1054,12.6,.510,.022,.161,7.9,16.9,12.5,7.3,1.3,2.4,12.3,14.6,,0.9,1.0,1.9,.086,,-1.8,0.7,-1.1,0.2
7,2000-01,28,WAS,NBA,C,13,178,13.0,.528,.000,.447,8.4,18.1,13.1,6.4,1.7,4.4,18.0,13.9,,0.1,0.2,0.3,.070,,-2.8,1.4,-1.4,0.0
8,2000-01,28,LAC,NBA,C,52,876,12.5,.506,.025,.114,7.8,16.6,12.3,7.5,1.2,2.0,11.1,14.7,,0.8,0.8,1.6,.089,,-1.6,0.5,-1.1,0.2
9,2001-02,29,SAS,NBA,C,42,234,7.6,.364,.000,.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-6.0,0.7,-5.3,-0.2
10,2002-03,30,LAC,NBA,PF,30,648,13.3,.523,.012,.233,8.1,14.9,11.5,5.5,1.3,2.2,9.1,13.8,,0.8,0.4,1.2,.090,,-1.3,0.0,-1.3,0.1
11,2003-04,31,GSW,NBA,C,12,64,7.0,.475,.000,.600,7.0,10.6,8.8,2.4,0.0,3.4,13.7,10.5,,0.0,0.0,0.1,.043,,-4.8,-0.4,-5.2,-0.1
12,Career,,,NBA,,472,7459,12.0,.498,.021,.268,8.6,17.6,13.1,5.7,1.5,2.9,12.0,14.1,,4.9,6.9,11.8,.076,,-2.7,0.6,-2.1,-0.1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2 seasons,,MIN,NBA,,155,2664,13.3,.534,.003,.376,9.7,17.5,13.6,5.0,1.5,3.6,11.4,14.4,,3.0,3.0,6.1,.110,,-1.8,1.0,-0.8,0.8
15,2 seasons,,VAN,NBA,,104,1926,10.5,.471,.005,.219,7.9,18.5,13.1,6.1,1.6,2.8,14.3,12.8,,0.4,1.3,1.7,.042,,-3.3,0.7,-2.6,-0.3
16,2 seasons,,LAC,NBA,,82,1524,12.9,.513,.020,.163,7.9,15.9,12.0,6.7,1.2,2.1,10.3,14.3,,1.6,1.2,2.8,.089,,-1.5,0.3,-1.2,0.3
17,1 season,,DAL,NBA,,64,869,10.9,.456,.105,.251,7.3,19.9,13.0,5.0,1.4,2.6,10.2,14.6,,0.1,0.8,0.9,.050,,-5.0,-0.1,-5.1,-0.7
18,1 season,,SAS,NBA,,42,234,7.6,.364,.000,.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-6.0,0.7,-5.3,-0.2
19,1 season,,WAS,NBA,,13,178,13.0,.528,.000,.447,8.4,18.1,13.1,6.4,1.7,4.4,18.0,13.9,,0.1,0.2,0.3,.070,,-2.8,1.4,-1.4,0.0
20,1 season,,GSW,NBA,,12,64,7.0,.475,.000,.600,7.0,10.6,8.8,2.4,0.0,3.4,13.7,10.5,,0.0,0.0,0.1,.043,,-4.8,-0.4,-5.2,-0.1
