,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,23,MIA,NBA,PG,42,408,12.3,.479,.435,.282,1.8,6.8,4.3,25.8,2.0,0.0,12.5,19.6,,0.3,0.3,0.6,.070,,-1.0,-2.9,-3.9,-0.2
2,2007-08,24,MIA,NBA,PG,60,1340,13.8,.559,.426,.263,1.0,9.7,5.3,22.5,1.8,0.2,11.7,16.6,,1.9,0.7,2.6,.092,,0.3,-1.9,-1.6,0.1
3,2008-09,25,MIA,NBA,PG,66,962,12.9,.539,.474,.201,1.0,8.4,4.7,21.5,1.3,0.2,9.5,17.0,,1.5,0.6,2.1,.104,,-0.1,-2.8,-2.9,-0.2
4,2009-10,26,NJN,NBA,PG,25,223,9.3,.477,.571,.107,0.5,8.1,4.1,20.9,2.1,0.3,14.6,14.1,,0.0,0.1,0.1,.025,,-2.6,-2.6,-5.2,-0.2
5,2010-11,27,SAS,NBA,PG,41,292,7.5,.428,.407,.088,1.2,8.5,5.0,21.1,0.9,0.2,11.3,16.8,,-0.1,0.2,0.1,.024,,-3.0,-2.3,-5.3,-0.2
6,2012-13,29,CLE,NBA,SG,7,78,1.3,.296,.313,.125,1.4,1.6,1.5,16.3,2.0,0.0,26.2,13.1,,-0.2,0.0,-0.2,-0.124,,-7.7,-3.1,-10.8,-0.2
7,Career,,,NBA,,241,3303,12.2,.521,.447,.219,1.1,8.6,4.8,22.2,1.6,0.2,11.6,16.9,,3.3,2.0,5.3,.077,,-0.7,-2.4,-3.0,-0.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,MIA,NBA,,168,2710,13.3,.538,.445,.243,1.1,8.8,4.9,22.7,1.7,0.2,11.0,17.2,,3.6,1.6,5.3,.093,,0.0,-2.4,-2.4,-0.3
10,1 season,,SAS,NBA,,41,292,7.5,.428,.407,.088,1.2,8.5,5.0,21.1,0.9,0.2,11.3,16.8,,-0.1,0.2,0.1,.024,,-3.0,-2.3,-5.3,-0.2
11,1 season,,NJN,NBA,,25,223,9.3,.477,.571,.107,0.5,8.1,4.1,20.9,2.1,0.3,14.6,14.1,,0.0,0.1,0.1,.025,,-2.6,-2.6,-5.2,-0.2
12,1 season,,CLE,NBA,,7,78,1.3,.296,.313,.125,1.4,1.6,1.5,16.3,2.0,0.0,26.2,13.1,,-0.2,0.0,-0.2,-0.124,,-7.7,-3.1,-10.8,-0.2
