,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1989-90,21,CLE,NBA,SF,75,1339,11.9,.525,.016,.367,6.9,12.5,9.7,5.7,1.2,1.2,11.7,19.0,,0.9,1.3,2.2,.078,,-2.9,-0.9,-3.8,-0.6
2,1990-91,22,CLE,NBA,SF,74,1485,12.0,.555,.008,.287,6.1,10.5,8.3,8.4,0.9,1.0,14.3,19.4,,0.7,0.9,1.6,.052,,-2.0,-1.5,-3.4,-0.5
3,1991-92,23,TOT,NBA,SF,42,431,10.8,.501,.023,.383,8.1,13.6,10.8,9.0,1.4,1.0,16.2,18.1,,0.0,0.4,0.3,.036,,-3.2,-1.0,-4.2,-0.2
4,1991-92,23,CLE,NBA,SF,6,50,10.4,.555,.000,.800,4.6,8.6,6.7,7.8,3.0,0.0,12.9,13.5,,0.0,0.1,0.1,.096,,-1.8,-0.1,-1.9,0.0
5,1991-92,23,LAL,NBA,SF,36,381,10.8,.496,.025,.347,8.5,14.3,11.4,9.2,1.2,1.1,16.6,18.7,,-0.1,0.3,0.2,.029,,-3.4,-1.1,-4.5,-0.2
6,1992-93,24,NJN,NBA,SF,77,1186,11.2,.523,.015,.296,8.1,13.3,10.7,6.2,0.8,1.3,13.0,15.2,,0.9,1.3,2.2,.088,,-2.3,-0.1,-2.4,-0.1
7,1993-94,25,DAL,NBA,SF,1,10,10.8,1.042,.000,1.000,0.0,12.1,5.6,0.0,0.0,0.0,0.0,6.1,,0.0,0.0,0.0,.183,,-1.3,-4.8,-6.1,0.0
8,1994-95,26,HOU,NBA,SF,41,814,12.4,.619,.017,.356,9.5,16.8,13.3,5.5,0.7,1.2,12.6,12.7,,1.3,0.8,2.1,.123,,-1.1,-0.3,-1.4,0.1
9,1995-96,27,HOU,NBA,PF,82,2019,13.7,.568,.014,.270,7.7,16.8,12.4,7.0,1.2,1.3,13.1,15.9,,2.2,2.1,4.2,.101,,-1.7,0.0,-1.7,0.2
10,1996-97,28,TOT,NBA,SF,70,757,11.3,.552,.039,.455,6.6,17.1,11.9,5.7,0.6,2.2,9.3,12.4,,1.0,0.6,1.6,.101,,-2.2,-0.4,-2.7,-0.1
