,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2011-12,20,SAS,NBA,PG,29,266,6.9,.374,.214,.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,,-0.2,0.2,0.0,.001,,-4.2,-0.6,-4.8,-0.2
2,2012-13,21,SAS,NBA,PG,28,388,13.5,.528,.191,.191,3.8,11.3,7.7,20.2,2.0,0.7,15.0,16.6,,0.4,0.5,0.9,.113,,-1.1,0.6,-0.5,0.1
3,2013-14,22,SAS,NBA,SG,68,936,14.7,.558,.143,.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,,1.6,1.3,2.9,.148,,0.0,0.6,0.6,0.6
4,2014-15,23,SAS,NBA,PG,79,1444,15.5,.564,.107,.348,3.5,11.4,7.5,19.7,1.6,0.9,12.4,17.0,,2.7,1.8,4.5,.149,,0.2,0.5,0.7,1.0
5,2015-16,24,TOR,NBA,SG,80,2046,12.4,.512,.188,.297,2.2,9.4,5.9,19.3,1.6,0.8,13.4,17.0,,1.8,1.7,3.5,.082,,-0.6,-0.4,-1.0,0.5
6,2016-17,25,TOR,NBA,SG,80,2003,13.2,.518,.204,.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,,1.7,1.7,3.4,.082,,-0.4,-0.4,-0.8,0.6
7,Career,,,NBA,,364,7083,13.4,.527,.173,.273,3.0,10.1,6.6,19.3,1.7,0.8,13.0,17.3,,8.0,7.2,15.2,.103,,-0.5,0.0,-0.5,2.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,SAS,NBA,,204,3034,14.2,.543,.138,.324,3.6,10.3,7.0,18.8,1.7,0.9,12.8,16.8,,4.5,3.8,8.3,.131,,-0.4,0.5,0.0,1.6
10,2 seasons,,TOR,NBA,,160,4049,12.8,.515,.197,.238,2.5,9.9,6.3,19.6,1.6,0.7,13.2,17.7,,3.5,3.4,6.9,.082,,-0.5,-0.4,-0.9,1.1
