,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,22,TOR,NBA,PG,70,2865,16.7,.528,.298,.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,,3.7,0.6,4.3,.072,,2.2,-2.7,-0.6,1.0
2,1996-97,23,TOR,NBA,PG,81,3311,18.1,.516,.353,.285,3.0,8.9,5.8,38.2,2.0,0.3,15.4,25.3,,5.8,1.8,7.6,.110,,3.4,-2.1,1.3,2.8
3,1997-98,24,TOT,NBA,PG,71,2839,16.8,.503,.279,.263,3.4,8.6,5.9,35.1,2.1,0.2,15.5,22.4,,3.9,0.8,4.7,.079,,2.5,-2.5,-0.1,1.4
4,1997-98,24,TOR,NBA,PG,49,2033,17.7,.514,.246,.255,3.3,8.8,6.0,34.4,2.0,0.2,14.7,23.4,,3.2,-0.1,3.2,.074,,3.0,-3.2,-0.1,1.0
5,1997-98,24,POR,NBA,PG,22,806,14.5,.469,.384,.291,3.6,7.9,5.8,36.8,2.2,0.2,18.0,19.9,,0.7,0.9,1.5,.091,,1.1,-1.0,0.1,0.4
6,1998-99,25,POR,NBA,PG,50,1673,14.7,.462,.226,.194,2.9,8.4,5.8,32.8,1.6,0.2,13.9,21.7,,1.7,1.8,3.6,.102,,0.9,-0.8,0.1,0.9
7,1999-00,26,POR,NBA,PG,78,2372,15.5,.508,.237,.162,3.2,8.6,6.0,28.4,1.7,0.0,13.5,21.5,,3.6,2.5,6.1,.124,,1.7,-1.0,0.7,1.6
8,2000-01,27,POR,NBA,PG,82,2655,16.3,.519,.234,.221,3.2,10.2,6.8,29.1,2.1,0.2,15.7,21.3,,4.1,2.5,6.7,.121,,1.8,-0.7,1.1,2.1
9,2001-02,28,POR,NBA,PG,75,2796,14.7,.506,.321,.214,3.2,9.1,6.1,28.0,1.3,0.2,12.9,18.8,,4.9,1.7,6.6,.113,,1.9,-1.3,0.6,1.8
10,2002-03,29,POR,NBA,PG,59,1315,12.1,.460,.275,.161,3.7,10.6,7.1,24.5,1.6,0.3,15.6,18.5,,0.6,1.1,1.6,.059,,-0.9,-1.0,-1.9,0.0
11,2003-04,30,POR,NBA,PG,82,3118,14.8,.508,.419,.142,2.0,9.7,5.9,27.0,1.8,0.2,14.3,19.2,,4.5,1.4,5.9,.091,,2.2,-1.5,0.6,2.1
12,2004-05,31,POR,NBA,PG,81,2762,16.6,.510,.421,.171,2.4,10.2,6.5,29.2,1.7,0.1,11.6,23.6,,4.2,1.4,5.7,.099,,3.2,-2.0,1.1,2.2
13,2005-06,32,MEM,NBA,PG,27,862,13.7,.504,.362,.216,3.3,10.0,6.7,26.6,1.2,0.1,14.9,20.8,,0.7,1.0,1.7,.093,,0.5,-1.0,-0.6,0.3
14,2006-07,33,MEM,NBA,PG,62,1501,12.6,.493,.400,.190,2.5,8.6,5.5,31.3,1.6,0.1,17.6,17.3,,1.1,0.1,1.1,.036,,0.3,-2.9,-2.6,-0.2
15,2007-08,34,TOT,NBA,PG,60,1037,8.9,.450,.442,.101,2.2,10.8,6.5,24.6,1.5,0.1,18.5,19.1,,-0.9,0.8,-0.1,-0.004,,-2.7,-1.4,-4.1,-0.6
16,2007-08,34,MEM,NBA,PG,29,624,11.8,.514,.485,.134,2.5,10.3,6.4,27.7,1.5,0.0,19.6,18.2,,0.2,0.2,0.4,.033,,-0.4,-2.3,-2.7,-0.1
17,2007-08,34,SAS,NBA,PG,31,413,4.6,.362,.385,.056,1.7,11.6,6.7,20.0,1.4,0.4,17.0,20.5,,-1.1,0.6,-0.5,-0.060,,-6.1,-0.1,-6.2,-0.4
18,Career,,,NBA,,878,29106,15.4,.505,.325,.210,2.9,9.4,6.1,31.0,1.7,0.2,14.9,21.4,,38.0,17.4,55.4,.091,,1.8,-1.7,0.1,15.4
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8 seasons,,POR,NBA,,529,17497,15.2,.500,.321,.185,2.9,9.5,6.3,28.8,1.7,0.2,13.9,20.7,,24.4,13.3,37.7,.103,,1.8,-1.3,0.5,11.1
21,3 seasons,,TOR,NBA,,200,8209,17.5,.520,.308,.270,2.9,9.0,5.9,37.0,1.9,0.3,15.9,24.2,,12.7,2.3,15.0,.088,,2.9,-2.6,0.3,4.8
22,3 seasons,,MEM,NBA,,118,2987,12.8,.501,.406,.186,2.7,9.4,6.0,29.2,1.5,0.1,17.2,18.5,,2.0,1.2,3.2,.052,,0.2,-2.3,-2.1,0.0
23,1 season,,SAS,NBA,,31,413,4.6,.362,.385,.056,1.7,11.6,6.7,20.0,1.4,0.4,17.0,20.5,,-1.1,0.6,-0.5,-0.060,,-6.1,-0.1,-6.2,-0.4
