,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1990-91,24,CLE,NBA,PF,81,1661,10.9,.491,.120,.236,6.9,13.0,10.0,13.0,1.3,0.9,14.5,21.8,,-0.4,1.3,1.0,.028,,-2.2,-1.0,-3.2,-0.5
2,1991-92,25,CLE,NBA,PF,68,937,11.2,.480,.146,.223,6.6,18.3,12.7,11.1,1.2,0.9,11.3,18.9,,0.3,1.0,1.3,.067,,-2.2,-0.8,-3.0,-0.2
3,1992-93,26,CLE,NBA,PF,76,1461,14.0,.563,.179,.246,6.6,14.9,10.9,13.2,1.0,2.0,14.0,18.0,,1.8,1.8,3.6,.118,,-0.2,0.2,0.0,0.8
4,1993-94,27,CLE,NBA,PF,70,965,12.0,.496,.153,.129,5.6,11.3,8.5,12.1,1.5,1.5,10.4,18.3,,0.7,1.0,1.7,.084,,-1.4,-0.5,-1.9,0.0
5,1994-95,28,CLE,NBA,PF,82,1290,16.0,.572,.466,.168,2.8,11.3,6.9,14.4,1.2,1.4,9.9,22.2,,2.3,1.5,3.9,.144,,1.9,-1.3,0.6,0.8
6,1995-96,29,CLE,NBA,PF,82,2680,14.2,.557,.395,.146,3.5,12.0,7.7,13.2,1.2,1.2,11.1,20.7,,3.2,2.3,5.5,.098,,0.9,-0.9,-0.1,1.3
7,1996-97,30,CLE,NBA,PF,82,2633,11.7,.523,.358,.110,4.0,12.8,8.3,10.4,1.2,1.1,10.1,17.6,,2.2,3.4,5.6,.102,,-0.6,0.3,-0.3,1.2
8,1997-98,31,CLE,NBA,PF,69,1034,7.5,.479,.346,.140,2.8,10.6,6.8,9.5,1.3,1.2,14.9,15.9,,-0.4,1.4,1.0,.049,,-3.2,0.2,-3.0,-0.3
9,1998-99,32,CLE,NBA,PF,50,1058,11.0,.562,.328,.111,1.9,10.3,6.1,9.7,1.2,0.8,11.2,16.1,,1.0,0.7,1.7,.077,,-0.2,-1.2,-1.3,0.2
10,1999-00,33,CLE,NBA,PF,63,1326,11.8,.571,.197,.150,4.6,15.6,10.0,8.3,0.8,1.3,12.0,15.1,,1.6,1.1,2.7,.099,,-1.0,-0.3,-1.3,0.2
11,2000-01,34,SAS,NBA,SF,80,1688,10.1,.577,.416,.080,3.9,10.7,7.5,6.8,0.9,0.9,11.4,12.2,,2.1,2.0,4.1,.117,,0.4,0.7,1.1,1.3
12,2001-02,35,SAS,NBA,SF,50,799,11.2,.594,.559,.203,2.2,10.4,6.5,9.4,1.1,0.8,10.2,12.5,,1.4,0.9,2.3,.140,,0.6,0.0,0.6,0.5
13,2002-03,36,SAS,NBA,SF,64,601,5.1,.459,.484,.105,4.0,10.1,7.2,5.3,0.6,1.0,17.2,12.1,,-0.2,0.6,0.3,.028,,-3.6,-0.6,-4.2,-0.3
14,Career,,,NBA,,917,18133,11.8,.536,.307,.159,4.3,12.5,8.4,10.9,1.1,1.2,11.9,17.6,,15.7,19.0,34.8,.092,,-0.5,-0.4,-0.9,5.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 seasons,,CLE,NBA,,723,15045,12.3,.533,.285,.165,4.5,12.9,8.7,11.7,1.2,1.2,11.8,18.7,,12.5,15.5,28.0,.089,,-0.6,-0.5,-1.1,3.5
17,3 seasons,,SAS,NBA,,194,3088,9.4,.560,.466,.117,3.5,10.5,7.2,7.2,0.9,0.9,12.2,12.3,,3.2,3.6,6.8,.106,,-0.3,0.2,-0.1,1.5
