,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2005-06,22,NYK,NBA,SF,67,1129,15.4,.607,.000,.535,11.6,21.1,16.3,6.5,1.4,1.5,15.2,13.5,,2.0,0.8,2.7,.116,,0.2,0.2,0.4,0.7
2,2006-07,23,NYK,NBA,PF,58,1731,20.2,.652,.000,.433,13.6,27.6,20.7,10.2,1.5,1.1,16.2,14.9,,4.8,2.1,6.9,.191,,2.2,1.6,3.8,2.5
3,2007-08,24,NYK,NBA,PF,81,2356,18.0,.606,.003,.383,11.3,24.1,17.5,6.7,1.2,1.0,11.8,15.6,,5.6,1.8,7.4,.151,,0.6,0.2,0.8,1.7
4,2008-09,25,NYK,NBA,C,81,2824,19.0,.590,.003,.347,9.6,27.9,18.4,10.1,1.4,0.6,12.0,19.2,,5.9,3.1,9.0,.154,,0.4,1.1,1.5,2.5
5,2009-10,26,NYK,NBA,C,81,3019,22.2,.584,.006,.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,,7.4,2.9,10.3,.163,,1.9,1.0,2.9,3.7
6,2010-11,27,GSW,NBA,PF,73,2634,17.8,.549,.003,.273,9.1,21.9,15.4,14.0,1.4,0.9,13.4,21.2,,4.1,2.0,6.0,.110,,0.1,0.1,0.3,1.5
7,2011-12,28,GSW,NBA,PF,57,2121,19.7,.549,.005,.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26.0,,3.8,1.2,5.0,.113,,1.1,-0.7,0.4,1.3
8,2012-13,29,GSW,NBA,PF,79,2907,19.2,.561,.003,.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,,5.4,3.7,9.1,.150,,1.1,1.5,2.5,3.3
9,2013-14,30,GSW,NBA,PF,69,2288,19.1,.566,.001,.302,8.8,21.6,15.3,10.9,1.0,0.9,12.0,24.3,,4.1,3.5,7.6,.160,,-0.1,0.8,0.8,1.6
10,2014-15,31,GSW,NBA,PF,49,904,17.8,.541,.006,.332,10.0,20.3,15.3,13.7,1.7,2.1,12.0,19.6,,1.6,1.6,3.2,.168,,-0.6,2.0,1.4,0.8
11,2015-16,32,TOT,NBA,PF,55,903,19.6,.568,.003,.278,12.0,24.6,18.3,15.5,1.2,2.5,14.9,21.5,,1.7,1.4,3.0,.161,,-0.3,1.7,1.4,0.8
12,2015-16,32,BOS,NBA,PF,30,470,15.5,.499,.005,.266,9.1,20.4,14.7,18.3,1.2,2.2,15.1,22.9,,0.2,0.7,0.9,.092,,-2.5,1.2,-1.3,0.1
13,2015-16,32,DAL,NBA,PF,25,433,24.0,.660,.000,.294,15.2,29.1,22.2,12.5,1.2,2.9,14.8,20.0,,1.5,0.7,2.1,.237,,2.1,2.2,4.3,0.7
14,2016-17,33,SAS,NBA,PF,79,1477,18.4,.613,.000,.269,11.6,21.9,16.9,13.0,1.1,2.2,14.9,16.9,,3.2,2.5,5.7,.186,,0.7,2.5,3.2,1.9
15,Career,,,NBA,,829,24293,19.1,.577,.003,.311,9.9,24.0,17.0,12.6,1.3,1.0,13.0,20.6,,49.6,26.4,76.0,.150,,0.7,0.9,1.6,22.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,NYK,NBA,,368,11059,19.5,.600,.004,.345,10.5,26.3,18.2,11.0,1.4,0.9,12.7,18.4,,25.7,10.6,36.3,.158,,1.1,0.9,2.0,11.1
18,5 seasons,,GSW,NBA,,327,10854,18.8,.555,.003,.291,9.0,22.0,15.6,13.9,1.3,0.9,12.9,23.2,,19.1,11.9,31.0,.137,,0.5,0.6,1.1,8.5
19,1 season,,SAS,NBA,,79,1477,18.4,.613,.000,.269,11.6,21.9,16.9,13.0,1.1,2.2,14.9,16.9,,3.2,2.5,5.7,.186,,0.7,2.5,3.2,1.9
20,1 season,,BOS,NBA,,30,470,15.5,.499,.005,.266,9.1,20.4,14.7,18.3,1.2,2.2,15.1,22.9,,0.2,0.7,0.9,.092,,-2.5,1.2,-1.3,0.1
21,1 season,,DAL,NBA,,25,433,24.0,.660,.000,.294,15.2,29.1,22.2,12.5,1.2,2.9,14.8,20.0,,1.5,0.7,2.1,.237,,2.1,2.2,4.3,0.7
