,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1989-90,24,SAS,NBA,C,82,3002,26.3,.597,.002,.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,,7.9,7.2,15.1,.241,,2.7,3.8,6.5,6.4
2,1990-91,25,SAS,NBA,C,82,3095,27.4,.615,.005,.569,12.6,24.7,19.0,10.9,2.0,6.2,13.7,26.6,,9.4,7.6,17.0,.264,,4.0,4.4,8.4,8.1
3,1991-92,26,SAS,NBA,C,68,2564,27.5,.597,.007,.522,11.2,24.0,17.7,11.3,3.1,7.4,12.1,24.7,,7.0,6.9,13.9,.260,,3.8,6.1,10.0,7.8
4,1992-93,27,SAS,NBA,C,82,3211,24.2,.569,.013,.568,8.6,24.8,17.1,15.0,2.0,5.1,12.5,26.4,,6.7,6.4,13.2,.197,,2.4,4.3,6.7,7.0
5,1993-94,28,SAS,NBA,C,80,3241,30.7,.577,.017,.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,,13.3,6.7,20.0,.296,,6.8,4.2,10.9,10.6
6,1994-95,29,SAS,NBA,C,81,3074,29.1,.602,.013,.570,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,,10.7,6.7,17.5,.273,,4.1,4.3,8.4,8.1
7,1995-96,30,SAS,NBA,C,82,3019,29.4,.589,.007,.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,,11.1,7.2,18.3,.290,,4.3,4.9,9.2,8.5
8,1996-97,31,SAS,NBA,C,6,147,31.0,.559,.000,.722,15.0,27.0,20.8,11.5,2.2,3.3,7.8,32.6,,0.5,0.2,0.7,.227,,3.2,-1.1,2.0,0.2
9,1997-98,32,SAS,NBA,C,73,2457,27.8,.581,.004,.620,12.0,23.7,18.2,15.9,1.4,5.5,13.0,29.7,,7.8,6.0,13.8,.269,,3.7,4.1,7.8,6.1
10,1998-99,33,SAS,NBA,C,49,1554,24.9,.564,.002,.689,11.4,23.4,17.8,12.1,2.4,5.3,13.6,23.8,,4.0,4.4,8.4,.261,,2.2,5.3,7.4,3.7
11,1999-00,34,SAS,NBA,C,80,2557,24.6,.568,.002,.496,9.0,24.5,17.1,10.3,2.0,4.9,11.6,25.6,,6.2,6.4,12.7,.238,,1.6,3.9,5.5,4.8
12,2000-01,35,SAS,NBA,C,80,2371,23.7,.559,.001,.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,,6.4,5.7,12.1,.246,,1.4,4.1,5.5,4.5
13,2001-02,36,SAS,NBA,C,78,2303,20.3,.562,.000,.588,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,,5.0,5.1,10.1,.211,,0.4,3.5,3.9,3.4
14,2002-03,37,SAS,NBA,C,64,1676,17.8,.531,.000,.510,11.8,22.8,17.6,5.9,1.7,4.6,13.9,16.5,,2.5,3.6,6.0,.172,,-1.2,3.3,2.1,1.7
15,Career,,,NBA,,987,34271,26.2,.583,.007,.577,10.6,23.4,17.3,12.4,2.1,5.7,11.9,26.2,,98.5,80.1,178.7,.250,,3.0,4.3,7.4,80.9
