,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,23,NOH,NBA,PF,71,930,15.9,.519,.009,.351,14.0,22.6,18.2,11.1,1.6,2.3,15.4,15.3,,1.4,1.3,2.8,.143,,-1.3,1.4,0.1,0.5
2,2004-05,24,NOH,NBA,SF,30,552,11.1,.479,.029,.291,8.2,19.9,13.8,7.6,1.2,2.3,16.0,19.4,,-0.3,0.6,0.2,.022,,-4.7,0.2,-4.6,-0.4
3,2005-06,25,NOK,NBA,PF,74,2526,19.7,.554,.011,.228,7.7,18.4,12.9,7.2,1.3,2.1,8.4,23.0,,4.8,2.6,7.4,.141,,0.9,0.1,1.0,1.9
4,2006-07,26,NOK,NBA,PF,52,1900,18.9,.532,.032,.287,7.5,18.5,12.9,10.9,1.2,1.6,9.9,23.8,,3.1,2.0,5.2,.131,,0.7,0.5,1.2,1.5
5,2007-08,27,NOH,NBA,PF,76,2870,19.9,.535,.019,.270,7.2,20.6,13.7,10.6,1.2,2.7,10.2,26.3,,4.3,4.0,8.4,.140,,-0.2,1.4,1.1,2.3
6,2008-09,28,NOH,NBA,PF,76,2982,18.9,.540,.019,.321,6.5,19.7,13.1,10.9,0.9,1.9,10.0,26.5,,4.2,3.5,7.8,.125,,-0.6,0.2,-0.5,1.2
7,2009-10,29,NOH,NBA,PF,81,2949,18.9,.560,.022,.279,6.4,17.9,12.0,13.7,1.3,1.5,11.2,24.0,,5.2,2.3,7.5,.122,,0.8,0.4,1.2,2.4
8,2010-11,30,NOH,NBA,PF,70,2451,20.4,.558,.009,.314,7.6,18.7,13.1,12.7,1.5,2.1,10.7,25.8,,4.4,3.4,7.8,.152,,1.2,1.5,2.7,2.9
9,2011-12,31,IND,NBA,PF,66,1925,17.8,.531,.013,.246,6.9,18.3,12.6,13.1,1.4,1.9,10.5,20.9,,3.4,2.5,5.9,.147,,0.7,1.0,1.7,1.8
10,2012-13,32,IND,NBA,PF,73,2435,20.1,.545,.019,.312,6.8,18.8,12.9,16.8,1.6,2.1,12.0,24.4,,4.4,4.7,9.1,.179,,0.9,2.4,3.3,3.3
11,2013-14,33,IND,NBA,PF,80,2472,17.5,.533,.016,.267,5.7,18.3,12.3,16.1,1.3,2.3,11.2,21.9,,3.1,5.0,8.1,.157,,-0.6,2.7,2.0,2.5
12,2014-15,34,IND,NBA,PF,66,1895,16.0,.508,.029,.235,6.4,19.7,13.1,20.1,1.3,2.0,13.7,21.0,,1.4,2.8,4.3,.108,,-0.7,2.4,1.7,1.8
13,2015-16,35,SAS,NBA,PF,78,1404,17.6,.573,.016,.179,6.0,18.6,12.5,15.4,1.6,3.0,12.3,18.0,,2.4,2.9,5.4,.184,,0.1,3.3,3.4,1.9
14,2016-17,36,GSW,NBA,C,68,854,16.6,.571,.032,.222,6.4,18.8,13.0,24.1,2.4,4.4,22.0,17.9,,0.9,1.7,2.6,.148,,-1.7,3.9,2.2,0.9
15,Career,,,NBA,,961,28145,18.5,.542,.019,.275,7.1,19.0,13.1,13.3,1.3,2.2,11.2,23.1,,42.8,39.5,82.4,.140,,0.1,1.4,1.4,24.5
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8 seasons,,"NOK,NOH",NBA,,530,17160,19.0,.544,.018,.286,7.5,19.2,13.3,11.0,1.2,2.0,10.4,24.3,,27.2,19.8,47.0,.131,,0.1,0.7,0.8,12.3
18,4 seasons,,IND,NBA,,285,8727,18.0,.531,.019,.270,6.4,18.7,12.7,16.5,1.4,2.1,11.8,22.2,,12.3,15.0,27.3,.150,,0.1,2.2,2.3,9.4
19,1 season,,SAS,NBA,,78,1404,17.6,.573,.016,.179,6.0,18.6,12.5,15.4,1.6,3.0,12.3,18.0,,2.4,2.9,5.4,.184,,0.1,3.3,3.4,1.9
20,1 season,,GSW,NBA,,68,854,16.6,.571,.032,.222,6.4,18.8,13.0,24.1,2.4,4.4,22.0,17.9,,0.9,1.7,2.6,.148,,-1.7,3.9,2.2,0.9
