,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1997-98,23,CLE,NBA,SF,66,1839,15.3,.531,.143,.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,,2.6,2.8,5.3,.139,,0.4,0.7,1.0,1.4
2,1998-99,24,CLE,NBA,SG,38,978,16.5,.529,.220,.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,,1.1,1.0,2.1,.105,,1.2,-0.4,0.8,0.7
3,1999-00,25,LAC,NBA,SG,64,2201,16.9,.542,.207,.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,,3.1,0.3,3.3,.073,,1.7,-1.9,-0.2,1.0
4,2000-01,26,SAS,NBA,SG,82,2859,17.1,.542,.255,.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,,5.6,4.3,9.9,.166,,2.6,1.0,3.6,4.0
5,2001-02,27,POR,NBA,SG,70,1860,15.5,.538,.373,.340,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,,3.8,1.5,5.3,.137,,2.0,-1.1,0.9,1.3
6,2002-03,28,POR,NBA,PG,76,2556,16.9,.556,.398,.323,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,,5.9,2.2,8.1,.153,,3.1,-0.6,2.5,2.9
7,2003-04,29,POR,NBA,SG,51,1810,15.1,.499,.423,.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,,2.7,0.9,3.6,.097,,1.9,-1.6,0.3,1.1
8,2004-05,30,POR,NBA,SG,47,1239,11.7,.503,.386,.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,,0.7,0.6,1.3,.052,,-0.3,-1.8,-2.1,0.0
9,2005-06,31,TOT,NBA,SG,43,1047,10.8,.496,.442,.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,.074,,-1.2,-0.4,-1.5,0.1
10,2005-06,31,HOU,NBA,SG,20,582,12.5,.527,.387,.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1.0,.084,,-1.0,0.2,-0.8,0.2
11,2005-06,31,MIA,NBA,SG,23,465,8.7,.453,.515,.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,.061,,-1.4,-1.1,-2.5,-0.1
12,2006-07,32,CHA,NBA,SF,50,1190,13.7,.586,.517,.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,,2.0,0.9,2.9,.117,,1.5,-0.4,1.0,0.9
13,2007-08,33,CHA,NBA,SG,28,396,10.0,.497,.416,.304,2.6,12.6,7.5,17.8,1.6,0.2,15.0,19.3,,0.0,0.3,0.3,.032,,-1.9,-1.8,-3.7,-0.2
14,Career,,,NBA,,615,17975,15.3,.534,.319,.371,2.9,10.0,6.5,19.6,2.1,0.4,13.2,20.4,,28.0,15.9,43.9,.117,,1.5,-0.6,0.9,13.3
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,POR,NBA,,244,7465,15.2,.529,.396,.307,2.4,9.7,6.1,20.0,1.9,0.3,11.9,19.6,,13.2,5.2,18.4,.118,,2.0,-1.2,0.8,5.3
17,2 seasons,,CLE,NBA,,104,2817,15.7,.531,.170,.533,3.3,9.7,6.5,23.8,2.6,0.5,15.9,22.1,,3.7,3.8,7.5,.127,,0.7,0.3,0.9,2.1
18,1 season,,SAS,NBA,,82,2859,17.1,.542,.255,.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,,5.6,4.3,9.9,.166,,2.6,1.0,3.6,4.0
19,2 seasons,,CHA,NBA,,78,1586,12.8,.560,.487,.344,2.7,9.6,6.1,17.7,2.1,0.4,14.4,16.2,,2.0,1.2,3.2,.096,,0.6,-0.8,-0.1,0.7
20,1 season,,LAC,NBA,,64,2201,16.9,.542,.207,.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,,3.1,0.3,3.3,.073,,1.7,-1.9,-0.2,1.0
21,1 season,,MIA,NBA,,23,465,8.7,.453,.515,.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,.061,,-1.4,-1.1,-2.5,-0.1
22,1 season,,HOU,NBA,,20,582,12.5,.527,.387,.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1.0,.084,,-1.0,0.2,-0.8,0.2
