,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1999-00,24,SAS,NBA,SG,8,95,12.0,.415,.261,.109,17.5,13.7,15.6,9.3,0.6,0.7,11.1,26.3,,-0.1,0.1,0.1,.032,,-1.2,-2.4,-3.5,0.0
2,2000-01,25,SAS,NBA,SG,33,207,14.3,.466,.120,.253,6.9,13.5,10.4,18.3,1.0,2.0,11.5,23.7,,0.1,0.3,0.4,.091,,-1.3,-0.1,-1.4,0.0
3,2001-02,26,TOT,NBA,SG,32,299,11.0,.387,.092,.200,5.2,16.0,10.6,18.6,1.8,1.0,10.9,22.1,,-0.3,0.4,0.1,.020,,-4.5,-0.2,-4.7,-0.2
4,2001-02,26,NJN,NBA,SG,25,249,9.3,.358,.074,.191,5.4,15.0,10.1,19.3,1.7,1.2,11.3,20.7,,-0.4,0.4,0.0,.002,,-5.2,0.1,-5.1,-0.2
5,2001-02,26,TOR,NBA,SG,7,50,19.1,.489,.154,.231,4.5,21.4,12.6,15.4,2.2,0.0,9.5,28.9,,0.0,0.1,0.1,.106,,-1.0,-2.1,-3.1,0.0
6,2003-04,28,ORL,NBA,SG,9,86,11.6,.412,.321,.286,6.5,10.8,8.6,3.7,3.7,0.0,3.1,17.1,,0.0,0.0,0.1,.035,,-1.8,-2.4,-4.2,0.0
7,Career,,,NBA,,82,687,12.2,.418,.152,.209,7.6,14.3,10.9,15.4,1.6,1.1,10.4,22.5,,-0.3,0.9,0.6,.045,,-2.7,-0.8,-3.5,-0.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,SAS,NBA,,41,302,13.6,.449,.171,.202,10.2,13.6,12.0,15.5,0.9,1.6,11.4,24.5,,0.0,0.4,0.5,.072,,-1.3,-0.8,-2.1,0.0
10,1 season,,NJN,NBA,,25,249,9.3,.358,.074,.191,5.4,15.0,10.1,19.3,1.7,1.2,11.3,20.7,,-0.4,0.4,0.0,.002,,-5.2,0.1,-5.1,-0.2
11,1 season,,ORL,NBA,,9,86,11.6,.412,.321,.286,6.5,10.8,8.6,3.7,3.7,0.0,3.1,17.1,,0.0,0.0,0.1,.035,,-1.8,-2.4,-4.2,0.0
12,1 season,,TOR,NBA,,7,50,19.1,.489,.154,.231,4.5,21.4,12.6,15.4,2.2,0.0,9.5,28.9,,0.0,0.1,0.1,.106,,-1.0,-2.1,-3.1,0.0
