,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2002-03,24,TOT,NBA,SG,10,93,6.9,.389,.029,.229,10.0,12.8,11.2,13.5,2.3,0.9,18.9,23.0,,-0.2,0.1,-0.1,-0.043,,-5.9,0.0,-5.9,-0.1
2,2002-03,24,SAS,NBA,SG,7,22,13.8,.551,.000,.200,22.1,15.1,18.4,18.0,0.0,0.0,31.5,33.5,,0.0,0.0,0.0,-0.023,,-3.1,-2.4,-5.5,0.0
3,2002-03,24,DEN,NBA,SG,3,71,4.8,.326,.040,.240,6.3,12.1,9.0,12.1,3.0,1.1,12.6,19.8,,-0.2,0.1,-0.1,-0.050,,-6.7,0.7,-6.0,-0.1
4,2003-04,25,SAS,NBA,SG,58,627,13.1,.512,.071,.378,6.9,16.2,11.6,9.0,1.3,0.5,14.3,19.7,,0.5,1.2,1.7,.133,,-2.7,0.3,-2.4,-0.1
5,2004-05,26,SAS,NBA,SG,67,1238,14.6,.530,.296,.318,3.5,13.1,8.3,12.4,1.7,0.7,10.2,19.5,,1.6,2.1,3.7,.145,,-0.2,0.6,0.4,0.7
6,2005-06,27,UTA,NBA,SG,81,1711,10.3,.493,.224,.402,5.1,9.6,7.3,10.7,1.4,0.7,13.8,19.5,,0.4,1.1,1.4,.041,,-1.9,-1.7,-3.7,-0.7
7,2006-07,28,NOK,NBA,SG,58,1662,14.3,.538,.409,.279,3.7,13.9,8.7,14.8,1.4,0.4,12.7,19.6,,2.1,1.5,3.5,.102,,1.3,-0.3,1.0,1.2
8,2007-08,29,CLE,NBA,SG,78,1762,11.3,.494,.275,.267,4.1,13.2,8.5,16.1,1.6,0.3,14.3,17.8,,0.6,1.7,2.4,.064,,-1.8,-0.4,-2.2,-0.1
9,2008-09,30,NOH,NBA,SG,63,869,9.7,.459,.310,.319,4.3,12.2,8.3,10.2,2.0,0.5,13.1,22.8,,-0.8,1.0,0.1,.007,,-3.8,-1.3,-5.0,-0.7
10,2009-10,31,TOT,NBA,SG,50,1060,10.0,.500,.454,.238,3.2,10.6,6.8,9.1,1.6,0.4,13.5,19.8,,-0.2,0.6,0.4,.017,,-1.6,-1.4,-3.0,-0.3
11,2009-10,31,NOH,NBA,SG,39,967,10.9,.522,.452,.265,3.2,10.1,6.6,9.0,1.6,0.4,13.6,19.8,,0.1,0.5,0.6,.031,,-1.0,-1.5,-2.5,-0.1
12,2009-10,31,CHI,NBA,SG,11,93,0.4,.278,.472,.000,2.4,15.3,9.0,10.9,1.7,0.8,12.2,19.8,,-0.4,0.1,-0.3,-0.129,,-8.0,-0.9,-8.9,-0.2
13,Career,,,NBA,,465,9022,11.9,.504,.303,.310,4.3,12.4,8.3,12.4,1.6,0.5,13.2,19.6,,4.0,9.3,13.3,.071,,-1.3,-0.7,-2.0,0.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3 seasons,,"NOK,NOH",NBA,,160,3498,12.2,.513,.395,.286,3.7,12.5,8.0,12.0,1.6,0.4,13.1,20.5,,1.4,2.9,4.3,.059,,-0.6,-0.9,-1.5,0.5
16,3 seasons,,SAS,NBA,,132,1887,14.1,.524,.220,.335,4.8,14.2,9.5,11.4,1.5,0.6,12.0,19.7,,2.1,3.4,5.5,.139,,-1.1,0.5,-0.6,0.7
17,1 season,,UTA,NBA,,81,1711,10.3,.493,.224,.402,5.1,9.6,7.3,10.7,1.4,0.7,13.8,19.5,,0.4,1.1,1.4,.041,,-1.9,-1.7,-3.7,-0.7
18,1 season,,CLE,NBA,,78,1762,11.3,.494,.275,.267,4.1,13.2,8.5,16.1,1.6,0.3,14.3,17.8,,0.6,1.7,2.4,.064,,-1.8,-0.4,-2.2,-0.1
19,1 season,,CHI,NBA,,11,93,0.4,.278,.472,.000,2.4,15.3,9.0,10.9,1.7,0.8,12.2,19.8,,-0.4,0.1,-0.3,-0.129,,-8.0,-0.9,-8.9,-0.2
20,1 season,,DEN,NBA,,3,71,4.8,.326,.040,.240,6.3,12.1,9.0,12.1,3.0,1.1,12.6,19.8,,-0.2,0.1,-0.1,-0.050,,-6.7,0.7,-6.0,-0.1
