,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2013-14,24,TOT,NBA,C,31,390,10.7,.500,.000,.386,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,,0.1,0.5,0.6,.070,,-6.0,0.0,-6.0,-0.4
2,2013-14,24,GSW,NBA,C,4,6,-5.1,.266,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,,0.0,0.0,0.0,-0.107,,-10.1,-3.1,-13.3,0.0
3,2013-14,24,PHI,NBA,C,11,150,8.7,.533,.000,.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,,0.0,0.1,0.1,.035,,-7.4,-0.5,-7.9,-0.2
4,2013-14,24,ORL,NBA,C,16,234,12.5,.488,.000,.321,13.0,24.8,18.9,1.3,1.5,4.4,13.0,13.5,,0.1,0.4,0.5,.096,,-5.1,0.4,-4.6,-0.2
5,2014-15,25,ORL,NBA,C,59,845,13.3,.568,.006,.395,15.5,24.1,19.7,1.6,1.0,4.8,21.1,13.0,,0.7,1.0,1.7,.099,,-3.6,0.3,-3.3,-0.3
6,2015-16,26,ORL,NBA,C,58,705,17.0,.606,.000,.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,,1.2,1.1,2.4,.162,,-2.6,1.3,-1.3,0.1
7,2016-17,27,SAS,NBA,C,76,1330,16.0,.645,.000,.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,,2.2,3.0,5.2,.188,,-1.5,3.2,1.7,1.2
8,Career,,,NBA,,224,3270,14.9,.599,.001,.389,12.1,27.2,19.7,3.2,1.3,4.4,16.9,13.2,,4.3,5.6,9.9,.145,,-2.8,1.7,-1.1,0.7
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,ORL,NBA,,133,1784,14.7,.575,.003,.401,13.1,24.8,18.9,2.0,1.3,5.0,16.6,13.9,,2.1,2.5,4.6,.123,,-3.4,0.7,-2.7,-0.3
11,1 season,,SAS,NBA,,76,1330,16.0,.645,.000,.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,,2.2,3.0,5.2,.188,,-1.5,3.2,1.7,1.2
12,1 season,,PHI,NBA,,11,150,8.7,.533,.000,.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,,0.0,0.1,0.1,.035,,-7.4,-0.5,-7.9,-0.2
13,1 season,,GSW,NBA,,4,6,-5.1,.266,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,,0.0,0.0,0.0,-0.107,,-10.1,-3.1,-13.3,0.0
