,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1999-00,21,ATL,NBA,SG,30,446,12.4,.483,.263,.409,3.7,5.6,4.7,9.9,1.8,0.6,12.2,22.8,,0.2,0.1,0.3,.029,,-1.1,-2.9,-4.0,-0.2
2,2000-01,22,ATL,NBA,SG,57,929,12.3,.461,.137,.205,4.7,11.1,7.9,12.9,2.8,0.8,12.8,20.2,,-0.1,0.9,0.8,.040,,-1.8,0.0,-1.7,0.1
3,2001-02,23,ATL,NBA,SG,55,1156,13.1,.491,.200,.226,3.5,13.2,8.3,12.8,2.0,0.9,13.2,22.6,,0.0,0.9,0.9,.037,,-1.8,-1.0,-2.8,-0.2
4,2002-03,24,ATL,NBA,SG,76,1890,13.5,.512,.244,.250,3.9,12.8,8.5,13.1,2.0,0.6,13.1,20.1,,1.4,1.2,2.6,.065,,-0.5,-1.2,-1.7,0.1
5,2003-04,25,TOT,NBA,SG,69,1643,12.2,.471,.202,.265,4.0,14.2,9.2,14.0,1.6,0.9,13.4,21.2,,0.1,1.0,1.1,.032,,-1.9,-1.2,-3.1,-0.5
6,2003-04,25,ATL,NBA,SG,55,1465,12.5,.474,.200,.271,4.2,14.0,9.2,13.8,1.4,0.9,12.4,20.8,,0.5,0.7,1.2,.039,,-1.5,-1.4,-2.9,-0.3
7,2003-04,25,TOR,NBA,SG,14,178,9.9,.450,.215,.215,2.6,16.3,9.4,16.1,3.1,0.8,21.1,24.6,,-0.4,0.3,-0.1,-0.028,,-5.6,0.7,-4.8,-0.1
8,2004-05,26,SAS,NBA,SG,7,68,14.0,.473,.364,.455,5.2,13.8,9.5,9.5,2.4,3.2,7.0,19.4,,0.1,0.1,0.2,.150,,-1.4,1.8,0.5,0.0
9,Career,,,NBA,,294,6132,12.8,.487,.210,.257,4.0,12.5,8.3,13.0,2.0,0.8,13.0,21.1,,1.5,4.3,5.8,.045,,-1.4,-1.1,-2.4,-0.7
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,ATL,NBA,,273,5886,12.9,.488,.208,.256,4.0,12.4,8.2,12.9,2.0,0.7,12.8,21.0,,1.9,3.8,5.7,.046,,-1.2,-1.1,-2.4,-0.6
12,1 season,,TOR,NBA,,14,178,9.9,.450,.215,.215,2.6,16.3,9.4,16.1,3.1,0.8,21.1,24.6,,-0.4,0.3,-0.1,-0.028,,-5.6,0.7,-4.8,-0.1
13,1 season,,SAS,NBA,,7,68,14.0,.473,.364,.455,5.2,13.8,9.5,9.5,2.4,3.2,7.0,19.4,,0.1,0.1,0.2,.150,,-1.4,1.8,0.5,0.0
