,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,23,BOS,NBA,SF,64,1470,13.3,.506,.018,.546,6.8,9.8,8.3,7.6,1.9,0.5,11.5,22.4,,0.7,0.9,1.6,.052,,-2.1,-1.4,-3.6,-0.6
2,1996-97,24,BOS,NBA,SG,72,2435,13.3,.533,.010,.532,5.5,10.4,7.8,8.6,1.5,0.4,12.1,20.3,,2.5,0.3,2.9,.056,,-1.3,-1.9,-3.2,-0.7
3,1997-98,25,DEN,NBA,SF,4,145,17.0,.489,.000,.738,7.9,9.2,8.5,16.1,1.5,0.0,10.0,28.2,,0.2,0.0,0.1,.048,,-0.3,-4.3,-4.6,-0.1
4,1998-99,26,DEN,NBA,SF,38,780,10.7,.494,.119,.635,4.9,7.2,6.0,8.0,1.8,0.7,14.9,19.1,,0.5,-0.2,0.2,.015,,-2.2,-2.2,-4.4,-0.5
5,1999-00,27,BOS,NBA,SF,68,1378,11.8,.531,.187,.438,4.3,8.8,6.5,10.3,1.6,0.9,12.5,16.6,,1.8,0.7,2.5,.088,,-0.7,-1.2,-1.9,0.0
6,2000-01,28,BOS,NBA,SF,81,1745,10.0,.487,.310,.516,4.1,10.0,6.9,10.6,1.9,0.6,12.1,16.3,,1.0,1.2,2.2,.060,,-1.9,-1.0,-2.9,-0.4
7,2001-02,29,BOS,NBA,SF,74,1747,8.8,.490,.223,.569,3.6,10.5,6.9,9.8,2.3,0.4,16.5,15.0,,0.0,2.2,2.2,.061,,-3.4,1.0,-2.4,-0.2
8,2002-03,30,BOS,NBA,SF,82,2350,13.1,.538,.191,.466,6.7,11.8,9.2,10.4,1.9,0.6,12.3,15.6,,3.4,2.6,6.0,.123,,-0.9,0.6,-0.3,1.0
9,2003-04,31,TOT,NBA,SF,71,1886,12.5,.493,.212,.473,3.9,13.0,8.5,10.4,1.9,0.3,10.9,19.3,,1.7,1.4,3.1,.079,,-1.0,-1.1,-2.1,-0.1
10,2003-04,31,BOS,NBA,SF,21,513,15.7,.540,.181,.616,4.8,16.2,10.6,8.5,2.2,0.2,12.1,22.7,,0.7,0.5,1.2,.116,,-0.9,-1.5,-2.4,0.0
