,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2005-06,30,SAS,NBA,C,59,490,9.3,.491,.022,.290,14.1,15.5,14.8,8.3,1.0,1.6,21.1,12.9,,0.2,0.9,1.1,.105,,-2.6,1.9,-0.7,0.2
2,2006-07,31,SAS,NBA,PF,79,1365,11.9,.575,.000,.181,12.1,20.2,16.3,7.8,1.0,1.3,18.5,12.9,,1.6,2.5,4.1,.144,,-1.3,2.2,0.9,1.0
3,2007-08,32,SAS,NBA,PF,82,1644,13.8,.615,.003,.206,11.1,19.6,15.4,9.1,1.2,0.9,13.6,10.9,,3.2,2.9,6.1,.178,,-0.2,2.8,2.5,1.9
4,2008-09,33,SAS,NBA,C,54,677,10.6,.595,.010,.337,11.6,13.4,12.5,12.9,0.6,1.2,24.1,11.3,,0.8,0.8,1.7,.119,,-1.7,1.6,-0.1,0.3
5,2009-10,34,WAS,NBA,C,57,650,5.7,.654,.000,.304,5.9,12.8,9.3,11.1,0.9,1.1,36.2,6.9,,0.2,0.4,0.6,.047,,-2.9,0.9,-2.1,0.0
6,2010-11,35,POR,NBA,C,5,45,0.8,.595,.000,.400,7.8,11.4,9.5,0.0,0.0,0.0,33.8,9.2,,0.0,0.0,0.0,-0.012,,-6.4,-3.6,-10.0,-0.1
7,Career,,,NBA,,336,4871,11.2,.588,.005,.231,11.0,17.5,14.3,9.4,1.0,1.1,19.7,11.2,,6.0,7.5,13.6,.134,,-1.4,2.0,0.7,3.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,SAS,NBA,,274,4176,12.1,.583,.005,.225,11.9,18.3,15.2,9.2,1.0,1.2,17.9,11.9,,5.8,7.1,12.9,.149,,-1.1,2.3,1.2,3.4
10,1 season,,WAS,NBA,,57,650,5.7,.654,.000,.304,5.9,12.8,9.3,11.1,0.9,1.1,36.2,6.9,,0.2,0.4,0.6,.047,,-2.9,0.9,-2.1,0.0
11,1 season,,POR,NBA,,5,45,0.8,.595,.000,.400,7.8,11.4,9.5,0.0,0.0,0.0,33.8,9.2,,0.0,0.0,0.0,-0.012,,-6.4,-3.6,-10.0,-0.1
