,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1990-91,23,MIN,NBA,C,81,2099,13.8,.581,.003,.661,14.1,21.8,17.7,1.6,1.2,3.7,13.5,11.7,,3.5,2.1,5.6,.128,,-1.6,0.1,-1.4,0.3
2,1991-92,24,MIN,NBA,C,61,1481,11.2,.495,.000,.538,12.1,20.6,16.2,4.7,0.9,3.2,14.6,13.8,,0.7,1.2,2.0,.064,,-2.7,0.5,-2.2,-0.1
3,1992-93,25,MIN,NBA,C,71,1296,8.2,.520,.000,.562,12.6,17.5,15.0,1.9,0.9,3.2,19.9,12.1,,0.1,0.9,1.1,.039,,-4.1,-0.5,-4.6,-0.9
4,1993-94,26,UTA,NBA,C,79,2210,11.7,.540,.000,.536,12.5,21.8,17.2,2.8,1.0,2.1,16.9,15.1,,1.4,3.2,4.7,.102,,-2.0,0.9,-1.2,0.5
5,1994-95,27,UTA,NBA,C,34,905,12.3,.578,.000,.628,13.1,22.3,18.0,2.7,0.7,2.9,19.9,17.2,,0.7,1.3,2.0,.104,,-1.9,0.4,-1.5,0.1
6,1995-96,28,UTA,NBA,C,71,1267,10.4,.570,.000,.537,9.9,19.4,14.8,1.3,0.8,3.6,18.1,15.3,,0.7,1.7,2.4,.089,,-3.1,0.1,-3.0,-0.3
7,1996-97,29,TOT,NBA,C,73,1558,9.2,.524,.000,.567,11.9,19.8,15.8,2.1,1.1,2.5,19.9,12.7,,0.4,0.9,1.3,.040,,-3.4,-0.6,-4.0,-0.8
8,1996-97,29,ORL,NBA,C,1,19,17.1,1.000,.000,.000,30.1,6.3,18.5,8.6,0.0,0.0,33.3,7.3,,0.1,0.0,0.1,.186,,5.4,-1.8,3.5,0.0
9,1996-97,29,GSW,NBA,C,72,1539,9.1,.521,.000,.571,11.7,19.9,15.8,2.1,1.2,2.5,19.8,12.7,,0.3,0.9,1.2,.038,,-3.5,-0.6,-4.1,-0.8
10,1997-98,30,GSW,NBA,C,68,813,8.5,.495,.000,.612,11.9,18.0,14.8,3.2,1.5,3.1,23.0,11.4,,-0.2,1.0,0.9,.052,,-5.0,1.5,-3.5,-0.3
11,1998-99,31,GSW,NBA,C,26,159,9.8,.473,.000,.788,11.8,19.3,15.5,0.0,1.7,4.7,16.8,14.9,,0.0,0.3,0.3,.078,,-6.3,-0.8,-7.1,-0.2
12,1999-00,32,SAS,NBA,C,26,149,13.6,.541,.000,.909,12.0,17.5,14.9,3.1,2.1,3.7,16.3,17.1,,0.2,0.3,0.5,.159,,-2.6,1.6,-1.0,0.0
13,2000-01,33,NYK,NBA,C,18,113,13.5,.629,.000,1.250,17.7,19.7,18.7,3.0,1.0,1.4,26.2,18.2,,0.2,0.2,0.4,.152,,-2.1,-0.8,-2.9,0.0
14,2001-02,34,NYK,NBA,C,32,248,0.8,.358,.000,1.269,7.5,15.9,11.7,1.8,1.5,2.4,22.8,9.9,,-0.3,0.3,-0.1,-0.013,,-7.4,1.3,-6.1,-0.3
15,Career,,,NBA,,640,12298,10.8,.539,.000,.596,12.3,20.3,16.3,2.5,1.0,3.0,17.6,13.6,,7.4,13.5,20.9,.081,,-2.9,0.3,-2.6,-1.9
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3 seasons,,MIN,NBA,,213,4876,11.5,.537,.001,.594,13.1,20.3,16.5,2.7,1.0,3.4,15.5,12.4,,4.4,4.3,8.6,.085,,-2.6,0.1,-2.5,-0.6
18,3 seasons,,UTA,NBA,,184,4382,11.4,.557,.000,.556,11.9,21.2,16.7,2.3,0.9,2.7,17.9,15.6,,2.8,6.2,9.0,.099,,-2.3,0.6,-1.8,0.3
19,3 seasons,,GSW,NBA,,166,2511,8.9,.510,.000,.599,11.8,19.3,15.5,2.3,1.3,2.8,20.5,12.4,,0.1,2.3,2.4,.045,,-4.2,0.1,-4.1,-1.3
20,2 seasons,,NYK,NBA,,50,361,4.8,.475,.000,1.261,10.7,17.1,13.9,2.2,1.3,2.1,24.3,12.5,,-0.2,0.5,0.3,.039,,-5.7,0.6,-5.1,-0.3
21,1 season,,SAS,NBA,,26,149,13.6,.541,.000,.909,12.0,17.5,14.9,3.1,2.1,3.7,16.3,17.1,,0.2,0.3,0.5,.159,,-2.6,1.6,-1.0,0.0
22,1 season,,ORL,NBA,,1,19,17.1,1.000,.000,.000,30.1,6.3,18.5,8.6,0.0,0.0,33.3,7.3,,0.1,0.0,0.1,.186,,5.4,-1.8,3.5,0.0
