,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2009-10,23,TOT,NBA,SG,27,334,10.5,.553,.366,.495,2.1,8.8,5.4,9.6,2.0,1.3,18.0,20.3,,0.0,0.4,0.4,.057,,-2.3,-0.6,-2.9,-0.1
2,2009-10,23,HOU,NBA,SG,9,118,8.6,.569,.414,.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,,-0.1,0.1,0.0,.004,,-4.4,0.0,-4.4,-0.1
3,2009-10,23,SAC,NBA,SG,5,23,15.4,.539,.250,.625,4.9,10.1,7.5,13.2,2.2,0.0,16.4,23.5,,0.0,0.0,0.0,.078,,-1.7,-2.5,-4.2,0.0
4,2009-10,23,SAS,NBA,SG,13,193,11.1,.546,.359,.328,1.9,6.6,4.3,9.5,2.2,0.7,13.1,20.0,,0.1,0.2,0.3,.086,,-1.1,-0.7,-1.8,0.0
5,2010-11,24,TOT,NBA,PG-SG,24,230,4.7,.378,.544,.250,0.5,11.6,6.0,21.9,2.6,2.1,23.4,20.1,,-0.7,0.3,-0.4,-0.085,,-6.1,0.3,-5.8,-0.2
6,2010-11,24,SAS,NBA,SG,3,21,0.6,.170,.200,.400,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,,-0.1,0.0,-0.1,-0.135,,-8.6,2.1,-6.6,0.0
7,2010-11,24,MIL,NBA,SG,9,83,3.1,.373,.476,.190,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,,-0.1,0.1,0.0,-0.019,,-5.7,-1.2,-6.9,-0.1
8,2010-11,24,CHA,NBA,PG,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-5.9,1.0,-5.0,-0.1
9,2012-13,26,WAS,NBA,SG,51,1156,8.8,.478,.310,.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,,-0.3,1.5,1.2,.049,,-2.9,1.7,-1.2,0.2
10,2013-14,27,WAS,NBA,SG,75,638,7.8,.431,.206,.305,3.8,8.7,6.2,15.8,2.8,1.4,20.8,14.3,,-0.5,0.9,0.3,.025,,-4.6,1.0,-3.7,-0.3
11,2014-15,28,WAS,NBA,SG,52,735,10.9,.534,.518,.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,,0.4,1.1,1.5,.100,,-0.6,1.4,0.8,0.5
12,2015-16,29,WAS,NBA,SF,80,1951,9.3,.520,.511,.248,2.0,10.3,6.1,10.0,1.7,0.7,10.3,14.0,,1.0,1.7,2.7,.066,,-1.0,0.1,-1.0,0.5
13,2016-17,30,SAC,NBA,SG,65,1728,11.2,.545,.509,.171,2.2,10.0,6.1,14.5,2.5,1.5,14.4,14.2,,0.9,1.3,2.2,.062,,-0.3,0.6,0.3,1.0
14,Career,,,NBA,,374,6772,9.6,.510,.447,.235,2.5,9.8,6.1,13.1,2.3,1.2,15.1,14.5,,0.8,7.2,8.0,.056,,-1.7,0.7,-1.0,1.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,WAS,NBA,,258,4480,9.2,.500,.424,.236,2.7,9.7,6.2,12.4,2.2,1.0,14.5,13.8,,0.6,5.1,5.7,.062,,-2.0,0.8,-1.1,1.0
17,2 seasons,,SAC,NBA,,70,1751,11.2,.544,.505,.180,2.2,10.0,6.1,14.5,2.5,1.5,14.4,14.3,,0.9,1.4,2.3,.062,,-0.3,0.5,0.2,1.0
18,2 seasons,,SAS,NBA,,16,214,10.1,.518,.348,.333,2.2,6.4,4.4,9.9,2.2,1.0,13.2,19.5,,0.0,0.3,0.3,.064,,-1.8,-0.4,-2.3,0.0
19,1 season,,CHA,NBA,,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-5.9,1.0,-5.0,-0.1
20,1 season,,HOU,NBA,,9,118,8.6,.569,.414,.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,,-0.1,0.1,0.0,.004,,-4.4,0.0,-4.4,-0.1
21,1 season,,MIL,NBA,,9,83,3.1,.373,.476,.190,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,,-0.1,0.1,0.0,-0.019,,-5.7,-1.2,-6.9,-0.1
