,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2010-11,26,SAS,NBA,SG,80,1685,13.1,.578,.487,.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,,2.1,1.4,3.5,.099,,0.9,-1.9,-1.1,0.4
2,2011-12,27,SAS,NBA,SG,56,1206,14.2,.542,.407,.132,1.2,9.9,5.6,15.1,1.2,0.1,10.5,21.7,,1.6,0.9,2.5,.101,,1.3,-1.8,-0.5,0.5
3,2012-13,28,SAS,NBA,SG,68,1484,11.5,.512,.420,.124,1.1,9.6,5.6,13.5,1.0,0.1,9.9,21.7,,0.4,1.5,1.9,.060,,-0.8,-1.8,-2.6,-0.2
4,2013-14,29,TOT,NBA,SG,52,1114,12.5,.530,.382,.223,1.0,8.3,4.6,13.0,0.8,0.0,11.0,23.8,,0.6,0.3,1.0,.041,,-0.6,-4.0,-4.6,-0.7
5,2013-14,29,MIL,NBA,SG,30,607,11.2,.500,.401,.195,1.5,8.2,4.7,13.4,0.6,0.0,11.5,25.3,,0.0,-0.1,-0.2,-0.012,,-1.3,-5.4,-6.8,-0.7
6,2013-14,29,CHA,NBA,SG,22,507,14.0,.571,.356,.263,0.4,8.5,4.5,12.6,1.1,0.0,10.4,22.0,,0.6,0.5,1.1,.105,,0.2,-2.2,-2.0,0.0
7,2014-15,30,TOT,NBA,SG,54,1193,11.1,.483,.326,.268,1.3,11.0,6.0,14.5,1.0,0.1,10.4,23.8,,-0.2,0.8,0.6,.023,,-1.7,-2.6,-4.3,-0.7
8,2014-15,30,CHO,NBA,SG,43,931,9.9,.466,.334,.256,1.6,9.7,5.6,14.9,0.9,0.1,11.0,24.4,,-0.6,0.7,0.1,.006,,-2.2,-2.3,-4.6,-0.6
9,2014-15,30,MIN,NBA,SG,11,262,15.1,.544,.295,.314,0.0,15.8,7.6,13.1,1.4,0.0,7.7,21.8,,0.4,0.0,0.4,.080,,0.1,-3.4,-3.3,-0.1
10,2015-16,31,WAS,NBA,SG,40,807,13.5,.558,.308,.169,1.5,10.2,5.8,9.2,1.2,0.1,7.7,20.5,,0.9,0.5,1.4,.085,,-0.5,-2.3,-2.8,-0.2
11,2016-17,32,ATL,NBA,SG,2,18,-4.3,.228,.286,.571,0.0,6.0,3.1,7.1,0.0,0.0,0.0,21.2,,-0.1,0.0,-0.1,-0.189,,-11.8,-4.9,-16.6,-0.1
12,Career,,,NBA,,352,7507,12.6,.532,.398,.179,1.2,10.2,5.8,12.4,1.0,0.1,10.1,22.0,,5.4,5.4,10.7,.069,,-0.2,-2.3,-2.5,-1.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3 seasons,,SAS,NBA,,204,4375,12.9,.545,.441,.141,1.3,10.5,6.0,12.3,1.0,0.1,10.2,21.3,,4.1,3.8,7.9,.086,,0.4,-1.8,-1.4,0.6
15,2 seasons,,"CHA,CHO",NBA,,65,1438,11.4,.501,.341,.258,1.2,9.3,5.2,14.1,1.0,0.1,10.8,23.5,,0.0,1.2,1.2,.041,,-1.4,-2.3,-3.7,-0.6
16,1 season,,WAS,NBA,,40,807,13.5,.558,.308,.169,1.5,10.2,5.8,9.2,1.2,0.1,7.7,20.5,,0.9,0.5,1.4,.085,,-0.5,-2.3,-2.8,-0.2
17,1 season,,MIL,NBA,,30,607,11.2,.500,.401,.195,1.5,8.2,4.7,13.4,0.6,0.0,11.5,25.3,,0.0,-0.1,-0.2,-0.012,,-1.3,-5.4,-6.8,-0.7
18,1 season,,MIN,NBA,,11,262,15.1,.544,.295,.314,0.0,15.8,7.6,13.1,1.4,0.0,7.7,21.8,,0.4,0.0,0.4,.080,,0.1,-3.4,-3.3,-0.1
19,1 season,,ATL,NBA,,2,18,-4.3,.228,.286,.571,0.0,6.0,3.1,7.1,0.0,0.0,0.0,21.2,,-0.1,0.0,-0.1,-0.189,,-11.8,-4.9,-16.6,-0.1
