,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,22,SAS,NBA,PG,77,1270,11.6,.502,.196,.392,2.9,11.9,7.4,16.6,1.9,1.2,14.5,19.5,,0.2,2.0,2.1,.080,,-2.8,1.0,-1.8,0.1
2,2009-10,23,SAS,NBA,PG,78,2276,14.7,.572,.255,.321,2.2,8.2,5.3,15.5,1.6,0.8,10.7,19.0,,4.1,2.6,6.7,.142,,1.3,0.2,1.5,2.0
3,2010-11,24,SAS,NBA,PG,76,2148,14.6,.588,.322,.427,1.3,9.2,5.4,13.6,1.6,0.7,11.6,18.2,,4.0,2.1,6.1,.136,,1.1,-0.1,1.1,1.7
4,2011-12,25,IND,NBA,PG,50,1274,15.7,.557,.387,.308,2.8,10.5,6.7,18.8,1.7,1.1,10.8,17.2,,2.8,1.3,4.0,.152,,2.6,-0.3,2.3,1.4
5,2012-13,26,IND,NBA,PG,76,2620,16.6,.558,.405,.245,2.0,9.9,6.0,23.4,1.6,0.7,10.7,18.8,,5.9,3.8,9.7,.177,,2.8,0.3,3.1,3.4
6,2013-14,27,IND,NBA,PG,76,2434,13.4,.563,.422,.286,2.6,10.1,6.5,17.2,1.6,0.7,11.7,14.8,,3.8,4.0,7.8,.154,,1.0,1.4,2.4,2.7
7,2014-15,28,IND,NBA,PG,43,1267,21.5,.579,.361,.267,2.2,13.3,7.8,31.4,1.8,0.9,10.3,23.8,,3.7,1.6,5.4,.203,,5.4,0.2,5.6,2.4
8,2015-16,29,IND,NBA,PG,74,2524,13.2,.555,.425,.203,2.5,10.3,6.5,15.5,1.6,0.5,11.1,15.8,,3.4,2.8,6.2,.118,,1.1,0.5,1.5,2.2
9,2016-17,30,UTA,NBA,PG,49,1544,19.3,.599,.384,.323,1.8,10.5,6.2,22.6,1.7,0.6,10.9,23.5,,4.0,1.9,5.9,.182,,3.8,-0.3,3.6,2.2
10,Career,,,NBA,,599,17357,15.3,.566,.358,.300,2.2,10.2,6.3,18.8,1.7,0.8,11.3,18.5,,31.8,22.1,53.9,.149,,1.8,0.4,2.1,18.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5 seasons,,IND,NBA,,319,10119,15.5,.562,.403,.254,2.4,10.6,6.6,20.4,1.7,0.7,11.0,17.5,,19.6,13.5,33.1,.157,,2.2,0.5,2.7,12.1
13,3 seasons,,SAS,NBA,,231,5694,13.9,.563,.267,.375,2.0,9.4,5.8,15.0,1.7,0.9,11.9,18.8,,8.2,6.7,14.9,.126,,0.3,0.3,0.6,3.7
14,1 season,,UTA,NBA,,49,1544,19.3,.599,.384,.323,1.8,10.5,6.2,22.6,1.7,0.6,10.9,23.5,,4.0,1.9,5.9,.182,,3.8,-0.3,3.6,2.2
