,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2011-12,22,SAC,NBA,PG,65,1656,17.6,.574,.384,.324,3.0,8.4,5.6,25.6,1.6,0.4,13.9,19.8,,4.2,0.0,4.3,.124,,3.2,-2.7,0.5,1.1
2,2012-13,23,SAC,NBA,PG,79,2122,17.5,.574,.386,.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23.0,,5.2,-0.1,5.0,.114,,3.5,-3.7,-0.2,1.0
3,2013-14,24,SAC,NBA,PG,72,2497,20.5,.574,.332,.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,,6.4,1.3,7.7,.149,,5.0,-2.1,2.9,3.1
4,2014-15,25,TOT,NBA,PG,67,1726,20.6,.579,.434,.437,2.1,7.7,4.9,27.2,1.6,0.2,13.1,27.8,,5.0,1.1,6.1,.169,,4.6,-2.8,1.8,1.6
5,2014-15,25,PHO,NBA,PG,46,1181,19.7,.579,.404,.412,2.4,7.8,5.1,23.6,1.9,0.3,12.8,25.8,,3.2,0.7,4.0,.162,,3.8,-2.3,1.5,1.0
6,2014-15,25,BOS,NBA,PG,21,545,22.3,.579,.488,.481,1.4,7.5,4.4,35.2,1.1,0.0,13.5,32.1,,1.8,0.3,2.1,.185,,6.4,-3.9,2.5,0.6
7,2015-16,26,BOS,NBA,PG,82,2644,21.5,.562,.336,.394,1.8,8.0,4.9,32.7,1.7,0.3,11.9,29.6,,7.2,2.5,9.7,.177,,5.0,-2.0,3.0,3.3
8,2016-17,27,BOS,NBA,PG,76,2569,26.5,.625,.439,.441,1.9,7.0,4.4,32.6,1.4,0.4,10.7,34.0,,10.9,1.6,12.6,.235,,8.8,-3.3,5.5,4.8
9,Career,,,NBA,,441,13214,21.0,.585,.384,.393,2.0,7.6,4.8,29.7,1.6,0.3,12.5,27.3,,39.0,6.5,45.4,.165,,5.2,-2.7,2.5,14.9
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,SAC,NBA,,216,6275,18.7,.574,.362,.352,2.2,7.7,4.8,27.9,1.7,0.2,13.7,23.5,,15.8,1.2,17.1,.130,,4.0,-2.8,1.2,5.1
12,3 seasons,,BOS,NBA,,179,5758,23.8,.594,.398,.424,1.8,7.5,4.6,32.9,1.5,0.3,11.5,31.8,,19.9,4.5,24.4,.203,,6.8,-2.8,4.0,8.8
13,1 season,,PHO,NBA,,46,1181,19.7,.579,.404,.412,2.4,7.8,5.1,23.6,1.9,0.3,12.8,25.8,,3.2,0.7,4.0,.162,,3.8,-2.3,1.5,1.0
