,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,22,PHI,NBA,SF,74,882,10.1,.489,.633,.073,4.0,10.7,7.4,8.3,1.5,0.7,10.8,20.2,,0.2,0.8,1.0,.054,,-0.3,-2.3,-2.6,-0.1
2,2004-05,23,PHI,NBA,SF,82,2667,12.8,.588,.735,.126,1.7,14.5,8.0,11.0,2.0,1.0,11.7,15.1,,3.3,3.3,6.6,.119,,1.5,0.8,2.3,2.9
3,2005-06,24,PHI,NBA,SF,82,2563,12.3,.577,.576,.156,1.2,11.1,6.2,10.2,1.3,0.8,10.8,16.2,,3.2,1.3,4.6,.086,,1.2,-1.4,-0.2,1.1
4,2006-07,25,PHI,NBA,SF,74,2288,14.2,.569,.363,.247,1.6,12.0,6.8,8.0,1.3,0.7,11.1,21.3,,2.9,1.7,4.6,.097,,0.9,-1.5,-0.5,0.9
5,2007-08,26,TOT,NBA,SG-PF,75,1732,12.8,.585,.515,.226,1.5,10.5,6.0,8.8,1.3,1.4,10.6,18.3,,2.7,1.5,4.2,.116,,1.3,-1.2,0.1,0.9
6,2007-08,26,PHI,NBA,PF,25,657,10.5,.515,.476,.150,2.1,11.1,6.6,7.9,1.6,0.7,10.4,18.5,,0.4,0.6,1.0,.075,,-0.5,-1.0,-1.5,0.1
7,2007-08,26,UTA,NBA,SG,50,1075,14.2,.629,.540,.276,1.0,10.1,5.6,9.3,1.1,1.7,10.7,18.2,,2.3,0.9,3.2,.141,,2.4,-1.3,1.1,0.8
8,2008-09,27,UTA,NBA,SF,78,1874,12.1,.572,.477,.227,2.2,14.2,8.2,11.1,1.3,1.3,12.8,16.9,,1.9,1.8,3.7,.095,,0.3,-0.1,0.2,1.0
9,2009-10,28,UTA,NBA,SG,52,952,13.9,.620,.393,.175,1.3,12.2,6.9,13.9,1.4,1.0,12.2,16.2,,1.6,1.0,2.6,.130,,0.9,-0.5,0.4,0.6
10,2010-11,29,CHI,NBA,SG,82,1649,13.0,.572,.519,.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,,2.7,2.4,5.1,.149,,0.8,-0.9,0.0,0.8
11,2011-12,30,CHI,NBA,SG,65,1469,13.6,.600,.658,.160,2.0,9.9,6.0,11.7,1.3,0.7,10.7,15.3,,3.1,2.1,5.3,.172,,2.5,0.0,2.5,1.7
12,2012-13,31,ATL,NBA,SF,74,2259,13.9,.637,.689,.130,1.2,13.5,7.4,9.9,1.6,1.3,9.9,14.5,,4.0,2.5,6.4,.137,,2.1,0.5,2.7,2.7
13,2013-14,32,ATL,NBA,SG,71,2408,13.5,.653,.644,.154,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,,3.9,2.0,5.9,.118,,2.0,0.2,2.2,2.5
14,2014-15,33,ATL,NBA,SG,75,2418,14.8,.699,.748,.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,,5.0,2.4,7.5,.148,,3.1,0.2,3.3,3.3
15,2015-16,34,ATL,NBA,SG,80,2401,9.7,.578,.644,.088,0.7,10.9,5.9,9.9,1.2,1.1,13.3,13.7,,1.2,2.9,4.1,.081,,-0.7,0.5,-0.2,1.1
16,2016-17,35,TOT,NBA,SG,67,1753,12.1,.635,.697,.082,0.5,11.0,5.9,9.4,1.0,1.0,11.5,15.2,,2.3,1.3,3.7,.101,,0.8,-1.0,-0.2,0.8
17,2016-17,35,ATL,NBA,SG,32,894,10.9,.591,.646,.110,0.1,10.8,5.5,12.6,1.3,1.2,13.4,14.5,,0.7,0.9,1.6,.088,,-0.5,0.1,-0.4,0.4
18,2016-17,35,CLE,NBA,SG,35,859,13.5,.677,.743,.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,,1.6,0.4,2.0,.114,,2.2,-2.2,0.0,0.4
19,Career,,,NBA,,1031,27315,12.8,.600,.593,.161,1.3,12.0,6.7,10.7,1.4,1.0,11.6,16.1,,38.1,27.1,65.2,.115,,1.3,-0.3,0.9,20.1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5 seasons,,PHI,NBA,,337,9057,12.6,.563,.554,.165,1.8,12.3,7.0,9.5,1.5,0.8,11.1,17.7,,10.1,7.7,17.8,.095,,1.0,-0.9,0.1,4.9
22,5 seasons,,ATL,NBA,,332,10380,12.8,.638,.678,.139,0.8,12.4,6.7,11.4,1.3,1.2,12.8,14.2,,14.8,10.8,25.6,.118,,1.4,0.3,1.8,9.9
23,3 seasons,,UTA,NBA,,180,3901,13.1,.600,.476,.229,1.7,12.6,7.2,11.3,1.3,1.3,12.0,17.1,,5.7,3.7,9.4,.116,,1.0,-0.5,0.5,2.5
24,2 seasons,,CHI,NBA,,147,3118,13.2,.584,.578,.158,1.4,9.7,5.7,11.9,1.2,0.8,9.8,16.9,,5.8,4.5,10.4,.160,,1.6,-0.4,1.1,2.5
25,1 season,,CLE,NBA,,35,859,13.5,.677,.743,.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,,1.6,0.4,2.0,.114,,2.2,-2.2,0.0,0.4
