,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2007-08,21,SAS,NBA,C,6,23,35.3,.658,.000,.750,0.0,25.3,12.8,9.0,0.0,13.2,11.1,37.4,,0.1,0.1,0.2,.372,,-0.9,3.3,2.3,0.0
2,2009-10,23,SAS,NBA,C,26,165,21.6,.667,.000,.855,9.4,27.2,18.5,2.1,1.0,3.5,16.5,25.2,,0.4,0.3,0.7,.206,,-2.3,-1.6,-3.9,-0.1
3,2010-11,24,DAL,NBA,C,56,488,13.7,.645,.020,.837,10.7,17.8,14.4,2.5,1.5,2.3,15.7,15.3,,1.0,0.8,1.8,.177,,-1.3,0.8,-0.6,0.2
4,2011-12,25,DAL,NBA,C,61,1139,13.5,.585,.004,.618,10.7,17.7,14.3,1.7,1.8,2.2,14.2,14.4,,1.7,1.7,3.4,.144,,-1.9,0.8,-1.2,0.2
5,2012-13,26,IND,NBA,C,80,1322,10.6,.497,.006,.520,9.9,16.2,13.1,3.3,1.6,3.7,18.5,17.1,,-0.4,2.6,2.3,.083,,-4.7,2.0,-2.7,-0.2
6,2013-14,27,IND,NBA,C,77,1248,10.2,.538,.005,.767,10.1,12.9,11.6,2.9,1.7,4.4,18.7,11.4,,0.7,2.7,3.3,.129,,-3.3,3.6,0.3,0.7
7,2014-15,28,IND,NBA,C,61,1146,10.8,.516,.000,.481,10.2,24.0,17.2,4.4,1.3,3.1,18.7,12.5,,0.1,2.0,2.1,.090,,-3.8,2.6,-1.2,0.2
8,2015-16,29,IND,NBA,C,71,1816,16.6,.603,.000,.502,8.3,22.1,15.3,8.9,1.8,3.3,15.5,15.7,,2.9,3.3,6.2,.163,,-0.9,3.3,2.4,2.0
9,2016-17,30,WAS,NBA,C,31,555,14.1,.601,.000,.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14.0,,0.5,0.9,1.4,.123,,-2.1,2.9,0.8,0.4
10,Career,,,NBA,,469,7902,13.1,.567,.004,.593,9.7,19.1,14.5,4.5,1.7,3.4,16.9,14.7,,7.1,14.4,21.5,.130,,-2.6,2.4,-0.3,3.5
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,IND,NBA,,289,5532,12.5,.547,.003,.546,9.5,19.0,14.3,5.3,1.6,3.6,17.5,14.4,,3.3,10.7,14.0,.121,,-2.9,2.9,0.0,2.7
13,2 seasons,,DAL,NBA,,117,1627,13.5,.603,.009,.682,10.7,17.7,14.3,1.9,1.7,2.2,14.7,14.6,,2.8,2.4,5.2,.154,,-1.8,0.8,-1.0,0.4
14,2 seasons,,SAS,NBA,,32,188,23.3,.666,.000,.836,8.3,27.0,17.8,2.9,0.8,4.7,15.6,26.7,,0.5,0.4,0.9,.226,,-2.1,-1.0,-3.2,-0.1
15,1 season,,WAS,NBA,,31,555,14.1,.601,.000,.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14.0,,0.5,0.9,1.4,.123,,-2.1,2.9,0.8,0.4
