,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2005-06,22,GSW,NBA,PF,69,1031,15.8,.596,.000,.503,10.0,14.9,12.4,4.9,0.7,2.2,16.1,21.0,,1.7,1.0,2.6,.123,,-2.0,-1.1,-3.1,-0.3
2,2006-07,23,TOT,NBA,PF,59,760,14.9,.559,.000,.526,11.0,19.5,15.2,5.7,0.5,2.6,17.0,22.9,,0.7,0.8,1.5,.094,,-3.3,-1.5,-4.9,-0.5
3,2006-07,23,GSW,NBA,PF,17,222,18.4,.601,.000,.530,10.2,21.2,15.6,3.6,0.7,3.8,15.0,23.1,,0.4,0.2,0.6,.137,,-2.9,-1.8,-4.7,-0.2
4,2006-07,23,IND,NBA,PF,42,538,13.5,.539,.000,.525,11.4,18.8,15.0,6.5,0.5,2.1,17.9,22.8,,0.3,0.6,0.9,.076,,-3.5,-1.4,-4.9,-0.4
5,2007-08,24,IND,NBA,PF,30,305,17.2,.543,.000,.351,13.3,17.1,15.2,5.7,1.1,0.7,11.4,24.8,,0.4,0.3,0.7,.115,,-2.1,-3.0,-5.0,-0.2
6,2008-09,25,TOT,NBA,PF,29,215,20.3,.611,.027,.716,14.4,16.6,15.5,2.7,0.7,1.1,11.0,23.2,,0.6,0.1,0.7,.158,,-0.4,-5.2,-5.6,-0.2
7,2008-09,25,POR,NBA,PF,19,73,11.4,.486,.000,1.053,20.1,8.6,14.4,0.0,0.8,2.2,17.8,21.8,,0.0,0.1,0.1,.057,,-4.6,-5.2,-9.7,-0.1
8,2008-09,25,SAC,NBA,PF,10,142,24.9,.662,.036,.600,11.4,20.7,16.0,4.1,0.7,0.5,7.9,23.8,,0.6,0.0,0.6,.210,,1.8,-5.2,-3.4,-0.1
9,2010-11,27,LAC,NBA,PF,36,470,13.7,.590,.000,.419,10.3,18.3,14.3,0.7,0.3,0.5,11.2,18.7,,0.7,0.3,1.0,.104,,-2.9,-4.7,-7.6,-0.7
10,2011-12,28,SAS,NBA,PF,2,14,-2.9,.347,.000,1.000,0.0,8.0,4.1,0.0,0.0,0.0,25.8,12.6,,0.0,0.0,0.0,-0.116,,-10.0,-2.6,-12.5,0.0
11,Career,,,NBA,,225,2795,15.6,.578,.002,.493,11.0,17.1,14.0,4.3,0.7,1.7,14.6,21.7,,4.1,2.4,6.5,.112,,-2.4,-2.4,-4.8,-2.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,GSW,NBA,,86,1253,16.3,.597,.000,.508,10.1,16.0,12.9,4.7,0.7,2.4,15.8,21.4,,2.1,1.2,3.3,.125,,-2.1,-1.2,-3.4,-0.4
14,2 seasons,,IND,NBA,,72,843,14.8,.541,.000,.451,12.1,18.2,15.1,6.2,0.7,1.6,15.4,23.5,,0.7,0.9,1.6,.090,,-3.0,-2.0,-4.9,-0.6
15,1 season,,LAC,NBA,,36,470,13.7,.590,.000,.419,10.3,18.3,14.3,0.7,0.3,0.5,11.2,18.7,,0.7,0.3,1.0,.104,,-2.9,-4.7,-7.6,-0.7
16,1 season,,POR,NBA,,19,73,11.4,.486,.000,1.053,20.1,8.6,14.4,0.0,0.8,2.2,17.8,21.8,,0.0,0.1,0.1,.057,,-4.6,-5.2,-9.7,-0.1
17,1 season,,SAC,NBA,,10,142,24.9,.662,.036,.600,11.4,20.7,16.0,4.1,0.7,0.5,7.9,23.8,,0.6,0.0,0.6,.210,,1.8,-5.2,-3.4,-0.1
18,1 season,,SAS,NBA,,2,14,-2.9,.347,.000,1.000,0.0,8.0,4.1,0.0,0.0,0.0,25.8,12.6,,0.0,0.0,0.0,-0.116,,-10.0,-2.6,-12.5,0.0
