,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,26,LAL,NBA,SF,4,28,6.7,.372,.111,.444,4.0,16.4,10.1,10.9,3.7,2.6,21.8,22.1,,-0.1,0.1,0.0,-0.073,,-7.9,2.0,-5.9,0.0
2,2005-06,28,NYK,NBA,SF,8,114,6.1,.413,.125,.250,3.2,15.1,9.1,8.4,0.5,0.0,7.0,11.4,,0.0,0.0,0.0,.001,,-3.8,-1.6,-5.4,-0.1
3,2006-07,29,POR,NBA,SF,75,2144,12.1,.569,.426,.173,5.4,10.9,8.1,8.6,1.8,0.6,11.7,13.7,,2.9,1.0,3.9,.088,,1.6,0.1,1.7,2.0
4,2007-08,30,SAS,NBA,PF,73,1316,11.5,.528,.440,.155,3.3,17.0,10.2,7.7,2.3,1.0,12.6,16.7,,0.2,2.6,2.8,.102,,-1.8,1.9,0.2,0.7
5,2008-09,31,SAS,NBA,SF,67,1035,9.5,.470,.436,.160,3.3,18.1,10.8,7.9,1.9,0.9,11.0,16.2,,-0.5,1.7,1.3,.058,,-3.3,1.2,-2.1,0.0
6,2009-10,32,SAC,NBA,SG,69,944,9.6,.470,.378,.237,6.1,17.2,11.6,8.8,1.8,0.5,13.6,14.4,,0.0,0.8,0.8,.041,,-2.5,-0.2,-2.7,-0.2
7,2010-11,33,SAS,NBA,SF,20,130,5.3,.285,.381,.381,4.6,12.2,8.5,13.2,3.2,0.5,16.9,10.4,,-0.2,0.2,0.0,.008,,-4.5,2.5,-2.0,0.0
8,Career,,,NBA,,316,5711,10.8,.515,.416,.182,4.6,14.8,9.7,8.4,2.0,0.7,12.2,14.9,,2.4,6.3,8.8,.074,,-1.0,0.7,-0.3,2.4
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,SAS,NBA,,160,2481,10.4,.496,.436,.164,3.3,17.2,10.4,8.1,2.2,0.9,12.1,16.1,,-0.4,4.5,4.1,.079,,-2.6,1.7,-0.9,0.7
11,1 season,,POR,NBA,,75,2144,12.1,.569,.426,.173,5.4,10.9,8.1,8.6,1.8,0.6,11.7,13.7,,2.9,1.0,3.9,.088,,1.6,0.1,1.7,2.0
12,1 season,,SAC,NBA,,69,944,9.6,.470,.378,.237,6.1,17.2,11.6,8.8,1.8,0.5,13.6,14.4,,0.0,0.8,0.8,.041,,-2.5,-0.2,-2.7,-0.2
13,1 season,,NYK,NBA,,8,114,6.1,.413,.125,.250,3.2,15.1,9.1,8.4,0.5,0.0,7.0,11.4,,0.0,0.0,0.0,.001,,-3.8,-1.6,-5.4,-0.1
14,1 season,,LAL,NBA,,4,28,6.7,.372,.111,.444,4.0,16.4,10.1,10.9,3.7,2.6,21.8,22.1,,-0.1,0.1,0.0,-0.073,,-7.9,2.0,-5.9,0.0
