,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2000-01,26,SAS,NBA,SF,27,184,8.9,.435,.164,.291,8.4,12.9,10.8,5.3,0.6,1.5,10.1,17.6,,0.0,0.2,0.2,.055,,-3.4,-0.9,-4.3,-0.1
2,2001-02,27,ATL,NBA,SF,42,1273,11.5,.560,.027,.335,7.1,12.8,10.0,5.6,1.6,1.2,14.0,12.5,,1.5,0.9,2.3,.089,,-1.1,0.8,-0.3,0.6
3,2002-03,28,ATL,NBA,SF,73,1931,11.7,.557,.180,.193,5.3,10.5,8.0,8.6,1.4,0.9,12.0,13.7,,2.5,0.8,3.3,.081,,-0.2,-0.7,-0.9,0.5
4,2003-04,29,CLE,NBA,SF,64,1245,6.7,.429,.069,.167,5.8,8.0,6.9,8.9,1.1,1.1,15.4,12.6,,-0.4,0.5,0.1,.004,,-3.4,-0.6,-4.0,-0.6
5,2004-05,30,CLE,NBA,SG,74,1832,8.6,.482,.125,.163,4.9,9.4,7.1,7.6,1.5,0.7,11.8,12.7,,0.6,1.3,1.9,.050,,-2.3,0.0,-2.3,-0.1
6,2005-06,31,CLE,NBA,SG,36,353,4.0,.375,.228,.281,7.0,11.9,9.4,3.7,0.8,2.2,15.8,10.0,,-0.3,0.3,0.1,.009,,-5.1,0.6,-4.5,-0.2
7,2006-07,32,CLE,NBA,SF,15,129,14.9,.556,.405,.270,11.4,15.7,13.5,2.5,2.5,0.0,6.8,15.6,,0.3,0.2,0.5,.179,,0.4,-0.9,-0.5,0.0
8,2007-08,33,TOT,NBA,SG-SF,49,698,9.7,.507,.282,.149,7.5,13.1,10.2,4.0,2.1,0.9,15.5,14.2,,0.1,0.8,0.9,.061,,-3.1,-0.2,-3.3,-0.2
9,2007-08,33,CLE,NBA,SG,41,650,10.0,.522,.285,.165,7.0,13.2,10.0,3.4,2.2,0.8,15.5,14.0,,0.1,0.8,0.9,.067,,-3.0,-0.1,-3.1,-0.2
10,2007-08,33,SEA,NBA,SF,2,17,0.5,.286,.286,.000,0.0,0.0,0.0,8.8,0.0,0.0,0.0,17.8,,0.0,0.0,-0.1,-0.144,,-8.2,-6.7,-15.0,-0.1
11,2007-08,33,LAL,NBA,SF,6,31,10.0,.389,.222,.000,22.4,17.2,19.7,13.4,1.6,2.3,25.0,17.1,,0.0,0.0,0.0,.037,,-2.3,1.3,-1.0,0.0
12,Career,,,NBA,,380,7645,9.6,.505,.142,.206,6.0,10.6,8.3,7.1,1.4,1.0,13.1,13.1,,4.2,5.0,9.3,.058,,-1.9,-0.2,-2.1,-0.2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5 seasons,,CLE,NBA,,230,4209,8.1,.470,.152,.175,5.9,10.0,7.9,6.9,1.4,1.0,13.6,12.7,,0.4,3.1,3.5,.039,,-2.9,-0.2,-3.1,-1.1
15,2 seasons,,ATL,NBA,,115,3204,11.6,.558,.125,.244,6.0,11.4,8.8,7.4,1.4,1.0,12.7,13.2,,4.0,1.7,5.6,.084,,-0.6,-0.1,-0.7,1.1
16,1 season,,SAS,NBA,,27,184,8.9,.435,.164,.291,8.4,12.9,10.8,5.3,0.6,1.5,10.1,17.6,,0.0,0.2,0.2,.055,,-3.4,-0.9,-4.3,-0.1
17,1 season,,LAL,NBA,,6,31,10.0,.389,.222,.000,22.4,17.2,19.7,13.4,1.6,2.3,25.0,17.1,,0.0,0.0,0.0,.037,,-2.3,1.3,-1.0,0.0
18,1 season,,SEA,NBA,,2,17,0.5,.286,.286,.000,0.0,0.0,0.0,8.8,0.0,0.0,0.0,17.8,,0.0,0.0,-0.1,-0.144,,-8.2,-6.7,-15.0,-0.1
