,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1997-98,22,UTA,NBA,PG,45,419,6.9,.457,.066,.557,1.3,9.5,5.6,30.8,1.2,0.2,26.9,23.0,,-0.6,0.2,-0.4,-0.048,,-5.3,-3.1,-8.4,-0.7
2,1998-99,23,UTA,NBA,PG,19,87,13.3,.542,.267,.800,1.5,13.1,7.7,24.4,3.2,0.0,25.7,30.0,,0.0,0.1,0.1,.069,,-2.6,-0.6,-3.1,0.0
3,1999-00,24,UTA,NBA,PG,78,884,9.2,.489,.130,.290,1.5,7.3,4.5,21.9,1.9,0.0,20.7,19.5,,-0.4,0.8,0.4,.022,,-3.2,-1.7,-4.9,-0.6
4,2000-01,25,UTA,NBA,PG,82,1620,12.8,.535,.198,.417,1.4,9.9,5.7,31.0,1.6,0.2,21.7,16.9,,1.8,1.1,3.0,.088,,-0.4,-1.8,-2.2,-0.1
5,2001-02,26,ATL,NBA,PG,82,1856,13.1,.547,.123,.288,1.1,9.3,5.2,30.2,1.8,0.1,18.5,14.8,,2.5,1.0,3.5,.091,,-0.8,-2.0,-2.8,-0.4
6,2002-03,27,ORL,NBA,PG,80,1686,10.5,.508,.083,.304,1.7,6.4,4.0,21.7,2.0,0.1,17.2,14.9,,1.2,0.9,2.0,.058,,-2.3,-1.8,-4.1,-0.9
7,2003-04,28,ATL,NBA,PG,71,1271,8.0,.440,.072,.245,1.1,9.2,5.2,24.5,1.8,0.1,21.5,14.0,,-0.5,0.4,0.0,-0.002,,-4.1,-2.1,-6.2,-1.3
8,2004-05,29,NJN,NBA,SG,71,1410,8.9,.511,.046,.280,1.4,7.8,4.6,16.3,1.6,0.1,14.5,14.2,,0.4,1.4,1.8,.062,,-3.7,-0.7,-4.5,-0.9
9,2005-06,30,NJN,NBA,SG,80,1234,7.5,.488,.024,.331,1.5,7.2,4.3,16.2,1.8,0.1,15.6,12.7,,0.0,1.5,1.5,.060,,-4.6,0.0,-4.6,-0.8
10,2006-07,31,SAS,NBA,PG,64,760,10.9,.491,.012,.389,1.3,9.2,5.4,25.9,1.7,0.2,17.0,14.7,,0.6,1.2,1.7,.107,,-3.2,-0.1,-3.2,-0.2
11,2007-08,32,SAS,NBA,PG,74,1139,9.2,.481,.035,.283,1.4,6.2,3.8,21.9,1.1,0.1,14.5,15.6,,0.3,1.4,1.6,.069,,-3.9,-0.9,-4.8,-0.8
12,2008-09,33,SAS,NBA,PG,30,292,7.6,.392,.013,.240,1.7,7.3,4.5,27.6,1.1,0.0,15.3,16.2,,-0.2,0.3,0.1,.020,,-5.8,-1.7,-7.5,-0.4
13,Career,,,NBA,,776,12658,10.1,.500,.089,.326,1.4,8.2,4.8,24.0,1.7,0.1,18.6,15.5,,5.2,10.2,15.4,.058,,-2.8,-1.4,-4.2,-7.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,UTA,NBA,,224,3010,10.9,.509,.159,.411,1.4,9.2,5.4,28.1,1.7,0.1,22.5,18.9,,0.8,2.3,3.1,.049,,-2.0,-1.9,-3.9,-1.4
16,3 seasons,,SAS,NBA,,168,2191,9.6,.472,.025,.310,1.4,7.4,4.5,24.0,1.3,0.1,15.4,15.4,,0.6,2.8,3.5,.076,,-3.9,-0.7,-4.6,-1.4
17,2 seasons,,ATL,NBA,,153,3127,11.0,.506,.103,.271,1.1,9.2,5.2,27.9,1.8,0.1,19.7,14.5,,2.1,1.4,3.5,.053,,-2.1,-2.0,-4.1,-1.7
18,2 seasons,,NJN,NBA,,151,2644,8.3,.501,.037,.302,1.5,7.5,4.5,16.2,1.7,0.1,15.0,13.5,,0.5,2.9,3.3,.061,,-4.1,-0.4,-4.5,-1.7
19,1 season,,ORL,NBA,,80,1686,10.5,.508,.083,.304,1.7,6.4,4.0,21.7,2.0,0.1,17.2,14.9,,1.2,0.9,2.0,.058,,-2.3,-1.8,-4.1,-0.9
