,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2010-11,21,SAS,NBA,SF,26,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,.051,,-1.9,-1.5,-3.4,-0.1
2,2011-12,22,SAS,NBA,SG,51,603,8.8,.483,.391,.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,.040,,-2.2,-1.4,-3.6,-0.2
3,2012-13,23,TOT,NBA,SG-SF,39,401,13.9,.539,.476,.222,5.2,15.0,10.2,15.8,1.9,0.9,15.3,18.0,,0.4,0.4,0.9,.106,,-0.1,0.0,-0.1,0.2
4,2012-13,23,SAS,NBA,SF,10,94,13.0,.587,.440,.360,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,,0.1,0.1,0.2,.109,,-1.0,0.3,-0.7,0.0
5,2012-13,23,HOU,NBA,SG,29,307,14.2,.526,.485,.188,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,,0.4,0.3,0.7,.105,,0.2,-0.1,0.0,0.2
6,2013-14,24,PHI,NBA,SG,80,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,,0.9,0.9,1.9,.039,,-1.2,-1.3,-2.5,-0.3
7,2015-16,26,SAC,NBA,SG,51,721,6.0,.469,.483,.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.3,-4.2,-0.4
8,Career,,,NBA,,247,4320,9.9,.516,.479,.183,2.7,11.7,7.1,10.0,1.4,1.0,13.5,16.0,,0.9,2.4,3.3,.037,,-1.8,-1.0,-2.8,-0.9
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,SAS,NBA,,87,983,9.1,.505,.446,.282,2.5,10.9,6.8,9.9,0.7,0.7,13.7,17.0,,0.2,0.8,1.0,.050,,-2.0,-1.3,-3.3,-0.3
11,1 season,,PHI,NBA,,80,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,,0.9,0.9,1.9,.039,,-1.2,-1.3,-2.5,-0.3
12,1 season,,SAC,NBA,,51,721,6.0,.469,.483,.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.3,-4.2,-0.4
13,1 season,,HOU,NBA,,29,307,14.2,.526,.485,.188,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,,0.4,0.3,0.7,.105,,0.2,-0.1,0.0,0.2
