,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1989-90,22,NJN,NBA,SG,28,160,10.8,.428,.043,.304,10.0,5.7,8.0,12.6,3.9,0.4,18.7,24.2,,-0.3,0.2,-0.1,-0.031,,-3.7,-0.1,-3.8,-0.1
2,1991-92,24,GSW,NBA,SG,5,54,12.2,.507,.000,.261,10.3,9.9,10.1,7.5,1.7,0.0,13.5,22.0,,0.0,0.0,0.1,.046,,-2.0,-2.8,-4.8,0.0
3,1992-93,25,LAC,NBA,SG,34,350,11.3,.468,.039,.211,5.9,6.4,6.2,13.5,2.6,0.9,10.8,18.4,,0.1,0.3,0.4,.061,,-2.2,-0.7,-2.9,-0.1
4,1993-94,26,POR,NBA,SG,29,187,9.5,.429,.069,.161,3.4,6.7,4.9,21.5,1.0,0.7,13.1,23.4,,-0.1,0.1,0.0,.000,,-3.8,-3.2,-6.9,-0.2
5,1994-95,27,PHI,NBA,SG,21,257,8.7,.446,.221,.353,8.1,11.0,9.5,11.4,1.8,1.4,17.8,16.6,,-0.2,0.2,0.0,.006,,-3.2,-0.3,-3.6,-0.1
6,1995-96,28,HOU,NBA,SG,4,33,1.5,.323,.625,1.250,0.0,10.1,5.1,0.0,1.6,0.0,0.0,16.9,,-0.1,0.0,0.0,-0.049,,-7.3,-5.0,-12.3,-0.1
7,1996-97,29,WSB,NBA,SG,75,1133,10.1,.520,.480,.210,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,,0.3,1.3,1.6,.067,,-1.5,-0.5,-1.9,0.0
8,1997-98,30,SAS,NBA,SG,82,2226,9.7,.511,.454,.180,3.0,7.6,5.4,11.4,1.5,0.3,12.8,17.1,,1.3,2.8,4.1,.088,,-0.2,0.0,-0.1,1.0
9,1998-99,31,SAS,NBA,SG,47,861,12.5,.500,.518,.137,2.9,9.6,6.5,9.6,2.6,0.7,10.9,18.3,,0.6,1.5,2.1,.119,,0.4,0.8,1.2,0.7
10,1999-00,32,SAS,NBA,SG,81,1691,9.7,.503,.627,.105,2.4,9.5,6.1,11.0,1.7,0.3,11.4,15.7,,0.8,2.3,3.1,.087,,0.4,0.1,0.6,1.1
11,2000-01,33,SAS,NBA,SG,16,114,10.4,.477,.450,.050,1.0,10.4,6.0,10.5,2.4,0.0,6.8,18.1,,0.0,0.2,0.2,.087,,-0.7,-0.7,-1.3,0.0
12,2001-02,34,ORL,NBA,SG,9,144,7.2,.503,.541,.108,0.8,12.5,6.6,8.2,1.8,0.0,17.1,14.5,,-0.1,0.1,0.0,.015,,-3.0,-1.3,-4.4,-0.1
13,Career,,,NBA,,431,7210,10.1,.497,.442,.174,3.4,8.8,6.2,10.8,1.9,0.5,12.7,17.2,,2.5,9.0,11.5,.077,,-0.7,-0.1,-0.8,2.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,SAS,NBA,,226,4892,10.2,.505,.524,.143,2.7,8.6,5.9,10.9,1.8,0.3,11.9,16.8,,2.7,6.8,9.5,.093,,0.1,0.2,0.3,2.8
16,1 season,,WSB,NBA,,75,1133,10.1,.520,.480,.210,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,,0.3,1.3,1.6,.067,,-1.5,-0.5,-1.9,0.0
17,1 season,,LAC,NBA,,34,350,11.3,.468,.039,.211,5.9,6.4,6.2,13.5,2.6,0.9,10.8,18.4,,0.1,0.3,0.4,.061,,-2.2,-0.7,-2.9,-0.1
18,1 season,,POR,NBA,,29,187,9.5,.429,.069,.161,3.4,6.7,4.9,21.5,1.0,0.7,13.1,23.4,,-0.1,0.1,0.0,.000,,-3.8,-3.2,-6.9,-0.2
19,1 season,,NJN,NBA,,28,160,10.8,.428,.043,.304,10.0,5.7,8.0,12.6,3.9,0.4,18.7,24.2,,-0.3,0.2,-0.1,-0.031,,-3.7,-0.1,-3.8,-0.1
20,1 season,,PHI,NBA,,21,257,8.7,.446,.221,.353,8.1,11.0,9.5,11.4,1.8,1.4,17.8,16.6,,-0.2,0.2,0.0,.006,,-3.2,-0.3,-3.6,-0.1
21,1 season,,ORL,NBA,,9,144,7.2,.503,.541,.108,0.8,12.5,6.6,8.2,1.8,0.0,17.1,14.5,,-0.1,0.1,0.0,.015,,-3.0,-1.3,-4.4,-0.1
22,1 season,,GSW,NBA,,5,54,12.2,.507,.000,.261,10.3,9.9,10.1,7.5,1.7,0.0,13.5,22.0,,0.0,0.0,0.1,.046,,-2.0,-2.8,-4.8,0.0
23,1 season,,HOU,NBA,,4,33,1.5,.323,.625,1.250,0.0,10.1,5.1,0.0,1.6,0.0,0.0,16.9,,-0.1,0.0,0.0,-0.049,,-7.3,-5.0,-12.3,-0.1
