,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2000-01,22,MIL,NBA,PG,1,10,1.7,1.000,.000,.000,0.0,0.0,0.0,14.6,0.0,0.0,66.7,13.6,,0.0,0.0,0.0,-0.159,,-8.8,-7.0,-15.8,0.0
2,2001-02,23,SAS,NBA,PG,10,92,13.5,.601,.105,.316,5.2,10.9,8.1,20.9,4.1,0.8,27.0,15.0,,0.1,0.2,0.3,.142,,-0.8,2.7,1.9,0.1
3,2003-04,25,SAS,NBA,PG,53,660,12.3,.497,.057,.270,1.7,11.5,6.7,20.1,2.3,0.6,14.0,14.5,,0.6,1.3,1.9,.139,,-2.4,1.5,-0.9,0.2
4,2004-05,26,CHA,NBA,PG,74,1887,16.9,.534,.166,.349,1.0,11.8,6.1,32.0,2.7,0.6,13.4,17.9,,3.1,1.7,4.8,.121,,1.2,-0.4,0.8,1.3
5,2005-06,27,SAC,NBA,PG,66,818,7.1,.444,.140,.253,1.7,8.3,5.1,13.4,2.0,0.4,14.9,16.2,,-0.7,0.8,0.1,.006,,-4.8,-0.7,-5.6,-0.7
6,2006-07,28,TOT,NBA,PG,36,846,12.3,.509,.129,.210,2.0,11.8,6.9,19.8,2.7,0.1,13.4,15.4,,0.5,1.0,1.5,.085,,-1.0,0.4,-0.6,0.3
7,2006-07,28,SAC,NBA,PG,13,100,14.5,.617,.200,.367,2.3,15.6,8.8,16.9,1.5,0.0,10.3,17.5,,0.3,0.1,0.3,.160,,0.4,-1.7,-1.3,0.0
8,2006-07,28,LAC,NBA,PG,23,746,12.0,.491,.119,.186,1.9,11.3,6.7,20.2,2.9,0.1,13.9,15.1,,0.3,0.9,1.2,.075,,-1.2,0.7,-0.5,0.3
9,2007-08,29,UTA,NBA,PG,57,606,8.0,.413,.172,.250,1.0,10.0,5.5,19.3,2.5,0.4,12.3,16.8,,-0.2,0.7,0.4,.033,,-3.6,-0.6,-4.2,-0.3
10,2008-09,30,TOT,NBA,PG,39,348,6.5,.375,.064,.245,4.2,11.2,7.6,20.9,1.8,0.9,17.4,16.5,,-0.5,0.2,-0.3,-0.048,,-6.0,-0.9,-6.9,-0.4
11,2008-09,30,LAC,NBA,PG,28,312,6.1,.352,.048,.226,4.3,11.4,7.8,20.8,2.0,0.9,17.1,16.3,,-0.6,0.2,-0.4,-0.058,,-6.4,-0.6,-7.0,-0.4
12,2008-09,30,DEN,NBA,PG,11,36,9.8,.553,.200,.400,3.3,9.4,6.5,21.8,0.0,0.0,20.3,18.3,,0.0,0.0,0.0,.043,,-2.8,-3.7,-6.5,0.0
13,2009-10,31,TOT,NBA,PG,5,22,8.7,.500,.000,.000,0.0,10.9,5.3,36.4,4.6,3.5,60.0,10.3,,0.0,0.0,0.0,-0.003,,-7.6,0.4,-7.2,0.0
14,2009-10,31,MIN,NBA,PG,1,5,9.3,.000,.000,.000,0.0,0.0,0.0,25.5,10.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.028,,-8.4,0.7,-7.7,0.0
15,2009-10,31,NOH,NBA,PG,4,17,8.5,1.000,.000,.000,0.0,14.1,6.9,39.6,3.0,4.5,75.0,10.8,,0.0,0.0,0.0,.004,,-7.3,0.3,-7.0,0.0
16,Career,,,NBA,,341,5289,12.2,.490,.138,.285,1.7,11.0,6.2,23.3,2.5,0.5,14.2,16.5,,2.8,5.8,8.6,.078,,-1.7,-0.1,-1.7,0.3
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2 seasons,,SAC,NBA,,79,918,7.9,.465,.147,.267,1.8,9.1,5.5,13.8,1.9,0.4,14.4,16.3,,-0.4,0.9,0.4,.023,,-4.3,-0.9,-5.1,-0.7
19,1 season,,CHA,NBA,,74,1887,16.9,.534,.166,.349,1.0,11.8,6.1,32.0,2.7,0.6,13.4,17.9,,3.1,1.7,4.8,.121,,1.2,-0.4,0.8,1.3
20,2 seasons,,SAS,NBA,,63,752,12.4,.509,.062,.275,2.1,11.5,6.9,20.2,2.5,0.6,15.6,14.6,,0.7,1.5,2.2,.139,,-2.2,1.7,-0.5,0.3
21,1 season,,UTA,NBA,,57,606,8.0,.413,.172,.250,1.0,10.0,5.5,19.3,2.5,0.4,12.3,16.8,,-0.2,0.7,0.4,.033,,-3.6,-0.6,-4.2,-0.3
22,2 seasons,,LAC,NBA,,51,1058,10.3,.448,.097,.198,2.6,11.3,7.0,20.4,2.6,0.4,14.9,15.4,,-0.3,1.1,0.8,.036,,-2.7,0.3,-2.4,-0.1
23,1 season,,DEN,NBA,,11,36,9.8,.553,.200,.400,3.3,9.4,6.5,21.8,0.0,0.0,20.3,18.3,,0.0,0.0,0.0,.043,,-2.8,-3.7,-6.5,0.0
24,1 season,,NOH,NBA,,4,17,8.5,1.000,.000,.000,0.0,14.1,6.9,39.6,3.0,4.5,75.0,10.8,,0.0,0.0,0.0,.004,,-7.3,0.3,-7.0,0.0
25,1 season,,MIL,NBA,,1,10,1.7,1.000,.000,.000,0.0,0.0,0.0,14.6,0.0,0.0,66.7,13.6,,0.0,0.0,0.0,-0.159,,-8.8,-7.0,-15.8,0.0
26,1 season,,MIN,NBA,,1,5,9.3,.000,.000,.000,0.0,0.0,0.0,25.5,10.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.028,,-8.4,0.7,-7.7,0.0
