,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2008-09,21,WAS,NBA,C,75,1143,17.0,.534,.000,.419,12.0,18.4,15.1,3.4,1.5,5.4,11.7,20.7,,1.1,0.9,2.0,.084,,-2.5,-0.6,-3.1,-0.3
2,2009-10,22,WAS,NBA,C,60,968,17.0,.539,.003,.378,10.3,18.7,14.5,2.4,0.9,8.0,12.5,19.1,,0.8,1.3,2.1,.105,,-3.2,1.7,-1.5,0.1
3,2010-11,23,WAS,NBA,C,79,2193,17.4,.566,.005,.381,11.2,22.2,16.5,2.8,1.0,6.7,12.6,16.3,,2.7,2.5,5.3,.115,,-1.8,1.7,-0.1,1.0
4,2011-12,24,TOT,NBA,C,61,1535,19.9,.552,.000,.303,12.1,23.3,17.7,3.5,1.2,6.6,12.2,20.7,,1.9,2.2,4.1,.127,,-1.4,1.2,-0.1,0.7
5,2011-12,24,WAS,NBA,C,41,1124,19.6,.539,.000,.290,12.6,23.8,18.2,3.9,1.2,6.9,13.1,20.7,,1.2,1.6,2.8,.120,,-1.6,1.6,0.0,0.6
6,2011-12,24,DEN,NBA,C,20,411,20.5,.588,.000,.336,10.5,21.8,16.3,2.5,1.2,5.9,9.8,21.0,,0.7,0.6,1.3,.148,,-0.7,0.2,-0.5,0.2
7,2012-13,25,DEN,NBA,C,79,1433,20.7,.589,.002,.353,12.6,17.1,14.9,2.7,1.1,8.5,12.9,21.1,,2.7,2.2,4.9,.163,,-0.5,2.0,1.5,1.2
8,2013-14,26,DEN,NBA,C,5,79,10.2,.455,.000,.026,13.6,9.6,11.6,4.4,0.6,6.5,17.2,25.0,,-0.1,0.1,-0.1,-0.039,,-5.8,-0.1,-5.9,-0.1
9,2014-15,27,TOT,NBA,C,23,256,14.4,.567,.000,.418,7.3,18.9,12.9,2.0,0.4,6.1,16.1,18.9,,0.1,0.3,0.4,.071,,-5.3,-0.3,-5.6,-0.2
10,2014-15,27,DEN,NBA,C,17,195,16.7,.597,.000,.475,7.5,19.5,13.3,0.8,0.5,7.6,15.0,19.2,,0.2,0.2,0.4,.109,,-4.3,0.3,-4.0,-0.1
11,2014-15,27,PHI,NBA,C,6,61,6.8,.455,.000,.222,6.8,16.8,11.6,5.8,0.0,1.3,20.2,17.7,,-0.1,0.0,-0.1,-0.052,,-8.5,-2.3,-10.8,-0.1
12,2015-16,28,DAL,NBA,C,34,370,19.9,.574,.007,.269,15.8,23.7,19.7,1.5,0.7,5.9,12.3,21.1,,0.6,0.5,1.1,.146,,-2.9,-0.6,-3.5,-0.1
13,2016-17,29,GSW,NBA,C,77,739,25.2,.642,.013,.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8,,2.0,1.5,3.5,.225,,0.2,0.6,0.8,0.5
14,Career,,,NBA,,493,8716,18.9,.568,.003,.354,12.1,20.3,16.2,3.0,1.1,6.9,12.3,19.8,,11.7,11.5,23.2,.128,,-1.8,1.1,-0.7,2.9
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,WAS,NBA,,255,5428,17.7,.547,.002,.367,11.5,21.1,16.2,3.1,1.1,6.7,12.5,18.6,,5.8,6.4,12.2,.108,,-2.2,1.2,-1.0,1.4
17,4 seasons,,DEN,NBA,,121,2118,19.9,.583,.001,.343,11.8,18.0,14.9,2.5,1.0,7.8,12.7,21.1,,3.5,3.0,6.5,.147,,-1.1,1.4,0.3,1.2
18,1 season,,GSW,NBA,,77,739,25.2,.642,.013,.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8,,2.0,1.5,3.5,.225,,0.2,0.6,0.8,0.5
19,1 season,,DAL,NBA,,34,370,19.9,.574,.007,.269,15.8,23.7,19.7,1.5,0.7,5.9,12.3,21.1,,0.6,0.5,1.1,.146,,-2.9,-0.6,-3.5,-0.1
20,1 season,,PHI,NBA,,6,61,6.8,.455,.000,.222,6.8,16.8,11.6,5.8,0.0,1.3,20.2,17.7,,-0.1,0.0,-0.1,-0.052,,-8.5,-2.3,-10.8,-0.1
