,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2010-11,22,GSW,NBA,PG,29,285,14.8,.458,.069,.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,,0.0,0.4,0.5,.078,,-2.4,3.0,0.6,0.2
2,2011-12,23,NYK,NBA,PG,35,940,19.9,.552,.196,.478,2.2,11.1,6.6,41.0,3.0,0.8,21.4,28.1,,1.3,1.4,2.7,.140,,2.0,0.2,2.2,1.0
3,2012-13,24,HOU,NBA,PG,82,2640,14.9,.538,.287,.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,,3.0,2.5,5.4,.099,,0.4,-0.1,0.3,1.5
4,2013-14,25,HOU,NBA,PG,71,2054,14.3,.572,.346,.400,2.0,7.8,5.1,22.3,1.6,1.0,18.4,20.4,,2.8,1.6,4.4,.103,,0.6,-1.0,-0.4,0.8
5,2014-15,26,LAL,NBA,PG,74,1907,15.6,.539,.269,.410,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,,1.8,0.8,2.7,.068,,0.5,-1.3,-0.8,0.6
6,2015-16,27,CHO,NBA,SG,78,2048,13.8,.534,.310,.401,2.2,11.4,6.8,18.6,1.4,1.7,14.9,22.2,,1.3,2.3,3.5,.082,,-0.9,-0.2,-1.1,0.5
7,2016-17,28,BRK,NBA,PG,36,883,19.2,.566,.390,.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,,1.3,0.8,2.1,.115,,2.5,-0.5,2.0,0.9
8,Career,,,NBA,,405,10757,15.5,.546,.296,.382,1.8,10.1,6.0,27.1,2.2,1.2,17.8,22.1,,11.5,9.9,21.4,.095,,0.5,-0.4,0.0,5.5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,HOU,NBA,,153,4694,14.6,.552,.312,.346,1.6,8.6,5.2,26.3,2.1,0.9,18.7,20.6,,5.8,4.0,9.8,.101,,0.5,-0.5,0.0,2.3
11,1 season,,CHO,NBA,,78,2048,13.8,.534,.310,.401,2.2,11.4,6.8,18.6,1.4,1.7,14.9,22.2,,1.3,2.3,3.5,.082,,-0.9,-0.2,-1.1,0.5
12,1 season,,LAL,NBA,,74,1907,15.6,.539,.269,.410,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,,1.8,0.8,2.7,.068,,0.5,-1.3,-0.8,0.6
13,1 season,,BRK,NBA,,36,883,19.2,.566,.390,.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,,1.3,0.8,2.1,.115,,2.5,-0.5,2.0,0.9
14,1 season,,NYK,NBA,,35,940,19.9,.552,.196,.478,2.2,11.1,6.6,41.0,3.0,0.8,21.4,28.1,,1.3,1.4,2.7,.140,,2.0,0.2,2.2,1.0
15,1 season,,GSW,NBA,,29,285,14.8,.458,.069,.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,,0.0,0.4,0.5,.078,,-2.4,3.0,0.6,0.2
