,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,22,TOT,NBA,SG-SF,6,20,13.8,.667,.500,.000,5.9,6.1,6.0,0.0,2.7,0.0,14.3,16.1,,0.0,0.0,0.0,.099,,0.0,-4.3,-4.3,0.0
2,2006-07,22,ATL,NBA,SG,5,19,14.5,.667,.500,.000,6.3,6.4,6.3,0.0,2.8,0.0,14.3,16.9,,0.0,0.0,0.0,.105,,0.3,-4.6,-4.2,0.0
3,2006-07,22,POR,NBA,SF,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.021,,-5.7,-0.2,-5.8,0.0
4,2007-08,23,TOT,NBA,SF-SG,27,132,4.2,.457,.432,.045,0.9,7.0,4.0,2.2,1.2,0.0,11.8,17.6,,-0.2,0.1,-0.1,-0.041,,-5.5,-4.4,-9.9,-0.3
5,2007-08,23,MEM,NBA,SF,3,15,-18.1,.000,.333,.000,0.0,7.5,3.7,8.6,0.0,0.0,14.3,20.7,,-0.2,0.0,-0.2,-0.505,,-18.1,-4.7,-22.7,-0.1
6,2007-08,23,SAS,NBA,SG,5,29,11.0,.635,.714,.286,0.0,4.0,2.0,5.4,1.9,0.0,0.0,13.0,,0.1,0.0,0.1,.189,,1.3,-1.3,0.0,0.0
7,2007-08,23,ATL,NBA,SF,19,88,5.8,.500,.387,.000,1.3,7.9,4.6,0.0,1.2,0.0,13.9,18.6,,-0.1,0.0,-0.1,-0.037,,-5.6,-5.4,-11.0,-0.2
8,2008-09,24,ORL,NBA,SF,12,93,2.8,.358,.347,.122,1.2,15.4,8.5,5.5,0.0,0.0,5.5,27.1,,-0.3,0.1,-0.2,-0.107,,-8.7,-4.1,-12.7,-0.3
9,Career,,,NBA,,45,245,4.5,.419,.394,.081,1.4,10.1,5.8,3.2,0.9,0.0,8.9,21.1,,-0.5,0.2,-0.3,-0.054,,-6.3,-4.3,-10.5,-0.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,ATL,NBA,,24,107,7.3,.527,.405,.000,2.2,7.6,4.9,0.0,1.5,0.0,14.0,18.3,,-0.1,0.0,0.0,-0.012,,-4.6,-5.3,-9.8,-0.2
12,1 season,,ORL,NBA,,12,93,2.8,.358,.347,.122,1.2,15.4,8.5,5.5,0.0,0.0,5.5,27.1,,-0.3,0.1,-0.2,-0.107,,-8.7,-4.1,-12.7,-0.3
13,1 season,,SAS,NBA,,5,29,11.0,.635,.714,.286,0.0,4.0,2.0,5.4,1.9,0.0,0.0,13.0,,0.1,0.0,0.1,.189,,1.3,-1.3,0.0,0.0
14,1 season,,MEM,NBA,,3,15,-18.1,.000,.333,.000,0.0,7.5,3.7,8.6,0.0,0.0,14.3,20.7,,-0.2,0.0,-0.2,-0.505,,-18.1,-4.7,-22.7,-0.1
15,1 season,,POR,NBA,,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.021,,-5.7,-0.2,-5.8,0.0
