,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1984-85,22,POR,NBA,SF,77,958,15.3,.524,.008,.487,11.1,12.9,12.0,8.8,2.4,1.7,12.8,21.4,,1.0,1.2,2.2,.111,,-0.4,-0.3,-0.7,0.3
2,1985-86,23,POR,NBA,SF,79,1217,18.5,.589,.013,.487,12.7,14.6,13.6,9.8,3.2,1.5,16.5,22.2,,2.0,1.6,3.6,.143,,1.5,0.7,2.2,1.3
3,1986-87,24,POR,NBA,SF,82,2088,16.9,.565,.031,.497,11.0,15.5,13.3,12.5,2.7,2.1,14.3,19.6,,3.5,2.9,6.4,.147,,1.5,2.0,3.5,2.9
4,1987-88,25,POR,NBA,SF,79,2888,17.3,.542,.012,.323,7.9,16.7,12.3,11.7,2.0,1.3,10.3,21.3,,4.8,3.8,8.6,.144,,1.4,1.3,2.7,3.4
5,1988-89,26,POR,NBA,SF,76,2716,16.6,.511,.018,.327,9.5,15.8,12.6,12.2,2.3,1.8,11.4,20.8,,3.5,3.3,6.8,.121,,0.8,1.6,2.4,3.0
6,1989-90,27,POR,NBA,SF,82,2843,15.7,.521,.018,.359,9.5,17.0,13.2,9.2,2.0,1.3,10.3,19.4,,4.1,4.7,8.8,.148,,0.8,2.3,3.1,3.6
7,1990-91,28,POR,NBA,SF,73,2359,15.6,.526,.015,.369,8.0,14.5,11.3,13.4,2.0,2.0,12.6,20.3,,2.9,3.8,6.7,.136,,0.4,2.5,2.9,2.9
8,1991-92,29,POR,NBA,SF,77,2553,14.7,.502,.009,.308,10.3,16.7,13.5,13.3,2.2,1.7,13.5,17.8,,2.4,4.4,6.8,.128,,0.1,3.0,3.1,3.3
9,1992-93,30,POR,NBA,SF,65,1719,13.7,.475,.044,.285,7.8,18.4,12.9,10.3,2.3,1.5,10.4,19.3,,0.6,2.8,3.4,.094,,-1.8,1.9,0.1,0.9
10,1993-94,31,POR,NBA,SF,78,1276,14.5,.481,.017,.288,10.6,17.9,14.1,8.5,2.7,2.4,10.7,18.9,,1.1,2.0,3.2,.119,,-1.3,1.7,0.4,0.8
11,1994-95,32,POR,NBA,SF,63,1143,14.5,.467,.055,.254,8.8,16.9,12.7,11.2,2.3,2.3,10.5,22.5,,0.6,1.9,2.5,.104,,-1.9,1.4,-0.5,0.4
12,1995-96,33,GSW,NBA,SF,76,1620,13.1,.452,.034,.294,10.8,15.0,12.9,10.9,2.9,2.0,11.7,17.2,,0.6,1.8,2.4,.071,,-1.4,1.8,0.4,1.0
13,1996-97,34,LAL,NBA,SF,70,1766,12.3,.475,.145,.263,7.3,16.1,11.7,7.8,3.5,2.1,12.9,14.6,,0.4,3.4,3.8,.102,,-1.9,3.3,1.4,1.5
14,1997-98,35,SEA,NBA,SF,37,717,12.6,.447,.043,.279,9.5,12.9,11.3,9.6,3.9,1.5,12.1,19.2,,0.0,1.2,1.2,.079,,-2.1,1.8,-0.3,0.3
15,1998-99,36,SAS,NBA,SF,45,699,7.4,.352,.070,.070,7.2,13.3,10.4,9.4,2.9,1.4,12.7,15.7,,-0.9,1.5,0.6,.040,,-4.3,3.0,-1.3,0.1
16,1999-00,37,SAS,NBA,SF,72,1310,10.0,.431,.025,.116,5.3,13.9,9.8,8.3,2.7,2.5,12.1,14.9,,-0.5,2.6,2.1,.077,,-3.2,3.5,0.2,0.7
17,2000-01,38,MIL,NBA,SF,22,243,12.9,.473,.014,.232,3.8,17.1,10.5,9.4,3.0,2.4,7.3,15.3,,0.2,0.3,0.5,.101,,-2.6,1.4,-1.2,0.1
18,Career,,,NBA,,1153,28115,14.9,.508,.028,.331,9.1,15.9,12.5,10.8,2.5,1.8,12.0,19.2,,26.3,43.2,69.5,.119,,-0.3,2.0,1.8,26.6
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11 seasons,,POR,NBA,,831,21760,15.9,.521,.021,.354,9.5,16.2,12.8,11.3,2.3,1.7,11.9,20.1,,26.6,32.4,59.0,.130,,0.3,1.8,2.2,22.8
21,2 seasons,,SAS,NBA,,117,2009,9.1,.403,.042,.099,5.9,13.7,10.0,8.7,2.8,2.1,12.3,15.2,,-1.4,4.1,2.7,.064,,-3.6,3.3,-0.3,0.9
22,1 season,,GSW,NBA,,76,1620,13.1,.452,.034,.294,10.8,15.0,12.9,10.9,2.9,2.0,11.7,17.2,,0.6,1.8,2.4,.071,,-1.4,1.8,0.4,1.0
23,1 season,,LAL,NBA,,70,1766,12.3,.475,.145,.263,7.3,16.1,11.7,7.8,3.5,2.1,12.9,14.6,,0.4,3.4,3.8,.102,,-1.9,3.3,1.4,1.5
24,1 season,,SEA,NBA,,37,717,12.6,.447,.043,.279,9.5,12.9,11.3,9.6,3.9,1.5,12.1,19.2,,0.0,1.2,1.2,.079,,-2.1,1.8,-0.3,0.3
25,1 season,,MIL,NBA,,22,243,12.9,.473,.014,.232,3.8,17.1,10.5,9.4,3.0,2.4,7.3,15.3,,0.2,0.3,0.5,.101,,-2.6,1.4,-1.2,0.1
