,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2007-08,25,MIA,NBA,PF,24,498,8.8,.521,.000,.817,9.0,13.4,11.2,0.9,1.0,5.0,17.2,9.4,,0.1,0.4,0.6,.054,,-4.8,1.4,-3.4,-0.2
2,2008-09,26,MIA,NBA,C,65,1048,9.3,.521,.000,.390,10.1,12.4,11.2,3.7,1.0,7.2,22.9,8.0,,0.4,1.4,1.7,.079,,-4.0,4.1,0.2,0.6
3,2009-10,27,MIA,NBA,C,80,1322,10.2,.546,.000,.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,,1.0,2.0,3.1,.111,,-3.1,3.5,0.4,0.8
4,2010-11,28,MIA,NBA,C,75,1463,7.3,.583,.000,.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,,1.2,2.1,3.3,.107,,-2.2,3.1,0.9,1.1
5,2011-12,29,MIA,NBA,C,64,1349,10.3,.598,.000,.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,,1.2,2.2,3.4,.122,,-2.1,2.8,0.7,0.9
6,2012-13,30,MIA,NBA,C,62,566,10.4,.542,.000,.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,,0.4,0.8,1.2,.100,,-3.0,2.7,-0.3,0.2
7,2013-14,31,TOT,NBA,C,33,186,8.1,.394,.000,.250,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,,0.0,0.2,0.2,.044,,-5.7,1.0,-4.7,-0.1
8,2013-14,31,MIA,NBA,C,12,37,8.0,.436,.000,.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,,0.0,0.0,0.0,.049,,-7.3,0.8,-6.6,0.0
9,2013-14,31,BOS,NBA,C,21,149,8.1,.384,.000,.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,,0.0,0.1,0.1,.043,,-5.3,1.1,-4.2,-0.1
10,2014-15,32,DET,NBA,C,49,406,14.7,.607,.000,.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,,0.5,0.7,1.2,.142,,-3.4,4.8,1.4,0.3
11,2015-16,33,DET,NBA,C,19,96,14.1,.666,.000,.800,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,,0.2,0.2,0.4,.177,,-2.8,5.0,2.2,0.1
12,2016-17,34,SAS,NBA,C,19,122,11.6,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,,0.1,0.2,0.4,.141,,-3.1,2.5,-0.6,0.0
13,Career,,,NBA,,490,7056,9.7,.558,.000,.522,9.6,13.0,11.3,2.0,1.0,6.1,19.2,7.8,,5.1,10.2,15.3,.104,,-3.0,3.2,0.1,3.8
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7 seasons,,MIA,NBA,,382,6283,9.3,.556,.000,.545,9.8,12.5,11.2,2.0,0.9,5.9,20.1,7.7,,4.3,9.0,13.3,.101,,-3.0,3.1,0.1,3.4
16,2 seasons,,DET,NBA,,68,502,14.6,.616,.000,.417,8.3,16.7,12.4,1.7,1.4,9.5,14.1,8.7,,0.7,0.9,1.6,.149,,-3.3,4.8,1.6,0.5
17,1 season,,BOS,NBA,,21,149,8.1,.384,.000,.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,,0.0,0.1,0.1,.043,,-5.3,1.1,-4.2,-0.1
18,1 season,,SAS,NBA,,19,122,11.6,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,,0.1,0.2,0.4,.141,,-3.1,2.5,-0.6,0.0
