,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,23,ORL,NBA,SF,73,1787,11.0,.499,.412,.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,,1.3,0.0,1.3,.034,,-0.3,-1.7,-1.9,0.0
2,2004-05,24,CHA,NBA,SG,74,1791,10.4,.465,.251,.266,4.6,10.1,7.2,12.6,2.0,0.3,13.7,22.0,,-1.0,1.1,0.1,.002,,-1.7,-1.1,-2.7,-0.3
3,2005-06,25,TOT,NBA,SG-SF,72,1912,10.7,.497,.368,.342,3.3,12.4,7.8,11.2,2.0,0.4,12.6,17.2,,0.3,2.0,2.3,.058,,-1.4,0.3,-1.1,0.4
4,2005-06,25,CHA,NBA,SG,39,848,12.4,.510,.340,.365,3.7,11.3,7.2,8.7,2.4,0.3,10.9,19.6,,0.4,0.7,1.2,.066,,-0.8,-0.8,-1.6,0.1
5,2005-06,25,HOU,NBA,SF,33,1064,9.3,.482,.398,.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,,-0.1,1.3,1.2,.053,,-1.9,1.2,-0.7,0.3
6,2006-07,26,ORL,NBA,SG,59,990,9.2,.546,.559,.257,2.0,9.4,5.8,9.5,1.5,0.2,14.4,14.9,,0.7,1.0,1.7,.080,,-0.4,-1.0,-1.3,0.2
7,2007-08,27,ORL,NBA,SG,82,2198,10.9,.559,.696,.187,2.3,11.3,7.0,7.1,1.4,0.3,7.7,14.4,,2.6,2.3,4.9,.106,,1.2,0.1,1.3,1.8
8,2008-09,28,TOT,NBA,SG,65,1272,9.7,.521,.673,.176,2.8,15.6,9.1,7.7,1.8,0.2,10.5,14.0,,0.7,1.9,2.5,.096,,-0.9,0.8,-0.1,0.6
9,2008-09,28,ORL,NBA,SG,36,787,8.0,.509,.720,.137,2.2,13.4,7.9,5.9,1.5,0.2,9.3,12.0,,0.3,1.2,1.5,.093,,-1.4,1.4,0.0,0.4
10,2008-09,28,MIL,NBA,SG,29,485,12.5,.535,.617,.221,3.7,19.1,11.1,10.5,2.1,0.3,11.9,17.2,,0.4,0.6,1.0,.101,,-0.1,-0.1,-0.2,0.2
11,2009-10,29,SAS,NBA,SF,79,1559,7.7,.542,.658,.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11.0,,0.7,1.9,2.6,.081,,-1.0,1.1,0.1,0.8
12,2010-11,30,CHI,NBA,SG,82,1461,9.0,.559,.772,.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,.118,,-0.4,0.4,0.0,0.7
13,2011-12,31,NJN,NBA,SF,5,94,4.8,.453,.571,.238,6.0,7.6,6.8,5.1,1.1,0.0,11.5,12.8,,0.0,0.0,0.0,-0.005,,-2.3,-2.7,-5.1,-0.1
14,2012-13,32,BRK,NBA,SG,74,1408,6.7,.533,.863,.060,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,,0.7,0.7,1.4,.047,,-0.4,-0.9,-1.3,0.3
15,2013-14,33,BOS,NBA,SG,6,55,9.9,.820,1.000,.500,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,,0.1,0.0,0.1,.121,,0.1,-2.2,-2.1,0.0
16,Career,,,NBA,,671,14527,9.6,.517,.537,.215,3.1,11.4,7.3,9.3,1.6,0.4,12.2,14.7,,7.4,13.0,20.4,.068,,-0.5,-0.2,-0.8,4.5
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,ORL,NBA,,250,5762,10.2,.532,.588,.205,3.6,12.0,7.9,7.9,1.4,0.3,10.8,14.2,,4.8,4.5,9.3,.077,,0.1,-0.5,-0.3,2.4
19,2 seasons,,CHA,NBA,,113,2639,11.0,.478,.278,.295,4.3,10.5,7.2,11.3,2.1,0.3,12.9,21.3,,-0.6,1.8,1.2,.022,,-1.4,-1.0,-2.4,-0.2
20,1 season,,CHI,NBA,,82,1461,9.0,.559,.772,.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,.118,,-0.4,0.4,0.0,0.7
21,2 seasons,,"NJN,BRK",NBA,,79,1502,6.5,.528,.843,.072,1.6,8.7,5.1,7.9,1.1,0.2,14.2,11.3,,0.7,0.7,1.4,.044,,-0.5,-1.0,-1.5,0.2
22,1 season,,SAS,NBA,,79,1559,7.7,.542,.658,.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11.0,,0.7,1.9,2.6,.081,,-1.0,1.1,0.1,0.8
23,1 season,,HOU,NBA,,33,1064,9.3,.482,.398,.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,,-0.1,1.3,1.2,.053,,-1.9,1.2,-0.7,0.3
24,1 season,,MIL,NBA,,29,485,12.5,.535,.617,.221,3.7,19.1,11.1,10.5,2.1,0.3,11.9,17.2,,0.4,0.6,1.0,.101,,-0.1,-0.1,-0.2,0.2
25,1 season,,BOS,NBA,,6,55,9.9,.820,1.000,.500,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,,0.1,0.0,0.1,.121,,0.1,-2.2,-2.1,0.0
