,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2004-05,21,SAC,NBA,PG,45,455,8.7,.464,.214,.470,7.1,7.1,7.1,6.8,1.8,0.5,14.5,16.1,,-0.1,0.2,0.1,.016,,-3.2,-1.7,-5.0,-0.3
2,2005-06,22,SAC,NBA,SG,72,1913,14.8,.604,.328,.407,3.6,12.3,8.0,8.3,1.5,0.3,11.2,17.4,,3.6,1.9,5.5,.137,,0.8,-0.7,0.1,1.0
3,2006-07,23,SAC,NBA,SG,80,2818,20.1,.614,.312,.534,2.8,11.6,7.1,10.9,1.8,0.3,9.3,23.2,,8.3,1.9,10.2,.173,,3.8,-1.4,2.4,3.2
4,2007-08,24,SAC,NBA,SG,61,2216,21.0,.618,.291,.632,2.6,11.8,7.3,10.1,1.4,0.2,10.1,26.2,,7.4,1.1,8.4,.183,,3.9,-2.8,1.1,1.7
5,2008-09,25,SAC,NBA,SG,51,1947,19.2,.601,.342,.650,1.7,9.3,5.5,12.3,1.6,0.3,12.3,27.4,,4.7,0.1,4.7,.117,,3.1,-3.4,-0.3,0.8
6,2009-10,26,TOT,NBA,SG,46,1633,17.0,.561,.303,.491,2.0,9.7,5.8,11.2,1.4,0.3,9.8,25.3,,3.2,1.0,4.2,.123,,1.5,-2.3,-0.7,0.5
7,2009-10,26,SAC,NBA,SG,22,774,17.0,.535,.324,.457,2.9,11.1,7.0,11.9,1.5,0.4,7.9,25.3,,1.5,0.4,1.9,.116,,1.9,-2.2,-0.4,0.3
8,2009-10,26,HOU,NBA,SG,24,859,17.1,.586,.282,.523,1.2,8.4,4.7,10.5,1.4,0.2,11.6,25.4,,1.8,0.5,2.3,.129,,1.2,-2.3,-1.0,0.2
9,2010-11,27,HOU,NBA,SG,80,2603,21.4,.601,.362,.528,1.2,10.0,5.6,13.0,1.6,0.4,10.5,29.6,,8.0,1.5,9.5,.175,,4.4,-2.8,1.6,2.3
10,2011-12,28,HOU,NBA,SG,40,1264,16.5,.554,.419,.333,1.2,8.6,4.9,14.5,1.2,0.2,10.2,24.7,,2.7,0.6,3.3,.125,,2.7,-2.5,0.2,0.7
11,2012-13,29,OKC,NBA,SG,77,2136,16.0,.608,.477,.316,1.8,7.4,4.8,7.9,1.7,0.3,10.2,21.0,,5.0,2.0,7.0,.157,,2.7,-2.3,0.5,1.3
12,2013-14,30,MIN,NBA,SG,68,2177,16.3,.553,.290,.332,1.7,8.7,5.1,9.2,1.5,0.2,8.3,25.0,,3.8,1.5,5.3,.117,,1.4,-2.0,-0.6,0.8
13,2014-15,31,MIN,NBA,SG,39,1302,16.7,.549,.306,.309,1.6,11.1,6.2,12.5,1.3,0.1,9.7,26.6,,2.0,-0.1,1.9,.069,,1.8,-3.9,-2.1,0.0
14,2015-16,32,TOT,NBA,SG,55,1095,11.5,.520,.325,.411,1.5,10.0,5.8,8.2,1.2,0.2,9.8,22.6,,0.7,0.5,1.2,.054,,-1.4,-3.1,-4.5,-0.7
15,2015-16,32,MIN,NBA,SG,39,834,11.9,.523,.308,.425,1.4,9.8,5.6,8.8,1.0,0.1,9.4,23.5,,0.7,0.1,0.8,.045,,-1.2,-4.0,-5.2,-0.7
16,2015-16,32,SAS,NBA,SG,16,261,10.1,.504,.388,.353,1.8,10.6,6.3,6.4,1.8,0.6,11.7,19.5,,0.0,0.4,0.4,.082,,-2.2,-0.2,-2.4,0.0
17,Career,,,NBA,,714,21559,17.7,.585,.338,.465,2.1,10.0,6.1,10.6,1.5,0.3,10.2,24.4,,49.3,12.0,61.3,.137,,2.4,-2.4,0.1,11.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6 seasons,,SAC,NBA,,331,10123,18.4,.599,.314,.555,2.9,11.1,7.0,10.4,1.6,0.3,10.5,23.4,,25.4,5.5,30.8,.146,,2.7,-2.1,0.6,6.7
20,3 seasons,,MIN,NBA,,146,4313,15.5,.547,.298,.341,1.6,9.6,5.5,10.1,1.3,0.1,8.9,25.2,,6.5,1.5,8.0,.088,,1.0,-3.0,-1.9,0.1
21,3 seasons,,HOU,NBA,,144,4726,19.3,.587,.363,.479,1.2,9.4,5.2,13.0,1.4,0.3,10.6,27.5,,12.4,2.7,15.1,.153,,3.4,-2.6,0.7,3.2
22,1 season,,OKC,NBA,,77,2136,16.0,.608,.477,.316,1.8,7.4,4.8,7.9,1.7,0.3,10.2,21.0,,5.0,2.0,7.0,.157,,2.7,-2.3,0.5,1.3
23,1 season,,SAS,NBA,,16,261,10.1,.504,.388,.353,1.8,10.6,6.3,6.4,1.8,0.6,11.7,19.5,,0.0,0.4,0.4,.082,,-2.2,-0.2,-2.4,0.0
