,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1984-85,22,ATL,NBA,PF,82,1785,12.9,.497,.013,.262,11.0,20.9,16.0,2.9,0.8,1.5,11.9,20.2,,0.4,2.2,2.7,.072,,-2.9,-1.4,-4.4,-1.1
2,1985-86,23,ATL,NBA,PF,82,2300,14.1,.545,.007,.324,11.7,22.0,16.9,2.8,1.4,1.1,16.0,19.6,,1.4,3.3,4.7,.099,,-1.2,-0.1,-1.4,0.4
3,1986-87,24,ATL,NBA,PF,81,2626,17.4,.570,.004,.319,13.3,21.6,17.5,3.5,1.2,1.4,13.1,20.6,,4.4,4.2,8.6,.156,,1.1,0.3,1.4,2.2
4,1987-88,25,ATL,NBA,PF,75,2091,14.0,.548,.003,.357,12.4,16.7,14.5,1.9,1.6,1.2,14.8,18.8,,1.7,2.5,4.2,.095,,-0.6,-0.6,-1.2,0.4
5,1989-90,27,ATL,NBA,PF,81,2273,15.7,.551,.009,.306,12.5,20.4,16.4,3.7,1.4,1.3,13.6,19.5,,3.0,1.7,4.7,.098,,0.1,-1.3,-1.2,0.5
6,1990-91,28,ATL,NBA,PF,80,2373,15.3,.533,.011,.270,11.5,21.2,16.2,6.3,1.2,1.0,13.4,19.8,,2.3,2.0,4.4,.089,,-0.6,-0.6,-1.1,0.5
7,1991-92,29,ATL,NBA,PF,81,2962,19.7,.535,.030,.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22.0,,4.7,4.1,8.8,.143,,0.6,0.4,1.0,2.2
8,1992-93,30,ATL,NBA,PF,80,2878,17.4,.531,.024,.246,12.5,27.9,19.9,8.9,1.2,0.9,13.6,22.5,,3.0,3.0,6.0,.099,,-0.3,-0.1,-0.4,1.2
9,1993-94,31,ATL,NBA,PF,80,2867,19.4,.538,.019,.299,12.8,24.2,18.5,8.7,1.4,0.9,11.7,24.1,,5.1,5.1,10.2,.170,,0.8,0.3,1.1,2.2
10,1994-95,32,TOT,NBA,PF,67,2390,16.1,.504,.015,.293,10.9,25.3,18.0,6.1,1.3,1.2,12.4,24.2,,0.9,2.8,3.6,.073,,-2.3,-0.9,-3.2,-0.7
11,1994-95,32,ATL,NBA,PF,2,89,15.2,.441,.024,.366,12.8,34.9,23.6,5.9,0.6,2.5,12.8,27.8,,-0.1,0.2,0.1,.038,,-7.1,-1.8,-8.8,-0.2
12,1994-95,32,MIA,NBA,PF,65,2301,16.1,.506,.014,.290,10.8,24.9,17.7,6.1,1.3,1.1,12.4,24.1,,1.0,2.6,3.6,.075,,-2.1,-0.9,-3.0,-0.6
13,1995-96,33,TOT,NBA,PF,75,2135,11.7,.496,.013,.284,11.4,23.1,17.3,4.2,0.8,1.5,16.7,20.1,,-0.7,2.9,2.2,.050,,-4.2,-0.5,-4.7,-1.4
14,1995-96,33,MIA,NBA,PF,47,1357,12.1,.513,.012,.303,11.8,24.0,18.0,4.2,0.7,1.4,17.5,19.0,,-0.1,2.3,2.1,.076,,-3.9,0.3,-3.6,-0.5
15,1995-96,33,GSW,NBA,PF,28,778,10.9,.472,.013,.257,10.8,21.5,16.1,4.0,0.9,1.5,15.7,22.2,,-0.6,0.6,0.1,.006,,-4.7,-1.9,-6.6,-0.9
16,1996-97,34,HOU,NBA,PF,75,1964,14.3,.515,.019,.277,9.1,23.3,16.6,6.2,1.1,1.2,12.7,21.7,,0.8,3.0,3.8,.093,,-3.6,-0.2,-3.8,-0.9
17,1997-98,35,HOU,NBA,PF,81,2528,18.3,.555,.007,.293,11.0,20.7,15.9,5.8,1.1,1.1,12.6,24.1,,4.3,1.7,6.0,.114,,-0.5,-1.9,-2.4,-0.3
18,1998-99,36,TOR,NBA,C,42,1216,15.6,.489,.004,.347,10.3,23.2,16.7,10.3,1.2,1.8,14.3,22.4,,1.1,1.2,2.4,.093,,-1.5,-0.8,-2.3,-0.1
19,1999-00,37,TOR,NBA,PF,79,1679,12.3,.471,.005,.288,13.0,19.4,16.1,4.8,1.1,2.0,13.3,19.5,,0.7,1.6,2.3,.066,,-3.1,-1.2,-4.4,-1.0
20,2000-01,38,TOT,NBA,C,78,1830,14.6,.478,.009,.213,10.5,21.8,16.0,4.6,1.6,2.0,10.3,20.5,,1.1,2.0,3.1,.081,,-2.6,-0.7,-3.3,-0.6
21,2000-01,38,TOR,NBA,C,35,771,15.3,.507,.007,.301,9.7,23.2,16.3,4.5,1.3,1.9,11.6,20.0,,0.8,0.9,1.7,.106,,-2.2,-0.8,-3.1,-0.2
