,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,1995-96,23,MIA,NBA,PF,74,1655,13.5,.533,.004,.325,8.8,21.8,15.5,4.9,1.5,1.7,13.5,19.9,,0.8,3.0,3.8,.110,,-3.1,0.7,-2.4,-0.2
2,1996-97,24,MIA,NBA,PF,18,374,9.5,.451,.010,.438,10.0,23.7,17.0,4.0,1.7,1.9,16.6,18.9,,-0.3,0.8,0.5,.070,,-6.2,1.2,-4.9,-0.3
3,1997-98,25,DAL,NBA,PF,5,73,6.4,.399,.000,.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,,-0.3,0.1,-0.2,-0.161,,-9.3,-5.0,-14.4,-0.2
4,1998-99,26,NYK,NBA,PF,50,1182,13.1,.489,.003,.293,8.5,19.6,14.3,8.9,2.1,1.1,14.9,19.8,,0.2,2.3,2.5,.100,,-2.2,1.9,-0.3,0.5
5,1999-00,27,NYK,NBA,PF,80,1971,13.6,.542,.006,.239,8.9,21.1,15.2,7.0,1.4,1.6,15.1,16.7,,1.9,3.4,5.2,.127,,-1.4,2.0,0.6,1.3
6,2000-01,28,NYK,NBA,PF,77,2125,16.9,.566,.005,.342,10.1,18.9,14.6,5.4,1.6,2.6,12.3,18.5,,4.1,4.1,8.2,.185,,0.0,2.1,2.1,2.2
7,2001-02,29,NYK,NBA,C,82,2771,15.8,.542,.006,.283,9.0,22.3,15.6,5.8,1.4,2.1,12.7,20.3,,3.1,3.4,6.5,.112,,-1.3,1.0,-0.3,1.2
8,2002-03,30,NYK,NBA,C,81,2577,16.7,.511,.003,.179,7.1,22.2,14.5,11.3,1.7,2.8,11.1,22.4,,2.3,3.0,5.4,.100,,-0.9,1.8,0.9,1.9
9,2003-04,31,NYK,NBA,PF,80,2548,14.1,.503,.004,.153,6.7,23.1,15.0,10.2,1.2,2.4,13.0,18.5,,1.7,3.3,5.0,.094,,-1.5,1.9,0.3,1.5
10,2004-05,32,NYK,NBA,PF,80,2855,14.1,.488,.004,.093,6.9,27.4,17.1,9.3,1.3,2.1,9.5,16.6,,1.8,3.3,5.2,.087,,-1.9,2.0,0.0,1.5
